"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Drachten","H","01","Eenmanszaak","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","","","","","N","N",0,0,20191029,19901101,0,0,20191028,"",0,0
"Bodegraven","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20191028,20191028,20200821,20191028,20200730,0,0,"",2021,20220608
"Benningbroek","","74","Stichting","6420","Financiële holdings","","","","","","",20191025,20191025,0,0,0,0,0,"",0,0
"Schiedam","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20191028,20191028,20191029,20191028,0,0,0,"",2021,20220530
"Koedijk","H","61","Coöperatie","94997","Overige belangenbehartiging (rest)","","","","","N","N",20191028,20191028,20210318,20191028,20200819,0,0,"",2020,20210630
"Bergen op Zoom","H","41","Besloten vennootschap met gewone structuur","7490","Overige special. zakelijke dienstverl.","78202","Uitleenbureaus","","","N","N",20191028,20191028,20191029,20191028,0,0,0,"",2020,20210427
"Reusel","H","41","Besloten vennootschap met gewone structuur","9002","Dienstverlening voor uitvoerende kunst","","","","","N","N",20191028,20191028,20191029,20191028,20220101,0,0,"",2020,20211216
"Den Burg","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","74101","Communicatie- en grafisch ontwerp","7311","Reclamebureaus","N","N",0,0,20191029,20191025,0,0,0,"",0,0
"Nijmegen","H","41","Besloten vennootschap met gewone structuur","69102","Rechtskundige adviesbureaus","70221","Organisatie-adviesbureaus","78202","Uitleenbureaus","N","N",20191028,20191028,20191029,20170214,20220401,0,20191028,"",2020,20210702
"'s-Gravenhage","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20191028,20191028,0,0,0,0,0,"",0,0
"Nieuwerkerk ad IJssel","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20191028,20191028,20191029,20191028,20220207,0,0,"",2021,20220530
"Spijkenisse","H","41","Besloten vennootschap met gewone structuur","46722","GH ferrometalen en -halffabrikaten","","","","","J","J",20191025,20191025,20191029,20191025,20200901,0,0,"",2021,20220530
"Haaksbergen","H","11","Vennootschap onder firma","4639","GH voedings-/genotmiddelen algemeen ass.","","","","","J","J",20191018,0,20191029,20191018,0,0,0,"",0,0
"Beekbergen","H","01","Eenmanszaak","4730","Benzinestations","","","","","N","N",0,0,20191029,19641001,0,0,20190820,"",0,0
"De Hoeve","H","41","Besloten vennootschap met gewone structuur","4222","Leggen van elektr.-/telecom.kabels","","","","","N","N",20191028,20191028,20201210,20191028,20201203,0,0,"",0,0
"Haaksbergen","H","11","Vennootschap onder firma","4639","GH voedings-/genotmiddelen algemeen ass.","","","","","J","J",20191018,0,20191029,20191018,0,0,0,"",0,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20191028,20191028,20191029,20191028,20210101,0,0,"",2020,20220531
"Zevenaar","H","11","Vennootschap onder firma","4332","Bouwtimmeren","7490","Overige special. zakelijke dienstverl.","","","N","N",20190101,0,20191029,20131002,0,0,20190101,"",0,0
"Haaksbergen","H","11","Vennootschap onder firma","4639","GH voedings-/genotmiddelen algemeen ass.","","","","","J","J",20191018,0,20191029,20191018,0,0,0,"",0,0
"Amsterdam","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",20191028,20191028,0,0,0,0,0,"",0,0
"Amersfoort","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20191028,20191028,0,0,0,0,0,"",0,0
"Bennekom","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20191028,20191028,20191029,20191028,0,0,0,"",2020,20210403
"Assendelft","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20191023,20191023,0,0,0,0,0,"",0,0
"Haaksbergen","H","11","Vennootschap onder firma","4639","GH voedings-/genotmiddelen algemeen ass.","","","","","J","J",20191018,0,20191029,20191018,0,0,0,"",0,0
"Eerbeek","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20191028,20191028,20200420,20191028,20191028,0,0,"",2020,20210607
"Amsterdam","","74","Stichting","6420","Financiële holdings","","","","","","",20191028,20191028,0,0,0,0,0,"",0,0
"Bennekom","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20191028,20191028,20191029,20191028,0,0,0,"",2020,20210330
"Grootebroek","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20191028,20191028,0,0,0,0,0,"",0,0
"Schoonhoven","H","01","Eenmanszaak","47527","Winkels gespec. in ov. doe-het-zelf-art.","43222","Inst. verwarmings-/luchtbehandelingsapp.","","","N","N",0,0,20191029,19320118,0,0,20190101,"",0,0
"De Zilk","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","4622","Groothandel in bloemen en planten","46218","GH akkerbouwprod./veevoeder (alg. ass.)","J","J",20191028,20191028,20191029,20191028,0,0,0,"",2020,20210424
"Voorhout","H","01","Eenmanszaak","47919","Internethandel alg.assortiment non-food","","","","","N","N",0,0,20191029,20191029,0,0,0,"",0,0
"Haaksbergen","H","11","Vennootschap onder firma","4639","GH voedings-/genotmiddelen algemeen ass.","","","","","J","J",20191018,0,20191029,20191018,0,0,0,"",0,0
"Zwolle","H","01","Eenmanszaak","88101","Thuiszorg","88103","Ondersteuning/begeleiding gehandicapten","","","N","N",0,0,20191029,20191104,0,0,0,"",0,0
"Nieuwegein","H","01","Eenmanszaak","47918","Internethandel overige non-food","4222","Leggen van elektr.-/telecom.kabels","","","N","N",0,0,20200415,20191029,20200623,0,0,"",0,0
"Capelle aan den IJssel","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20191028,20191028,20191029,20191028,0,0,0,"",0,0
"Waalwijk","H","01","Eenmanszaak","4331","Stukadoren","","","","","N","N",0,0,20191029,20191029,20220408,0,0,"",0,0
"Hilversum","H","01","Eenmanszaak","47919","Internethandel alg.assortiment non-food","","","","","J","J",0,0,20191029,20191029,0,0,0,"",0,0
"Zwolle","H","01","Eenmanszaak","86923","Preventieve gezondh.zorg (geen arbobeg.)","","","","","N","N",0,0,20191029,20191014,0,0,0,"",0,0
"Zeist","H","01","Eenmanszaak","6201","Ontwikkelen/produceren/uitgeven software","6202","Advisering ohgv informatietechnologie","","","N","N",0,0,20191029,20191101,0,0,0,"",0,0
"Rotterdam","H","11","Vennootschap onder firma","7112","Ingenieurs/overig techn. ontwerp/advies","78202","Uitleenbureaus","","","N","N",20191029,0,20191029,20191029,0,0,0,"",0,0
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20191028,20191028,20191029,20191028,0,0,0,"",0,0
"Haaksbergen","H","11","Vennootschap onder firma","4639","GH voedings-/genotmiddelen algemeen ass.","","","","","J","J",20191018,0,20191029,20191018,0,0,0,"",0,0
"Voorburg","H","01","Eenmanszaak","43221","Loodg.- en fitterswerk; inst. sanitair","","","","","N","N",0,0,20191029,20191101,0,0,0,"",0,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20191028,20191028,20191029,20191028,0,0,0,"",2020,20211101
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","N","N",20191028,20191028,20191029,20191028,0,0,0,"",2020,20211019
