"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Schiphol-Rijk","H","11","Vennootschap onder firma","47916","Internethandel in vrijetijdsartikelen","47911","Internethandel voeding en drogisterij","","","J","N",20220401,0,20220419,20220401,0,0,0,"",0,0
"Berg en Terblijt","H","01","Eenmanszaak","5121","Goederenvervoer door de lucht","","","","","N","N",0,0,20220419,20220402,0,0,0,"",0,0
"Eindhoven","","74","Stichting","94995","Overk. organen (niet ohgv welzijn/sport)","","","","","","",20220414,20220414,0,0,0,0,0,"",0,0
"Eindhoven","H","41","Besloten vennootschap met gewone structuur","35113","Prod.elektr.zonnecellen/warmtep./waterkr","","","","","N","N",20220415,20220415,20220419,20220415,20220415,0,0,"",0,0
"Zaandam","H","01","Eenmanszaak","4932","Vervoer per taxi","53202","Koeriers","","","N","N",0,0,20220419,20220401,0,0,0,"",0,0
"Limmen","H","01","Eenmanszaak","7312","Handel in advertentieruimte en -tijd","","","","","N","N",0,0,20220419,19970101,0,0,20220308,"",0,0
"Herveld","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20220419,20220401,0,0,0,"",0,0
"Groningen","H","01","Eenmanszaak","8621","Praktijken van huisartsen","","","","","N","N",0,0,20220419,20220418,0,0,0,"",0,0
"Lelystad","H","01","Eenmanszaak","8219","Secretariële dienstverlening","","","","","N","N",0,0,20220419,20220419,0,0,0,"",0,0
"Arnhem","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20220330,20220330,20220419,20220330,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","74201","Fotografie","","","","","N","N",0,0,20220419,20220419,0,0,0,"",0,0
"Maastricht","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20220419,20220419,20220419,20220419,0,0,0,"",0,0
"Heeten","H","21","Commanditaire vennootschap","01411","Houden van melkvee","","","","","N","N",20220401,0,20220419,20220401,0,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","N","N",20220419,20220419,20220419,20220419,0,0,0,"",0,0
"Nuis","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20220419,20220419,0,0,0,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","7810","Arbeidsbemiddeling","86922","Arbobegeleiding en reïntegratie","","","N","N",20220419,20220419,20220419,20220419,20220420,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","47915","Internethandel huis- en tuinartikelen","","","N","N",0,0,20220419,20210609,0,0,20220401,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","86923","Preventieve gezondh.zorg (geen arbobeg.)","86913","Praktijken van psychotherapeuten/-logen","","","N","N",0,0,20220419,20220401,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","47915","Internethandel huis- en tuinartikelen","","","","","J","N",0,0,20220419,20220419,0,0,0,"",0,0
"Groenlo","H","41","Besloten vennootschap met gewone structuur","46901","Niet-gespec. GH in consumentenartikelen","","","","","N","N",20220418,20220418,20220419,20220418,0,0,0,"",0,0
"Kesteren","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20220419,20220401,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","","","","","N","N",0,0,20220419,20220419,0,0,0,"",0,0
"Hengelo (Gld)","H","11","Vennootschap onder firma","47914","Internethandel kleding, mode-artikelen","","","","","J","N",20220401,0,20220419,20220401,0,0,0,"",0,0
"Woltersum","H","01","Eenmanszaak","4331","Stukadoren","4334","Schilderen en glaszetten","","","N","N",0,0,20220419,20220411,0,0,0,"",0,0
"Wassenaar","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20220419,20220419,20220419,20220419,0,0,0,"",0,0
