"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Tilburg","","41","Besloten vennootschap met gewone structuur","","","","","","","","",20151130,20151130,20181012,0,0,0,0,"",0,0
"Delden","N","74","Stichting","8891","Kinderopvang","","","","","N","N",20151208,20151208,20181012,20180903,20200501,0,0,"",0,0
"Delden","N","74","Stichting","8891","Kinderopvang","","","","","N","N",20151208,20151208,20181012,20180903,0,0,0,"",0,0
"Amsterdam","N","41","Besloten vennootschap met gewone structuur","77299","Verh. overige consumentenartikelen","","","","","N","N",20160503,20160503,20181012,20180801,0,0,0,"",2021,0
"Amsterdam","N","41","Besloten vennootschap met gewone structuur","77299","Verh. overige consumentenartikelen","","","","","N","N",20160503,20160503,20181015,20180801,0,0,0,"",2021,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","6621","Risicoanalisten en schadetaxateurs","","","","","N","N",20160630,20160630,20181012,20171001,0,0,0,"",2019,20210526
"Amsterdam","N","41","Besloten vennootschap met gewone structuur","47781","Winkels in fotografische artikelen","","","","","N","N",20161103,20161103,20181015,20181011,0,0,0,"",2020,20211125
"Amsterdam","N","01","Eenmanszaak","4932","Vervoer per taxi","","","","","N","N",0,0,20181015,20181015,0,0,0,"",0,0
"Dongen","","41","Besloten vennootschap met gewone structuur","","","","","","","","",20161208,20161208,20181012,0,0,0,0,"",2021,20220531
"Berkhout","N","01","Eenmanszaak","86912","Praktijken van fysiotherapeuten","","","","","N","N",0,0,20181015,20181015,0,0,0,"",0,0
"Tilburg","","41","Besloten vennootschap met gewone structuur","","","","","","","","",20170522,20170522,0,0,0,0,0,"F",2017,20180905
"Oss","H","01","Eenmanszaak","92009","Exploitatie amusements-/speelautomaten","43222","Inst. verwarmings-/luchtbehandelingsapp.","33221","Inst. machines voor algemeen gebruik","N","N",0,0,20181015,20181001,0,0,0,"",0,0
"Bergen op Zoom","","41","Besloten vennootschap met gewone structuur","","","","","","","","",20180125,20180125,0,0,0,0,0,"",0,0
"'s-Gravenhage","N","41","Besloten vennootschap met gewone structuur","8891","Kinderopvang","","","","","N","N",20180207,20180207,20181015,20180601,0,0,0,"",2021,20220412
"Barneveld","N","41","Besloten vennootschap met gewone structuur","52242","Laad-/los-/oversl.ac. niet voor zeevaart","52109","Opslag in distr.centra en overige opslag","","","N","N",20180216,20180216,20181015,20180924,0,0,0,"",2020,20210607
"Barneveld","N","41","Besloten vennootschap met gewone structuur","52242","Laad-/los-/oversl.ac. niet voor zeevaart","52109","Opslag in distr.centra en overige opslag","","","N","N",20180216,20180216,20181015,20180924,0,0,0,"",2020,20210607
"Rotterdam","N","01","Eenmanszaak","8553","Auto- en motorrijscholen","","","","","N","N",0,0,20181015,20181015,0,0,0,"",0,0
"Westervoort","N","41","Besloten vennootschap met gewone structuur","1071","Verv. brood en vers banketbakkerswerk","","","","","N","N",20180703,20180703,20181015,19871001,0,0,20180801,"",2021,20211130
"Duiven","N","41","Besloten vennootschap met gewone structuur","1071","Verv. brood en vers banketbakkerswerk","","","","","N","N",20180703,20180703,20181015,19900101,0,0,20180801,"",2021,20211130
"Duiven","N","41","Besloten vennootschap met gewone structuur","1071","Verv. brood en vers banketbakkerswerk","","","","","N","N",20180703,20180703,20181015,19921001,0,0,20180801,"",2021,20211130
"Joure","N","41","Besloten vennootschap met gewone structuur","4652","GH elektronische/telecommunicatieapp.","","","","","N","N",20180828,20180828,20181015,20181012,0,0,0,"",0,0
"Helmond","N","41","Besloten vennootschap met gewone structuur","45192","Handel/rep. zwaardere bedrijfsauto's","","","","","N","N",20181001,20180930,20181012,20160901,0,0,20181001,"",2021,0
"Tilburg","N","01","Eenmanszaak","1071","Verv. brood en vers banketbakkerswerk","","","","","N","N",0,0,20181015,20130102,0,0,20181015,"",0,0
"Woerden","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20181011,20181011,20210419,20181011,20210409,0,0,"",0,0
"Brummen","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20181011,20181011,20181012,20181011,0,0,0,"",2020,20210514
"Groningen","H","41","Besloten vennootschap met gewone structuur","35113","Prod.elektr.zonnecellen/warmtep./waterkr","7112","Ingenieurs/overig techn. ontwerp/advies","","","N","N",20181011,20181011,20181012,20181011,20200117,0,0,"",2020,20211101
"Veghel","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20181011,20181011,0,0,0,0,0,"",0,0
"Groningen","H","41","Besloten vennootschap met gewone structuur","35113","Prod.elektr.zonnecellen/warmtep./waterkr","7112","Ingenieurs/overig techn. ontwerp/advies","","","N","N",20181011,20181011,20181012,20181011,20200117,0,0,"",2020,20211101
"Groningen","H","41","Besloten vennootschap met gewone structuur","35113","Prod.elektr.zonnecellen/warmtep./waterkr","7112","Ingenieurs/overig techn. ontwerp/advies","","","N","N",20181011,20181011,20181012,20181011,20200117,0,0,"",2020,20211101
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20181011,20181011,20190213,20181011,20200401,0,0,"",2020,20220408
