"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Rotterdam","H","01","Eenmanszaak","43999","Overige gespec. werkz. in de bouw (rest)","","","","","N","N",0,0,20190123,20190123,0,0,0,"",0,0
"Boxtel","H","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","J","J",20190122,20190122,20190123,20190122,0,0,0,"",2019,20201222
"Rotterdam","H","01","Eenmanszaak","52241","Laad-/los-/overslagactiv. voor zeevaart","4120","Algemene burgerlijke en utiliteitsbouw","","","N","N",0,0,20190123,20190123,0,0,0,"",0,0
"London W1W 8SB","H","96","Buitenl. op EG-venn. lijkende venn. met onderneming in Nederland","78202","Uitleenbureaus","","","","","N","N",20180123,20180123,20190123,20190115,0,0,0,"",0,0
"Maastricht","H","11","Vennootschap onder firma","5629","Kantines en contractcatering","47911","Internethandel voeding en drogisterij","","","N","N",20190101,0,20190123,20180918,20190101,0,20190101,"",0,0
"Deventer","H","01","Eenmanszaak","7430","Vertalers en tolken","","","","","N","N",0,0,20190123,20190125,0,0,0,"",0,0
"Hooge Mierde","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20190123,20190123,0,0,0,"",0,0
"Amersfoort","H","01","Eenmanszaak","47916","Internethandel in vrijetijdsartikelen","","","","","J","N",0,0,20190123,20190123,0,0,0,"",0,0
"Dwingeloo","H","01","Eenmanszaak","8891","Kinderopvang","","","","","N","N",0,0,20190123,20190116,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","88101","Thuiszorg","","","","","N","N",0,0,20190123,20190101,20200826,0,0,"",0,0
