"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Heerlen","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20110506,20110509,0,0,0,"",0,0
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","6202","Advisering ohgv informatietechnologie","78202","Uitleenbureaus","N","N",20110506,20110506,20110506,20110506,0,0,0,"",2020,20211021
"Voorburg","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19910306,19910306,0,0,0,0,0,"",0,0
"Tilburg","H","01","Eenmanszaak","90012","Producenten van podiumkunst","","","","","N","N",0,0,20110506,20110501,20150209,0,0,"",0,0
"Deurne","H","01","Eenmanszaak","33123","Rep./onderh. machines specif.bedrijfstak","","","","","N","N",0,0,20110506,20110506,20140207,0,0,"",0,0
"Dongen","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20110504,20110504,0,0,0,0,0,"",0,0
"Zuidschermer","H","41","Besloten vennootschap met gewone structuur","47915","Internethandel huis- en tuinartikelen","","","","","N","N",20110504,20110504,20110506,20110504,0,0,0,"",2018,20210106
"Barneveld","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20110427,20110427,20110506,20110427,0,0,0,"",2021,20220505
"Kamperland","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","7112","Ingenieurs/overig techn. ontwerp/advies","4221","Leggen van rioleringen/buizen/pijpen ed","N","N",0,0,20110506,20110506,20200320,0,0,"",0,0
"Hilvarenbeek","H","01","Eenmanszaak","9002","Dienstverlening voor uitvoerende kunst","","","","","N","N",0,0,20110506,20110509,20170306,0,0,"",0,0
"Amsterdam","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",20110502,20110502,0,0,0,0,0,"",0,0
"Emst","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20110503,20110503,0,0,0,0,0,"",0,0
"Hazerswoude-Dorp","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20110506,20110506,20130331,0,0,"",0,0
"Vught","","71","Vereniging met volledige rechtsbevoegdheid","94991","Gezelligheidsverenigingen","","","","","","",20110101,0,0,0,0,0,0,"",0,0
"Wijk bij Duurstede","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","70221","Organisatie-adviesbureaus","","","N","N",20110504,20110504,20110506,20100601,0,0,20110504,"",2020,20210914
"Hoorn","H","01","Eenmanszaak","90011","Beoefening van podiumkunst","90012","Producenten van podiumkunst","","","N","N",0,0,20200401,20110205,20200101,0,0,"",0,0
