"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Lemmer","H","01","Eenmanszaak","3012","Bouw van sport- en recreatievaartuigen","7721","Verhuur van sport- en recreatieartikelen","","","","",0,0,20001227,20010101,20030101,0,0,"",0,0
"Marsum","H","01","Eenmanszaak","90011","Beoefening van podiumkunst","9002","Dienstverlening voor uitvoerende kunst","","","","",0,0,20001227,20010101,20010101,0,20090601,"",0,0
"Drachten","H","01","Eenmanszaak","4331","Stukadoren","","","","","","",0,0,20001227,20010101,20171128,0,0,"",0,0
"Blije","H","01","Eenmanszaak","7311","Reclamebureaus","","","","","","",0,0,20001227,20010101,0,0,0,"",0,0
"Ureterp","H","01","Eenmanszaak","4332","Bouwtimmeren","4120","Algemene burgerlijke en utiliteitsbouw","","","","",0,0,20001227,20010101,20010929,0,0,"",0,0
"Leeuwarden","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","","",0,0,20001227,20010101,20160601,0,0,"",0,0
"Leeuwarden","H","01","Eenmanszaak","69203","Boekhoudkantoren","85592","Bedrijfsopleiding en -training","47919","Internethandel alg.assortiment non-food","","",0,0,20001227,20010101,0,0,0,"",0,0
"Akkrum","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","","",0,0,20001227,20010101,20190501,0,0,"",0,0
"Raard","H","01","Eenmanszaak","69203","Boekhoudkantoren","69204","Belastingconsulenten","","","","",0,0,20001227,20010101,20160408,0,0,"",0,0
"Leeuwarden","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","","",0,0,20001227,20010101,20190301,0,0,"",0,0
"Lemmer","H","01","Eenmanszaak","3012","Bouw van sport- en recreatievaartuigen","47521","Winkels in ijzerwaren en gereedschappen","","","","",0,0,20001227,20010102,0,0,0,"",0,0
"Koudum","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","","",0,0,20220331,20010101,20220314,0,0,"",0,0
"Almere","H","01","Eenmanszaak","6831","Bemidd. bij handel/huur/verhuur onr.goed","6311","Gegevensverw./webhosting/aanverw. activ.","6399","Ov. dienstv. activ. opgv informatie","","",0,0,20090126,20010101,20090123,0,0,"",0,0
"Fochteloo","H","01","Eenmanszaak","91042","Natuurbehoud","","","","","N","N",0,0,20001227,20010101,0,0,0,"",0,0
"Wergea","H","01","Eenmanszaak","4639","GH voedings-/genotmiddelen algemeen ass.","4120","Algemene burgerlijke en utiliteitsbouw","","","N","N",0,0,20141015,20010101,20210305,0,0,"",0,0
"Burgum","H","01","Eenmanszaak","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","","",0,0,20001227,20010101,20100201,0,0,"",0,0
"Wijckel","","71","Vereniging met volledige rechtsbevoegdheid","9411","Bedrijfs- en werkgeversorganisaties","","","","","","",20001222,20001222,0,0,0,0,0,"",0,0
"Burgum","H","11","Vennootschap onder firma","3109","Vervaardiging van overige meubels","","","","","J","N",20090101,0,20001227,20010101,20070101,0,20090101,"",0,0
"Akkrum","H","01","Eenmanszaak","53202","Koeriers","","","","","","",0,0,20001227,20010101,20200101,0,0,"",0,0
"Heerenveen","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","","",20010403,20010403,20001222,20001201,0,0,20010403,"",2011,20130128
"Leeuwarden","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","","",0,0,20001227,20010101,0,0,0,"",0,0
"Heerenveen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20010403,20010403,20001222,20001201,20150811,0,20010403,"",2020,20220613
"West-Terschelling","H","01","Eenmanszaak","4334","Schilderen en glaszetten","4333","Afwerking van vloeren en wanden","","","","",0,0,20001227,20010101,0,0,0,"",0,0
"Balk","H","41","Besloten vennootschap met gewone structuur","43999","Overige gespec. werkz. in de bouw (rest)","","","","","J","J",20060109,20060109,20001227,20010101,0,0,20060109,"",2018,20210114
"Harlingen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20001220,20001220,20070123,20001220,20070117,0,0,"",2020,20211005
"Haren Gn","","74","Stichting","94993","Steunfondsen (niet ohgv welzijnszorg)","","","","","","",20001220,20001220,0,0,0,0,0,"",0,0
"Etten-Leur","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20010118,20010118,20150504,20001201,20150401,0,20010118,"",2018,20190412
"Winschoten","H","41","Besloten vennootschap met gewone structuur","2120","Verv. farmaceutische producten","46461","Groothandel in farmaceutische producten","47918","Internethandel overige non-food","N","N",20010130,20010130,20001222,20001221,20180312,0,20010130,"",2019,20210802
"Thesinge","H","01","Eenmanszaak","6201","Ontwikkelen/produceren/uitgeven software","","","","","N","N",0,0,20001222,20001001,20030812,0,0,"",0,0
"Heerenveen","H","41","Besloten vennootschap met gewone structuur","6311","Gegevensverw./webhosting/aanverw. activ.","6201","Ontwikkelen/produceren/uitgeven software","","","N","N",20060517,20060517,20060824,20010101,20220315,0,20060517,"",2020,20210423
"Meppel","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20001218,20001218,20001222,20001218,0,0,0,"",2020,0
"Meppel","H","41","Besloten vennootschap met gewone structuur","46731","Groothandel in hout en plaatmateriaal","46739","GH bouwmaterialen algemeen assortiment","47999","DH via overige distributievormen","J","",20001218,20001218,20001222,19060326,0,0,20001218,"",2020,0
"Dieverbrug","N","41","Besloten vennootschap met gewone structuur","46739","GH bouwmaterialen algemeen assortiment","","","","","","",20001218,20001218,20001222,19200701,0,0,20001218,"",2020,0
"Dedemsvaart","N","41","Besloten vennootschap met gewone structuur","46739","GH bouwmaterialen algemeen assortiment","47528","Bouwmarkten/winkels bouwmat. alg.ass.","","","","",20001218,20001218,20001222,19790401,0,0,20001218,"",2020,0
"Ekehaar","","74","Stichting","94993","Steunfondsen (niet ohgv welzijnszorg)","","","","","","",20001221,20001221,0,0,0,0,0,"",0,0
"Eursinge","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","6420","Financiële holdings","","","","",20001221,20001221,20001222,20001221,20100401,0,0,"",2020,20210928
"Eursinge","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20001221,20001221,20001222,20001221,20100401,0,0,"",2020,20210928
"Midlaren","H","41","Besloten vennootschap met gewone structuur","70222","Advisering ohgv management/bedrijfsv.","70221","Organisatie-adviesbureaus","","","","",20010117,20010117,20001222,20001218,20090701,0,20010117,"",2020,20220127
"Havelte","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","","",0,0,20001227,20010101,20120419,0,0,"",0,0
"Zwartemeer","H","11","Vennootschap onder firma","4333","Afwerking van vloeren en wanden","","","","","","",20010101,0,20001227,20010101,0,0,0,"",0,0
"Erica","H","41","Besloten vennootschap met gewone structuur","69203","Boekhoudkantoren","","","","","","",20070202,20070202,20001227,20010101,20161212,0,20070202,"",2020,20220107
"Coevorden","H","41","Besloten vennootschap met gewone structuur","52102","Opslag in koelhuizen e.d.","4941","Goederenvervoer over weg (geen verhuiz.)","","","","",20001221,20001221,20001227,20001221,0,0,0,"",2021,20220519
"Emmen","H","41","Besloten vennootschap met gewone structuur","1412","Vervaardiging van werkkleding","6420","Financiële holdings","","","J","J",20010207,20010207,20001227,20001221,20210908,0,20010207,"",2021,20220615
"Emmen","","74","Stichting","6420","Financiële holdings","","","","","","",20001222,20001222,0,0,0,0,0,"",0,0
"Hoogeveen","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","","",0,0,20001227,20010101,20010101,0,0,"",0,0
"Stuifzand","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","","",0,0,20001227,20010101,20030602,0,0,"",0,0
"Kerkenveld","H","11","Vennootschap onder firma","0162","Dienstverl. voor fokken en houden dieren","01412","Opfokken jongvee voor melkveehouderij","","","","",20050101,0,20001227,20010101,0,0,20050101,"",0,0
"Stieltjeskanaal","H","01","Eenmanszaak","69203","Boekhoudkantoren","5621","Eventcatering","96022","Schoonheidsverzorging/pedi-/manicures","","",0,0,20001227,20010101,20170307,0,20030701,"",0,0
"Assen","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","46901","Niet-gespec. GH in consumentenartikelen","7112","Ingenieurs/overig techn. ontwerp/advies","N","N",0,0,20001227,20010101,0,0,0,"",0,0
"Aalden","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","","",0,0,20001227,20010101,20030321,0,0,"",0,0
"Diever","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","","",20011010,20011010,20001227,20010101,20110709,0,20011010,"",2020,20211119
"Schoonebeek","H","01","Eenmanszaak","7732","Verh./lease machines/instal.voor de bouw","","","","","","",0,0,20001227,20010101,20211008,0,0,"",0,0
"Groningen","H","01","Eenmanszaak","96021","Haarverzorging","9002","Dienstverlening voor uitvoerende kunst","5590","Overige logiesverstrekking","N","N",0,0,20001227,20010101,20091201,0,0,"",0,0
