"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Utrecht","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","74201","Fotografie","","","J","J",0,0,20201218,20201210,0,0,0,"",0,0
"Groningen","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20201218,20201218,20201218,20201218,0,0,0,"",0,0
"Nootdorp","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","N","N",20201218,20201218,20201218,20201218,0,0,0,"",2021,20220328
"Bergschenhoek","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20201218,20201218,20201218,20201218,0,0,0,"",2020,20210406
"Herten","H","11","Vennootschap onder firma","53202","Koeriers","","","","","N","N",20201218,0,20201218,20201218,0,0,0,"",0,0
"Varsseveld","H","01","Eenmanszaak","46901","Niet-gespec. GH in consumentenartikelen","47916","Internethandel in vrijetijdsartikelen","","","J","N",0,0,20201218,20201218,0,0,0,"",0,0
"Harkstede","H","01","Eenmanszaak","8130","Landschapsverzorging","4312","Grondverzet","","","N","N",0,0,20201218,20201218,20210503,0,0,"",0,0
"Berkel en Rodenrijs","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","N","N",20201217,20201217,20201218,20140301,0,0,20201217,"",2020,20210905
"Leusden","H","01","Eenmanszaak","5920","Maken en uitgeven van geluidsopnamen","5912","Facilitaire activ. voor film-/tv-prod.","","","N","N",0,0,20201218,20201101,0,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6201","Ontwikkelen/produceren/uitgeven software","7320","Markt- en opinieonderzoekbureaus","6202","Advisering ohgv informatietechnologie","N","N",20201218,20201218,20201218,20201218,20210901,0,0,"",0,0
"Delft","","74","Stichting","64303","Beleggingsinst. met beperkte toetreding","","","","","","",20201217,20201217,0,0,0,0,0,"",0,0
"Tholen","H","41","Besloten vennootschap met gewone structuur","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",20201218,20201218,20201218,20201218,0,0,0,"",2020,20220515
"Roermond","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20201218,20201221,0,0,0,"",0,0
"Zwijndrecht","H","01","Eenmanszaak","6202","Advisering ohgv informatietechnologie","6209","Ov. dienstv. act. ohgv informatietechn.","6203","Beheer van computerfaciliteiten","N","N",0,0,20201218,20201203,0,0,0,"",0,0
"Nieuwegein","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20201218,20201218,20201218,20201218,0,0,0,"",0,0
"Best","H","41","Besloten vennootschap met gewone structuur","45402","DH en reparatie motorfiets(onderdel)en","7721","Verhuur van sport- en recreatieartikelen","","","J","J",20201217,20201217,20201218,20201217,0,0,0,"",0,0
"Venhuizen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20201218,20201218,20201218,20201218,0,0,0,"",0,0
"Doetinchem","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20201217,20201217,20201218,20201217,0,0,0,"",0,0
