"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Amsterdam","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","47999","DH via overige distributievormen","","","N","N",0,0,19960606,19960604,19960604,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","68204","Verh. onroerend goed (niet v woonruimte)","6420","Financiële holdings","N","N",19960807,19960807,19960606,19960606,20170214,0,19960807,"",2019,20210527
"Amstelveen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","64922","Volkskredietbanken/commerciële financ.","","","N","N",19941212,19941212,19960606,19940415,20110316,0,19941212,"",2019,20210310
"Oosterwolde","H","01","Eenmanszaak","6201","Ontwikkelen/produceren/uitgeven software","","","","","N","N",0,0,20210729,19960606,20210712,0,0,"",0,0
"Amsterdam","H","61","Coöperatie","94997","Overige belangenbehartiging (rest)","","","","","N","N",19931020,19931020,19960606,19931020,20180101,0,0,"",2010,20110406
"Haarlem","H","41","Besloten vennootschap met gewone structuur","47713","Winkels in bovenkleding/mode-artikelen","","","","","N","N",19971106,19971106,19960606,19960528,20121001,0,19971106,"",2020,20210707
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19960530,19960530,19960606,19960530,20150101,0,0,"",2020,20220613
"Almere","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20000315,19960601,20000301,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,19960606,19960301,20080701,0,0,"",0,0
"Haarlem","H","41","Besloten vennootschap met gewone structuur","96012","Chemische wasserijen en ververijen","1413","Vervaardiging van overige bovenkleding","","","N","N",19960506,19960506,19960607,19960506,0,0,0,"",2020,20210610
"Aalsmeer","H","11","Vennootschap onder firma","01192","Teelt snij-bloemen/heesters onder glas  ","0161","Dienstverl. akker- en/of tuinbouw","","","N","N",19960101,0,19960607,19691101,20010101,0,19960101,"",0,0
"Aerdenhout","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","70221","Organisatie-adviesbureaus","6420","Financiële holdings","N","N",19960524,19960524,19960607,19960524,19960524,0,0,"",2021,20220504
"Heemskerk","H","01","Eenmanszaak","8130","Landschapsverzorging","","","","","N","N",0,0,19960607,19960607,20031101,0,0,"",0,0
"Haarlem","H","41","Besloten vennootschap met gewone structuur","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",19960531,19960531,19960607,19960531,19970115,0,0,"",2020,20211221
"Koog aan de Zaan","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19960530,19960530,19960610,19960530,20210810,0,0,"",2020,20220215
"Westzaan","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","N","N",19960530,19960530,19960606,19960530,0,0,0,"",2021,20220531
