"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Nieuwe Niedorp","H","01","Eenmanszaak","0161","Dienstverl. akker- en/of tuinbouw","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Malden","H","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","","","","","N","N",0,0,20101227,20110103,20130201,0,0,"",0,0
"Vinkeveen","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","2562","Algemene metaalbewerking","5221","Dienstverlening voor vervoer over land","N","N",0,0,20101227,20110103,20170623,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","64303","Beleggingsinst. met beperkte toetreding","","","N","N",20101222,20101222,20101227,20101222,20190812,0,0,"",2021,20220522
"Den Helder","H","01","Eenmanszaak","5912","Facilitaire activ. voor film-/tv-prod.","","","","","N","N",0,0,20101227,20110101,20151015,0,0,"",0,0
"Ede","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","7430","Vertalers en tolken","","","N","N",0,0,20180104,20110101,20180102,0,0,"",0,0
"Voorschoten","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19960502,19960502,0,0,0,0,0,"",0,0
"Helmond","H","01","Eenmanszaak","86919","Overige paramedische praktijken","88101","Thuiszorg","","","N","N",0,0,20101227,20110101,20200731,0,0,"",0,0
"Hollandscheveld","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","N","N",20101227,20101227,20200414,20101227,20190615,0,0,"",2021,20220310
"Kloosterzande","H","01","Eenmanszaak","7311","Reclamebureaus","","","","","N","N",0,0,20101227,20110101,20170310,0,0,"",0,0
"Drachten","H","41","Besloten vennootschap met gewone structuur","2740","Verv. elektr. lampen en verlichtingsapp.","46432","GH elektrische huishoudelijke apparaten","7112","Ingenieurs/overig techn. ontwerp/advies","N","J",20101221,20101221,20101227,19900101,0,0,20101221,"",2020,20211226
"Zoetermeer","H","01","Eenmanszaak","86912","Praktijken van fysiotherapeuten","86919","Overige paramedische praktijken","86923","Preventieve gezondh.zorg (geen arbobeg.)","N","N",0,0,20101227,20110101,20170923,0,0,"",0,0
"Barendrecht","H","01","Eenmanszaak","47912","Internethandel consumentenelektronica","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Doorn","H","01","Eenmanszaak","69102","Rechtskundige adviesbureaus","","","","","N","N",0,0,20150113,20110101,20141222,0,0,"",0,0
"Breda","H","01","Eenmanszaak","6203","Beheer van computerfaciliteiten","5621","Eventcatering","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Eindhoven","N","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","","","","","N","N",0,0,20101227,20110101,20110118,0,0,"",0,0
"Wassenaar","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Haarlem","H","01","Eenmanszaak","86221","Praktijken medisch spec./med. dagbehand.","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"'s-Gravenhage","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19740501,19740501,0,0,0,0,0,"",0,0
"Nuenen","H","01","Eenmanszaak","86922","Arbobegeleiding en reïntegratie","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","7500","Veterinaire dienstverlening","","","","","N","N",0,0,20101227,20110101,20211115,0,0,"",0,0
"Wormer","H","01","Eenmanszaak","6202","Advisering ohgv informatietechnologie","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Enschede","H","07","Maatschap","8621","Praktijken van huisartsen","","","","","N","N",20110101,0,20101227,20110101,20140101,0,0,"",0,0
"Voorburg","","74","Stichting","94993","Steunfondsen (niet ohgv welzijnszorg)","","","","","","",20101227,20101227,0,0,0,0,0,"",0,0
"Boekel","H","41","Besloten vennootschap met gewone structuur","2562","Algemene metaalbewerking","45203","Reparatie van specifieke auto-onderdelen","","","J","J",20101223,20101223,20101227,19990312,0,0,20101223,"",2020,20210716
"Meppel","H","01","Eenmanszaak","1814","Grafische afwerking en verwante activit","","","","","N","N",0,0,20101227,20110101,20210727,0,0,"",0,0
"Boskoop","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","N","N",0,0,20101227,20110101,20160726,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","6201","Ontwikkelen/produceren/uitgeven software","85592","Bedrijfsopleiding en -training","","","N","N",0,0,20101227,20110101,20141218,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","82999","Overige zakelijke dienstverlening (rest)","","","N","N",0,0,20190121,20110101,20190121,0,0,"",0,0
"Gendt","H","01","Eenmanszaak","88101","Thuiszorg","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"De Cocksdorp","H","01","Eenmanszaak","8130","Landschapsverzorging","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Heemstede","H","11","Vennootschap onder firma","3212","Bewerken edelstenen en verv. sieraden","","","","","N","N",20110101,0,20101227,20110101,20160625,0,0,"",0,0
"Schoonhoven","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Zutphen","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20140520,20110101,20140520,0,0,"",0,0
"Boxtel","H","01","Eenmanszaak","01192","Teelt snij-bloemen/heesters onder glas  ","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Anna Paulowna","H","01","Eenmanszaak","86929","Samenwerkingsorganen ohgv gez.zorg","","","","","N","N",0,0,20101227,20110101,20121008,0,0,"",0,0
"Sint-Annaland","H","01","Eenmanszaak","96021","Haarverzorging","1413","Vervaardiging van overige bovenkleding","","","N","N",0,0,20101227,20110101,20180723,0,0,"",0,0
"Ridderkerk","H","01","Eenmanszaak","69203","Boekhoudkantoren","","","","","N","N",0,0,20101227,20110101,20160815,0,0,"",0,0
"Hilversum","H","01","Eenmanszaak","7311","Reclamebureaus","74101","Communicatie- en grafisch ontwerp","","","N","N",0,0,20101227,20110101,20220401,0,0,"",0,0
"Baarle-Nassau","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","4334","Schilderen en glaszetten","43999","Overige gespec. werkz. in de bouw (rest)","N","N",0,0,20210323,20110101,20210317,0,0,"",0,0
"Dordrecht","H","01","Eenmanszaak","7490","Overige special. zakelijke dienstverl.","","","","","N","N",0,0,20101227,20110101,20170102,0,0,"",0,0
"Groningen","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","7430","Vertalers en tolken","85522","Kunstzinnige vorming voor amateurs","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Veenendaal","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20101223,20101223,20101227,20101223,20200601,0,0,"",2020,20211231
"Amersfoort","H","01","Eenmanszaak","4333","Afwerking van vloeren en wanden","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","","","","","N","N",0,0,20120503,20110101,20150110,0,0,"",0,0
"Hilvarenbeek","H","01","Eenmanszaak","69203","Boekhoudkantoren","","","","","N","N",0,0,20101227,20110101,20191028,0,0,"",0,0
"Leersum","H","01","Eenmanszaak","59111","Prod. films (geen televisiefilms)","","","","","N","N",0,0,20200403,20110101,20200319,0,0,"",0,0
"Utrecht","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19780117,19780117,0,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","90011","Beoefening van podiumkunst","","","","","","",20101217,20101217,0,0,0,0,0,"",0,0
"Sittard","H","01","Eenmanszaak","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Hillegom","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20101227,20110101,20141110,0,0,"",0,0
"Hasselt","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20220524,20110101,20220512,0,0,"",0,0
"Zetten","H","01","Eenmanszaak","8292","Pakken, sorteren e.d. in loon","","","","","N","N",0,0,20101227,20110101,20190117,0,0,"",0,0
"Heerjansdam","H","11","Vennootschap onder firma","69203","Boekhoudkantoren","","","","","N","N",20110101,0,20101227,20110101,20210216,0,0,"",0,0
"Aarlanderveen","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20060811,20060811,0,0,0,0,0,"",0,0
"Sterksel","H","01","Eenmanszaak","8560","Dienstverlening voor het onderwijs","","","","","N","N",0,0,20101227,20110101,20210201,0,0,"",0,0
"Zonnemaire","H","01","Eenmanszaak","8553","Auto- en motorrijscholen","45311","GH/HB auto-ond./-access. (geen banden)","","","N","N",0,0,20101227,20110101,0,0,0,"",0,0
"Lelystad","H","01","Eenmanszaak","53202","Koeriers","46383","Gesp. GH in ov. voedings- en genotm.","","","N","N",0,0,20101227,20110101,20210930,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","9313","Fitnesscentra","","","","","N","N",0,0,20200402,20101201,20200329,0,0,"",0,0
