"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Amstelveen","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20150102,20100503,20150102,0,0,"",0,0
"Heeg","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20100528,20100528,20100607,20100528,20201126,0,0,"",2020,20220502
"Rijswijk","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19740919,19740919,0,0,0,0,0,"",0,0
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20090119,20090119,0,0,0,0,0,"",0,0
"Utrecht","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19781009,19781009,0,0,0,0,0,"",0,0
"Tholen","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","N","N",20100601,20100601,20100607,20100601,0,0,0,"",2020,20210304
"Deil","H","41","Besloten vennootschap met gewone structuur","93125","Paardensport en maneges","91041","Dieren-/plantentuinen, kinderboerderijen","5530","Kampeerterreinen","N","N",20100531,20100531,20100607,20100531,0,0,0,"",2020,20211213
"Susteren","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20100531,20100531,20100607,20100531,20210901,0,0,"",2020,20210322
"Waddinxveen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20100531,20100531,20100607,20100531,0,0,0,"",2021,20220531
"Hengelo","","74","Stichting","94993","Steunfondsen (niet ohgv welzijnszorg)","","","","","","",20100531,20100531,0,0,0,0,0,"",0,0
"Vlissingen","H","41","Besloten vennootschap met gewone structuur","6630","Vermogensbeheer","","","","","N","N",20100531,20100531,20100607,20100531,20200801,0,0,"",2020,20220112
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19760216,19760216,0,0,0,0,0,"",0,0
"Utrecht","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20060222,20060222,0,0,0,0,0,"",0,0
"Veen","H","41","Besloten vennootschap met gewone structuur","4622","Groothandel in bloemen en planten","46311","Groothandel in groenten en fruit","","","N","J",20100528,20100528,20100607,20100528,0,0,0,"",2020,20210712
"Amsterdam","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20100607,20100601,20110309,0,0,"",0,0
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19931021,19931021,0,0,0,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20100604,20100604,20100607,20100604,0,0,0,"",2019,20200813
"Elsendorp","H","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","88992","Maatschappelijk werk","","","N","N",0,0,20100607,20100607,20150219,0,0,"",0,0
"Rijswijk","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19950330,19950330,0,0,0,0,0,"",0,0
"Barendrecht","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20100527,20100527,20210715,20100527,20210715,0,0,"",2020,20211021
"Amersfoort","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19971231,19971231,0,0,0,0,0,"",0,0
"Haren Gn","H","01","Eenmanszaak","7311","Reclamebureaus","","","","","N","N",0,0,20190418,20100601,20190401,0,0,"",0,0
"Rijswijk","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19730716,19730716,0,0,0,0,0,"",0,0
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19800215,19800215,0,0,0,0,0,"",0,0
"Veenendaal","H","41","Besloten vennootschap met gewone structuur","47714","Winkels in baby- en kinderkleding","","","","","N","N",20100531,20100531,20100607,19990506,0,0,20100531,"",2020,20220607
"Varik","H","41","Besloten vennootschap met gewone structuur","43221","Loodg.- en fitterswerk; inst. sanitair","43222","Inst. verwarmings-/luchtbehandelingsapp.","","","N","N",20100528,20100528,20100607,19930401,0,0,20100528,"",2020,20211019
"Deurne","H","01","Eenmanszaak","86231","Praktijken van tandartsen","","","","","N","N",0,0,20100823,20100607,20130901,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","5912","Facilitaire activ. voor film-/tv-prod.","9003","Schrijven en overige scheppende kunst","","","N","N",0,0,20181123,20100614,20181123,0,0,"",0,0
"Geleen","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19670531,19670531,0,0,0,0,0,"",0,0
"Deventer","H","01","Eenmanszaak","8621","Praktijken van huisartsen","","","","","N","N",0,0,20100607,20100607,20210423,0,0,"",0,0
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19931021,19931021,0,0,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","86231","Praktijken van tandartsen","","","","","N","N",0,0,20100607,20100301,20150101,0,0,"",0,0
"Eefde","H","51","Naamloze vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","N","N",20100601,20100531,20100607,20100601,20190701,0,0,"",2020,20210917
"Veghel","H","41","Besloten vennootschap met gewone structuur","2562","Algemene metaalbewerking","","","","","N","N",20100531,20100531,20100607,20100531,20110516,0,0,"",2021,20220525
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","64923","Participatiemaatschappijen","","","","","N","N",20100527,20100527,20100607,20100527,0,0,0,"",2018,20191230
"Spankeren","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20100528,20100528,20100607,20100528,20170120,0,0,"",2021,20220414
"Amersfoort","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20071106,20071106,0,0,0,0,0,"",0,0
"Wilnis","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20100531,20100531,20100607,20100531,0,0,0,"",2016,20180130
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19980123,19980123,0,0,0,0,0,"",0,0
"Lelystad","H","41","Besloten vennootschap met gewone structuur","46692","GH mach./app.warmte-/koel-/vriestechniek","","","","","J","N",20100604,20100604,20100607,20100604,20120801,0,0,"",2021,0
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20020913,20020913,0,0,0,0,0,"",0,0
"Rijswijk","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19741014,19741014,0,0,0,0,0,"",0,0
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","6201","Ontwikkelen/produceren/uitgeven software","","","","","N","N",20100527,20100527,20100607,20080623,0,0,20100527,"",2018,20191230
"Vleuten","H","41","Besloten vennootschap met gewone structuur","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",20100602,20100602,20100607,20100602,20141104,0,0,"",2021,20220531
"Delft","H","01","Eenmanszaak","96021","Haarverzorging","9609","Overige dienstverlening (rest)","","","N","N",0,0,20100607,20100607,0,0,0,"",0,0
