"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Utrecht","H","21","Commanditaire vennootschap","46435","Groothandel in beeld- en geluidsdragers","9002","Dienstverlening voor uitvoerende kunst","5920","Maken en uitgeven van geluidsopnamen","","",19970515,0,19970514,19970515,20141020,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","74201","Fotografie","88993","Lokaal welzijnswerk","88101","Thuiszorg","","",0,0,19970514,19970512,20210707,0,0,"",0,0
"Maarssen","H","11","Vennootschap onder firma","4120","Algemene burgerlijke en utiliteitsbouw","","","","","","",20030101,0,19970514,19970512,20090127,0,20030101,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6201","Ontwikkelen/produceren/uitgeven software","6311","Gegevensverw./webhosting/aanverw. activ.","","","N","N",20030930,20030930,20050314,19970512,20201101,0,20030930,"",2020,20210907
"Maarssen","H","01","Eenmanszaak","69203","Boekhoudkantoren","69204","Belastingconsulenten","","","","",0,0,19970514,19960101,0,0,0,"",0,0
"Zeist","H","01","Eenmanszaak","85592","Bedrijfsopleiding en -training","","","","","","",0,0,19970514,19970401,20150415,0,0,"",0,0
"Harderwijk","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",19910318,19910318,20121009,19900701,20120924,0,19910318,"",2020,20210927
"Soest","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","78202","Uitleenbureaus","","","","",19960426,19960426,19970515,19960426,20060701,0,0,"",2020,20210623
"Bussum","H","41","Besloten vennootschap met gewone structuur","6209","Ov. dienstv. act. ohgv informatietechn.","78202","Uitleenbureaus","","","N","N",19970926,19970926,19970514,19970101,20100906,0,19970926,"",2020,20211130
"Zutphen","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","","",0,0,20141111,19970515,20141111,0,0,"",0,0
"Hoofddorp","H","41","Besloten vennootschap met gewone structuur","4651","GH computers, randapparatuur en software","6202","Advisering ohgv informatietechnologie","","","N","N",19970626,19970626,19970514,19970514,20050401,0,19970626,"",2020,20211231
"Amsterdam","H","71","Vereniging met volledige rechtsbevoegdheid","7911","Reisbemiddeling","","","","","N","N",19790724,19790724,19970514,19790408,19970301,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","96021","Haarverzorging","96022","Schoonheidsverzorging/pedi-/manicures","N","N",0,0,19970514,19750808,0,0,19981231,"",0,0
"Hoofddorp","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19970328,19970328,19970514,19810101,20181206,0,0,"",2018,20201125
"Reusel","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","78202","Uitleenbureaus","","","N","N",19960119,19960119,20140917,19930101,20140513,0,19960119,"",2020,20210927
"Hoorn","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19810828,19810828,20010409,19810828,20010401,0,0,"",2020,20211201
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19970418,19970418,20190605,19970418,20190510,0,0,"",2020,20220606
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",19950519,19950519,19970514,19950519,19970401,0,0,"",2019,20210628
"Hoofddorp","H","01","Eenmanszaak","6831","Bemidd. bij handel/huur/verhuur onr.goed","6622","Assurantietussenpersonen","45205","Overige gespec. reparatie/slepen auto's","N","N",0,0,19970515,19970515,20190409,0,0,"",0,0
"Heemskerk","H","11","Vennootschap onder firma","81222","Schoorsteenvegen","8129","Overige reiniging","","","N","N",20060101,0,19970515,19970515,0,0,20060101,"",0,0
"Callantsoog","H","11","Vennootschap onder firma","01411","Houden van melkvee","","","","","","",19970101,0,19970515,19230101,0,0,19970101,"",0,0
"Deventer","H","01","Eenmanszaak","8560","Dienstverlening voor het onderwijs","85592","Bedrijfsopleiding en -training","","","N","N",0,0,19970515,19970201,19980302,0,0,"",0,0
"Balk","H","11","Vennootschap onder firma","45311","GH/HB auto-ond./-access. (geen banden)","4532","DH in auto-onderdelen en -accessoires","45112","Handel/rep. personen-/lichte bedr.auto's","","",20020101,0,19970515,19970515,20130101,0,20020101,"",0,0
"Gaast","H","11","Vennootschap onder firma","46738","Groothandel gespec. in overige bouwmat.","","","","","","",19970201,0,19970515,19970201,19980500,0,0,"",0,0
