"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Amsterdam","H","01","Eenmanszaak","5629","Kantines en contractcatering","5621","Eventcatering","","","N","N",0,0,20150227,20150217,20160601,0,0,"",0,0
"Rotterdam","","71","Vereniging met volledige rechtsbevoegdheid","93299","Ov. recreatie (rest)(geen jachthavens)","","","","","","",20150226,20150226,0,0,0,0,0,"",0,0
"Tiel","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20150225,20150225,0,0,0,0,0,"",0,0
"Alphen aan den Rijn","H","01","Eenmanszaak","74201","Fotografie","6209","Ov. dienstv. act. ohgv informatietechn.","","","N","N",0,0,20150227,20150201,0,0,0,"",0,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","86221","Praktijken medisch spec./med. dagbehand.","","","","","N","N",20150226,20150226,20170324,20150226,20210501,0,0,"",2020,20211027
"Bunschoten-Spakenburg","H","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","N","N",20150227,20150227,20190103,20150227,20190101,0,0,"",2019,20210525
"Rotterdam","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",20150225,20150225,0,0,0,0,0,"",0,0
"IJsselstein","H","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","","","","","N","N",0,0,20150227,20150301,20170201,0,0,"",0,0
"Schoorl","H","11","Vennootschap onder firma","86231","Praktijken van tandartsen","","","","","N","N",20150101,0,20150227,20150101,0,0,0,"",0,0
"Bergen op Zoom","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20190624,20150120,20190621,0,0,"",0,0
"Tilburg","H","01","Eenmanszaak","85519","Overig sport- en recreatieonderwijs","","","","","N","N",0,0,20150227,20150302,20220328,0,0,"",0,0
"Aalsmeer","H","41","Besloten vennootschap met gewone structuur","7112","Ingenieurs/overig techn. ontwerp/advies","31011","Interieurbouw","","","N","N",20150225,20150225,20150227,20150225,0,0,0,"",2020,20211231
"Berlicum","H","01","Eenmanszaak","45112","Handel/rep. personen-/lichte bedr.auto's","9609","Overige dienstverlening (rest)","4332","Bouwtimmeren","N","N",0,0,20150227,20150301,0,0,0,"",0,0
