"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Someren","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20210913,20210913,0,0,0,"",0,0
"Arnhem","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20210913,20210913,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","47299","Gesp. winkels in ov. voedings-/genotm.","","","N","N",0,0,20210913,20210920,20211220,0,0,"",0,0
"'s-Hertogenbosch","H","01","Eenmanszaak","7490","Overige special. zakelijke dienstverl.","5621","Eventcatering","4391","Dakdekken en bouwen van dakconstructies","N","N",0,0,20210913,20210901,20220516,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","9002","Dienstverlening voor uitvoerende kunst","","","","","J","N",0,0,20210913,20210901,0,0,0,"",0,0
"Leiden","H","01","Eenmanszaak","7490","Overige special. zakelijke dienstverl.","","","","","N","N",0,0,20210913,20210910,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","7490","Overige special. zakelijke dienstverl.","","","","","N","N",0,0,20220523,20210910,20220501,0,0,"",0,0
"Delft","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","70221","Organisatie-adviesbureaus","","","N","N",0,0,20210913,20210913,0,0,0,"",0,0
"Amsterdam","","71","Vereniging met volledige rechtsbevoegdheid","94997","Overige belangenbehartiging (rest)","","","","","","",20210831,20210831,0,0,0,0,0,"",0,0
"Edam","H","01","Eenmanszaak","4634","Groothandel in dranken (geen zuivel)","47919","Internethandel alg.assortiment non-food","","","N","N",0,0,20210913,20190718,0,0,20210728,"",0,0
"Heerlen","H","01","Eenmanszaak","47915","Internethandel huis- en tuinartikelen","","","","","N","N",0,0,20210913,20210912,0,0,0,"",0,0
"Velsen-Noord","H","01","Eenmanszaak","8553","Auto- en motorrijscholen","","","","","N","N",0,0,20210913,20210913,20211013,0,0,"",0,0
"Harskamp","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20210910,20210910,20210913,20210910,0,0,0,"",0,0
"Deventer","H","41","Besloten vennootschap met gewone structuur","74102","Industrieel en productontwerp","46421","Groothandel in bovenkleding","46425","Groothandel in mode-artikelen","N","J",20210910,20210910,20220414,20210910,20220401,0,0,"",0,0
"Terschuur","H","01","Eenmanszaak","85519","Overig sport- en recreatieonderwijs","","","","","N","N",0,0,20210913,20210915,0,0,0,"",0,0
"Utrecht","H","41","Besloten vennootschap met gewone structuur","56101","Restaurants","","","","","N","N",20210910,20210910,20210913,20210910,0,0,0,"",0,0
"Rosmalen","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","74101","Communicatie- en grafisch ontwerp","","","N","N",0,0,20210913,20210913,0,0,0,"",0,0
"Brielle","H","01","Eenmanszaak","7810","Arbeidsbemiddeling","8541","Niet-universitair hoger onderwijs","90011","Beoefening van podiumkunst","N","N",0,0,20210913,20210913,0,0,0,"",0,0
