"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Roermond","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20200420,20200401,0,0,0,"",0,0
"Nijkerk","H","01","Eenmanszaak","74103","Interieur- en ruimtelijk ontwerp","","","","","N","N",0,0,20200420,20200420,0,0,0,"",0,0
"Tilburg","H","01","Eenmanszaak","86919","Overige paramedische praktijken","86929","Samenwerkingsorganen ohgv gez.zorg","","","N","N",0,0,20200420,20200420,0,0,0,"",0,0
"Maastricht","H","01","Eenmanszaak","4942","Verhuisvervoer","","","","","N","N",0,0,20200420,20200401,0,0,0,"",0,0
"Best","H","01","Eenmanszaak","88101","Thuiszorg","8211","Brede administratieve dienstverlening","","","N","N",0,0,20200420,20200420,0,0,0,"",0,0
"Nieuwkoop","H","01","Eenmanszaak","74102","Industrieel en productontwerp","","","","","N","N",0,0,20200420,20200401,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","86923","Preventieve gezondh.zorg (geen arbobeg.)","85599","Studiebegeleiding/vorming/onderwijs","85519","Overig sport- en recreatieonderwijs","N","N",0,0,20200420,20200420,0,0,0,"",0,0
"Nieuwegein","H","01","Eenmanszaak","47918","Internethandel overige non-food","","","","","J","N",0,0,20200420,20200401,0,0,0,"",0,0
"Roosendaal","H","01","Eenmanszaak","45205","Overige gespec. reparatie/slepen auto's","","","","","N","N",0,0,20201008,20200418,20201001,0,0,"",0,0
"Lochem","H","01","Eenmanszaak","6201","Ontwikkelen/produceren/uitgeven software","","","","","N","N",0,0,20210415,20200401,20210403,0,0,"",0,0
"Breda","H","01","Eenmanszaak","88101","Thuiszorg","86919","Overige paramedische praktijken","","","N","N",0,0,20200728,20200420,20200701,0,0,"",0,0
"Amsterdam","","74","Stichting","6420","Financiële holdings","","","","","","",20200420,20200420,0,0,0,0,0,"",0,0
"Roosendaal","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20200420,20200420,20200420,20200420,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,20200420,20200423,0,0,0,"",0,0
