"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Hoevelaken","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19841122,19841122,19871224,19841122,20210926,0,0,"",2020,20211019
"Uddel","H","41","Besloten vennootschap met gewone structuur","68204","Verh. onroerend goed (niet v woonruimte)","","","","","N","N",19650827,19650827,19580219,19570101,20151230,0,19721005,"",2020,20211030
"Hoevelaken","H","41","Besloten vennootschap met gewone structuur","4636","GH suiker, chocolade en suikerwerk","","","","","","",19740109,19740109,20140701,19740109,20140701,0,0,"",2021,20220525
"Borculo","H","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","77112","Operat. lease pers.-/lichte bedr.auto's","","","N","N",19980330,19980330,20071222,19580501,0,0,19980330,"",2020,20210823
"Nijkerk","H","01","Eenmanszaak","43993","Metselen en voegen","","","","","","",0,0,20150617,19880101,20161206,0,0,"",0,0
"Winterswijk Huppel","H","41","Besloten vennootschap met gewone structuur","33123","Rep./onderh. machines specif.bedrijfstak","45193","Handel/reparatie aanhangwagens/opleggers","","","N","N",19760204,19760204,19580422,19580500,20080925,0,19760204,"",2020,20211223
"Groenlo","H","01","Eenmanszaak","5630","Cafés","56101","Restaurants","","","N","N",0,0,20050808,19300516,20050701,0,19801027,"",0,0
"Putten","H","41","Besloten vennootschap met gewone structuur","46722","GH ferrometalen en -halffabrikaten","2562","Algemene metaalbewerking","2511","Verv. metalen constr.werken/delen ervan","N","N",19880211,19880211,19880215,19880211,20100801,0,0,"",2020,20211208
"Neede","H","01","Eenmanszaak","01479","Opfokken en/of houden overig pluimvee","47999","DH via overige distributievormen","","","J","N",0,0,20071222,19330522,0,0,19591028,"",0,0
"Bunschoten-Spakenburg","H","41","Besloten vennootschap met gewone structuur","4110","Projectontwikkeling","6831","Bemidd. bij handel/huur/verhuur onr.goed","6832","Beheer van onroerend goed","","",19880426,19880426,19880503,19880101,20080331,0,19880426,"",2021,20220520
"Lichtenvoorde","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","J","N",19631230,19631230,19580528,19580516,20210301,0,19720503,"",2020,20211119
"Elburg","H","11","Vennootschap onder firma","4321","Elektrotechnische bouwinstallatie","43221","Loodg.- en fitterswerk; inst. sanitair","43222","Inst. verwarmings-/luchtbehandelingsapp.","N","N",19960101,0,19880316,19880316,0,0,19960101,"",0,0
"Vragender","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","J",19851227,19851227,19580603,18700000,0,0,19851227,"",2020,20211217
"Rozendaal","H","41","Besloten vennootschap met gewone structuur","4730","Benzinestations","4619","Niet-gespecialiseerde handelsbemiddeling","","","J","J",19920212,19920212,20041101,19320000,20041101,0,19920212,"",2020,20220208
"Putten","H","41","Besloten vennootschap met gewone structuur","4614","HB mach./techn.ben./schepen/vliegtuigen","","","","","J","J",19880505,19880505,19880506,19880401,19890301,0,19880505,"",2020,20210609
"Hengelo (Gld)","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19930330,19930330,20080117,19580801,19900401,0,19930330,"",2021,20220104
"Apeldoorn","H","11","Vennootschap onder firma","1071","Verv. brood en vers banketbakkerswerk","47241","Winkels in brood en banket","47761","Winkels bloemen/planten/zaden/tuinbenod.","N","N",19930101,0,0,19580615,0,0,19930101,"",0,0
"Baak","H","11","Vennootschap onder firma","4391","Dakdekken en bouwen van dakconstructies","","","","","N","N",20020101,0,20080117,19380000,0,0,20050101,"",0,0
"Zutphen","H","01","Eenmanszaak","4618","HB gespecialiseerd in overige goederen","","","","","N","N",0,0,0,19390000,20021030,0,19770501,"",0,0
"Ermelo","H","41","Besloten vennootschap met gewone structuur","69209","Overige administratiekantoren","69204","Belastingconsulenten","","","N","N",19880531,19880531,19880616,19880531,19900312,0,0,"",2020,20211208
"Nijkerk","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,20140412,19880701,0,0,0,"",0,0
"Ugchelen","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,0,19280000,19920520,0,19890929,"",0,0
"Eerbeek","H","42","Besloten vennootschap blijkens statuten structuurvennootschap","6420","Financiële holdings","","","","","N","N",19571214,19571214,19581025,19571214,0,0,19720919,"",2020,20210621
"Elburg","H","41","Besloten vennootschap met gewone structuur","46383","Gesp. GH in ov. voedings- en genotm.","4618","HB gespecialiseerd in overige goederen","5811","Uitgeverijen van boeken","N","N",19880713,19880713,19880715,19880713,20080530,0,0,"",2021,20220317
"Zwolle","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19580818,19580818,19991115,19580818,19991111,0,19720412,"",2020,20211126
"Steenderen","H","01","Eenmanszaak","5630","Cafés","4725","Winkels in dranken","","","N","N",0,0,20080117,19540000,0,0,19820921,"",0,0
"Winterswijk Huppel","H","41","Besloten vennootschap met gewone structuur","64302","Beleggingsinstellingen in vaste activa","68204","Verh. onroerend goed (niet v woonruimte)","","","N","N",19701229,19701229,19581119,19560000,20030101,0,19721227,"",2020,20211210
"Apeldoorn","H","41","Besloten vennootschap met gewone structuur","69202","Accountants-administratieconsulenten","","","","","N","N",19871217,19871217,0,19461101,20200406,0,19871217,"",2020,20211207
"Harfsen","H","41","Besloten vennootschap met gewone structuur","6810","Handel in eigen onroerend goed","68204","Verh. onroerend goed (niet v woonruimte)","","","N","N",20051128,20051128,20051130,19460000,20110831,0,20051128,"",2020,20210813
"Almen","H","41","Besloten vennootschap met gewone structuur","68203","Verhuur van overige woonruimte","","","","","N","N",19751218,19751218,19581231,19000000,0,0,19751218,"",2018,20200716
"Arnhem","H","51","Naamloze vennootschap met gewone structuur","3512","Beh./expl transp.netten el./gas/warm w.","","","","","N","N",19581218,19581218,20010109,19581218,20170101,0,0,"",2021,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","6630","Vermogensbeheer","","","N","N",19880919,19880919,20150122,19880919,20150122,0,0,"",2020,20220228
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19880919,19880919,20060421,19880919,20060413,0,0,"",2019,20200903
"Wilp","H","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","45311","GH/HB auto-ond./-access. (geen banden)","","","N","N",19791113,19791113,19590121,19580805,20131015,0,19791113,"",2020,20210830
"Vaassen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19900330,19900330,0,19590201,19900330,0,19900330,"",2018,20200724
"Eerbeek","H","41","Besloten vennootschap met gewone structuur","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",19800121,19800121,19590211,19341123,20080601,0,19800121,"",2020,20220404
"Vierhouten","H","11","Vennootschap onder firma","4334","Schilderen en glaszetten","46499","GH ov. consumentenart. (non-food) (rest)","","","N","N",19950101,0,19881107,19881107,19930201,0,19950101,"",0,0
"Dalfsen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19620125,19620125,20170316,19620125,20170301,0,19720811,"",2020,20211105
"Ermelo","H","01","Eenmanszaak","2612","Verv. elektronische printplaten","85599","Studiebegeleiding/vorming/onderwijs","","","N","N",0,0,19890720,19870715,19971217,0,19890511,"",0,0
"Rekken","H","41","Besloten vennootschap met gewone structuur","4120","Algemene burgerlijke en utiliteitsbouw","78202","Uitleenbureaus","","","N","N",19820922,19820922,20071222,19390000,0,0,19820922,"",2021,20220122
"Vleuten","H","41","Besloten vennootschap met gewone structuur","1013","Vleesverwerking (niet tot maaltijden)","","","","","J","J",19890328,19890328,20110902,19751201,20110701,0,19890328,"",2018,20200129
"Ermelo","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","46383","Gesp. GH in ov. voedings- en genotm.","","","","",19870129,19870129,19881228,19860224,20151230,0,19870129,"",2020,20210630
"Nunspeet","H","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","N","J",19990930,19990930,19890102,19890101,20010801,0,19990930,"",2020,20220420
"Beekbergen","H","11","Vennootschap onder firma","5530","Kampeerterreinen","55201","Verh. vakantiehuisjes en appartementen","","","N","N",20090828,0,20090828,19510000,0,0,20090828,"",0,0
"Harderwijk","H","41","Besloten vennootschap met gewone structuur","4332","Bouwtimmeren","46738","Groothandel gespec. in overige bouwmat.","","","N","N",19960521,19960521,19890102,19890101,19960521,0,19960521,"",2020,20211108
"Vaassen","H","41","Besloten vennootschap met gewone structuur","46497","GH papier-/kartonwaren(geen verpak.mat.)","","","","","N","N",19881230,19881230,19890103,19881230,20180201,0,0,"",2020,20210702
"Ermelo","H","11","Vennootschap onder firma","69203","Boekhoudkantoren","69204","Belastingconsulenten","","","N","N",19940101,0,19890105,19890101,20170101,0,19940101,"",0,0
"Winterswijk Miste","H","41","Besloten vennootschap met gewone structuur","68204","Verh. onroerend goed (niet v woonruimte)","","","","","N","N",19781114,19781114,19590413,19420609,20020101,0,19781114,"",2021,20220506
"Beltrum","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19861231,19861231,20071222,19100000,19981113,0,19861231,"",2019,20210107
"Harderwijk","H","01","Eenmanszaak","31011","Interieurbouw","74103","Interieur- en ruimtelijk ontwerp","","","N","N",0,0,19890126,19890126,20150818,0,0,"",0,0
"Putten","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19780531,19780531,19890201,19350915,20200302,0,19780531,"",2021,20220405
"Loenen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19731029,19731029,19590522,19300000,20050708,0,19731029,"",2020,20210923
"Winterswijk","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19781024,19781024,19590611,19590401,0,0,19781024,"",2018,20200608
"Ermelo","H","41","Besloten vennootschap met gewone structuur","46216","GH ruwe plant. en dierlijke oliën e.d.","","","","","N","N",19890526,19890526,19890529,19890101,20000331,0,19890526,"",2020,20220117
"Wenum Wiesel","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","N","N",19590320,19590320,19590620,19590320,20110701,0,19721115,"",2020,20220114
"Apeldoorn","H","41","Besloten vennootschap met gewone structuur","2822","Verv. hijs-, hef- en transportwerktuigen","7112","Ingenieurs/overig techn. ontwerp/advies","","","J","N",19831227,19831227,0,19590601,20021022,0,19831227,"",2021,20220503
"Lichtenvoorde","H","41","Besloten vennootschap met gewone structuur","3832","Gesorteerd mater. voorber. tot recycling","","","","","N","J",19680708,19680708,19590730,19590801,20130101,0,19721106,"",2020,20220112
"Eerbeek","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19930330,19930330,19590929,19560900,0,0,19930330,"",2020,20211029
"Barchem","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","64303","Beleggingsinst. met beperkte toetreding","","","N","N",19721121,19721121,19591003,19580401,20080411,0,19721121,"",2020,20220404
"Nijkerk","H","41","Besloten vennootschap met gewone structuur","29201","Carrosseriebouw","","","","","","",19891013,19891013,19891016,19890423,20130809,0,19891013,"",2020,20210623
"Harderwijk","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",19890518,19890518,19890526,19890518,19970701,0,0,"",2020,20220224
"Bredevoort","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",19750122,19750122,19591027,19591101,20100526,0,19750122,"",2021,20220509
"Hierden","H","41","Besloten vennootschap met gewone structuur","5530","Kampeerterreinen","","","","","N","N",19890531,19890531,19890608,19520415,0,0,19890531,"",2020,20211003
"Nunspeet","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",19771007,19771007,19890623,19890525,20210101,0,0,"",2020,20210826
"Beekbergen","H","01","Eenmanszaak","46735","Groothandel in zand en grind","3811","Inzameling van onschadelijk afval","","","N","N",0,0,0,19590930,0,0,20031001,"",0,0
"Nijkerkerveen","H","11","Vennootschap onder firma","46771","Groothandel in autosloopmateriaal","4532","DH in auto-onderdelen en -accessoires","","","","",19890101,0,19890629,19890101,19941003,0,0,"",0,0
