"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Zwaanshoek","","74","Stichting","6420","Financiële holdings","","","","","","",20171222,20171222,0,0,0,0,0,"",0,0
"Simpelveld","H","07","Maatschap","0150","Akker-/tuinbouw icm fokken/houden dieren","0161","Dienstverl. akker- en/of tuinbouw","","","N","N",20180101,0,20180103,19910228,0,0,20180101,"",0,0
"Waalwijk","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","64303","Beleggingsinst. met beperkte toetreding","","","N","N",20171230,20171230,20180103,20171230,0,0,0,"",2021,20220406
"Blaricum","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171229,20171229,20180103,20171229,0,0,0,"",2020,20220506
"Wanroij","H","01","Eenmanszaak","6202","Advisering ohgv informatietechnologie","6209","Ov. dienstv. act. ohgv informatietechn.","7112","Ingenieurs/overig techn. ontwerp/advies","N","N",0,0,20180103,20180101,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","47919","Internethandel alg.assortiment non-food","7810","Arbeidsbemiddeling","N","N",0,0,20180103,20040515,0,0,20180101,"",0,0
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171230,20171230,20180103,20171230,0,0,0,"",2019,20210714
"Hedel","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171228,20171228,20180103,20171228,0,0,0,"",2020,20211110
"Krabbendijke","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171229,20171229,20180103,20171229,0,0,0,"",2020,20220429
"Leeuwarden","H","01","Eenmanszaak","85519","Overig sport- en recreatieonderwijs","86919","Overige paramedische praktijken","","","N","N",0,0,20200901,20180101,20200820,0,0,"",0,0
"Den Burg","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","9002","Dienstverlening voor uitvoerende kunst","","","N","N",0,0,20180103,20170101,20220514,0,20180101,"",0,0
"Enkhuizen","H","01","Eenmanszaak","74103","Interieur- en ruimtelijk ontwerp","","","","","N","N",0,0,20180103,20180103,0,0,0,"",0,0
"Waalre","","74","Stichting","6420","Financiële holdings","","","","","","",20171229,20171229,0,0,0,0,0,"",0,0
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171230,20171230,20180103,20171230,20211006,0,0,"",2019,20210714
"Purmerend","H","01","Eenmanszaak","4332","Bouwtimmeren","4120","Algemene burgerlijke en utiliteitsbouw","","","N","N",0,0,20180103,20180103,0,0,0,"",0,0
"Wijk en Aalburg","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171229,20171229,20180103,20171229,20190213,0,0,"",2021,20220504
"Westzaan","H","01","Eenmanszaak","86923","Preventieve gezondh.zorg (geen arbobeg.)","","","","","N","N",0,0,20180103,20180101,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20180103,20130401,0,0,20180101,"",0,0
"Lutjebroek","H","01","Eenmanszaak","47916","Internethandel in vrijetijdsartikelen","","","","","N","N",0,0,20180103,20180102,0,0,0,"",0,0
"Nijmegen","H","41","Besloten vennootschap met gewone structuur","7490","Overige special. zakelijke dienstverl.","","","","","N","N",20180102,20180102,20180103,20180102,0,0,0,"",2021,20220517
"Erp","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","N","N",0,0,20180103,20180101,0,0,0,"",0,0
"Emst","H","01","Eenmanszaak","4312","Grondverzet","46735","Groothandel in zand en grind","47999","DH via overige distributievormen","N","N",0,0,20180103,20180101,0,0,0,"",0,0
"Loenen aan de Vecht","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","81221","Glazenwassen","82999","Overige zakelijke dienstverlening (rest)","N","N",0,0,20211214,20180101,20211201,0,0,"",0,0
