"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Amsterdam","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20130110,20130110,0,0,0,"",0,0
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20121211,20121211,0,0,0,0,0,"",0,0
"Zeist","H","01","Eenmanszaak","90011","Beoefening van podiumkunst","5920","Maken en uitgeven van geluidsopnamen","85522","Kunstzinnige vorming voor amateurs","N","N",0,0,20130110,20111001,20220416,0,0,"",0,0
"Barneveld","H","41","Besloten vennootschap met gewone structuur","47525","Winkels in keukens","46471","Groothandel in huismeubilair","3102","Vervaardiging van keukenmeubels","J","J",20121231,20121231,20130110,20121231,0,0,0,"",2020,20211231
"Almere","H","01","Eenmanszaak","53202","Koeriers","47992","Straathandel","","","N","N",0,0,20130110,20130101,0,0,0,"",0,0
"Anerveen","H","41","Besloten vennootschap met gewone structuur","4110","Projectontwikkeling","","","","","N","N",20130110,20130110,20130110,20130110,0,0,0,"",2021,20220411
"Herten","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","N","N",0,0,20130110,20130114,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","86919","Overige paramedische praktijken","85592","Bedrijfsopleiding en -training","90011","Beoefening van podiumkunst","N","N",0,0,20140731,20130101,20171101,0,0,"",0,0
"Nieuwkoop","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","1629","Verv. overige art. van hout/kurk/riet","","","N","N",0,0,20130110,20130107,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","96021","Haarverzorging","","","","","N","N",0,0,20130110,20130102,0,0,0,"",0,0
"Hierden","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","N","N",20121228,20121228,20160621,20121228,20160608,0,0,"",2017,20200814
"Staphorst","H","01","Eenmanszaak","2899","Verv. ov.machines/app./werkt. specifiek","","","","","N","N",0,0,20130110,20130101,20150504,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","88101","Thuiszorg","","","","","N","N",0,0,20130110,20130110,20130312,0,0,"",0,0
"45879 Gelsenkirchen","H","94","Buitenl. EG-venn. met onderneming in Nederland","78201","Uitzendbureaus","","","","","N","N",20100506,20100506,20130110,20120701,0,0,0,"",0,0
"Oosterhout","H","01","Eenmanszaak","4332","Bouwtimmeren","","","","","N","N",0,0,20130110,19901009,0,0,20130101,"",0,0
"Amsterdam","H","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","","","","","N","N",0,0,20130110,20130101,0,0,0,"",0,0
"Putten","H","01","Eenmanszaak","46215","GH veevoeder(geen ruw-/meng-/krachtvoer)","90011","Beoefening van podiumkunst","4941","Goederenvervoer over weg (geen verhuiz.)","N","N",0,0,20210224,20130101,20200501,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","43221","Loodg.- en fitterswerk; inst. sanitair","","","","","N","N",0,0,20130110,20130101,0,0,0,"",0,0
"Breda","H","11","Vennootschap onder firma","55201","Verh. vakantiehuisjes en appartementen","93299","Ov. recreatie (rest)(geen jachthavens)","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","N","N",20130117,0,20130110,20130117,20170118,0,0,"",0,0
"Tilburg","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","6201","Ontwikkelen/produceren/uitgeven software","6202","Advisering ohgv informatietechnologie","N","N",0,0,20130110,20060125,20140801,0,20130101,"",0,0
"Rheden","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20190410,20130103,20190318,0,0,"",0,0
"Gouda","H","01","Eenmanszaak","6209","Ov. dienstv. act. ohgv informatietechn.","","","","","N","N",0,0,20130110,20130101,20161110,0,0,"",0,0
"Schiedam","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","46498","GH boeken/tijdschriften/overig drukwerk","","","N","N",0,0,20130110,20130111,20190301,0,0,"",0,0
"Heerenveen","H","11","Vennootschap onder firma","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","","","","","N","N",20050221,0,20130111,20130104,0,0,0,"",0,0
"Bolsward","H","01","Eenmanszaak","56101","Restaurants","","","","","N","N",0,0,20130111,20120609,20150101,0,20130101,"",0,0
"Groningen","N","41","Besloten vennootschap met gewone structuur","5630","Cafés","56101","Restaurants","","","N","N",20011105,20011105,20130111,20130108,0,0,0,"",2019,20210208
"Hengelo","N","41","Besloten vennootschap met gewone structuur","85599","Studiebegeleiding/vorming/onderwijs","70221","Organisatie-adviesbureaus","","","N","N",20081104,20081104,20130114,20111101,0,0,0,"",2021,20220531
"Bathmen","N","74","Stichting","8891","Kinderopvang","","","","","N","N",20100325,20100325,20130111,20120101,0,0,0,"",0,0
"Deventer","N","74","Stichting","8891","Kinderopvang","","","","","N","N",20100325,20100325,20130111,20120101,0,0,0,"",0,0
"Apeldoorn","N","74","Stichting","8891","Kinderopvang","","","","","N","N",20100325,20100325,20130111,20120101,0,0,0,"",0,0
"Bathmen","N","74","Stichting","8891","Kinderopvang","","","","","N","N",20100325,20100325,20130111,20120101,0,0,0,"",0,0
"Bathmen","N","74","Stichting","8891","Kinderopvang","","","","","N","N",20100325,20100325,20130111,20120101,0,0,0,"",0,0
"Hilversum","N","41","Besloten vennootschap met gewone structuur","9604","Sauna's, solaria, baden e.d.","","","","","N","N",20070328,20070328,20130114,20090128,0,0,20121231,"",2020,20211202
"Linschoten","N","41","Besloten vennootschap met gewone structuur","9604","Sauna's, solaria, baden e.d.","","","","","N","N",20070328,20070328,20130114,20090128,0,0,20121231,"",2020,20211202
"Amsterdam","N","41","Besloten vennootschap met gewone structuur","9604","Sauna's, solaria, baden e.d.","","","","","N","N",20070328,20070328,20130114,20090101,0,0,20121231,"",2020,20211202
"Leunen","N","41","Besloten vennootschap met gewone structuur","6831","Bemidd. bij handel/huur/verhuur onr.goed","7490","Overige special. zakelijke dienstverl.","","","N","N",19960411,19960411,20130114,20120114,20150701,0,0,"",2020,20220208
"Eindhoven","N","41","Besloten vennootschap met gewone structuur","6831","Bemidd. bij handel/huur/verhuur onr.goed","7490","Overige special. zakelijke dienstverl.","","","N","N",19960411,19960411,20130114,20130114,0,0,0,"",2020,20220208
"Sittard","N","41","Besloten vennootschap met gewone structuur","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",20061005,20061005,20130111,20130101,0,0,0,"",2020,20210820
"Sittard","","74","Stichting","64303","Beleggingsinst. met beperkte toetreding","","","","","","",19930331,19930331,0,0,0,0,0,"",2013,20150114
"Hoensbroek","","81","Onderlinge waarborgmaatschappij","","","","","","","","",19920310,19920310,0,0,0,0,0,"",2010,20110704
"Eindhoven","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19600808,19600808,20130111,20121228,20190201,0,0,"",2021,20220422
"Krimpen aan den IJssel","N","41","Besloten vennootschap met gewone structuur","45205","Overige gespec. reparatie/slepen auto's","","","","","N","N",19691231,19691231,20130114,20121209,0,0,0,"",2020,20211223
"Leeuwarden","N","41","Besloten vennootschap met gewone structuur","45205","Overige gespec. reparatie/slepen auto's","","","","","N","N",19691231,19691231,20130114,20121219,0,0,0,"",2020,20211223
"Leiden","N","41","Besloten vennootschap met gewone structuur","45205","Overige gespec. reparatie/slepen auto's","","","","","N","N",19691231,19691231,20130114,20121209,0,0,0,"",2020,20211223
"Giessen","N","41","Besloten vennootschap met gewone structuur","52109","Opslag in distr.centra en overige opslag","","","","","N","N",20090731,20090731,20130111,20121009,0,0,0,"",2020,20210706
