"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Hoogvliet Rotterdam","H","01","Eenmanszaak","9511","Reparatie van computers/randapparatuur","4741","Winkels in computers/randapp./software","","","N","N",0,0,20200228,20200301,20201201,0,0,"",0,0
"Leeuwarden","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20200228,20200301,0,0,0,"",0,0
"Maastricht","H","01","Eenmanszaak","47914","Internethandel kleding, mode-artikelen","","","","","J","N",0,0,20201027,20200228,20201015,0,0,"",0,0
"Beetsterzwaag","H","01","Eenmanszaak","74101","Communicatie- en grafisch ontwerp","74201","Fotografie","","","N","N",0,0,20200228,20200212,0,0,0,"",0,0
"Delft","H","01","Eenmanszaak","9002","Dienstverlening voor uitvoerende kunst","","","","","N","N",0,0,20211220,20200301,20200301,0,0,"",0,0
"Wormer","H","41","Besloten vennootschap met gewone structuur","4941","Goederenvervoer over weg (geen verhuiz.)","","","","","N","N",20200228,20200228,20200228,20200228,0,0,0,"",2020,20211202
"Eindhoven","H","01","Eenmanszaak","96021","Haarverzorging","","","","","N","N",0,0,20200228,20200302,0,0,0,"",0,0
"Leusden","H","01","Eenmanszaak","4329","Overige bouwinstallatie","","","","","N","N",0,0,20220222,20200120,20220221,0,0,"",0,0
"Eijsden","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","86922","Arbobegeleiding en reïntegratie","","","N","N",0,0,20200228,20200301,0,0,0,"",0,0
"Rijswijk","H","01","Eenmanszaak","8121","Interieurreiniging van gebouwen","0161","Dienstverl. akker- en/of tuinbouw","","","N","N",0,0,20200228,20200301,0,0,0,"",0,0
"Goes","H","01","Eenmanszaak","86919","Overige paramedische praktijken","47292","Winkels in natuurvoeding/reformartikelen","","","N","N",0,0,20200228,20200301,0,0,0,"",0,0
"Strijensas","H","01","Eenmanszaak","74201","Fotografie","47914","Internethandel kleding, mode-artikelen","","","N","N",0,0,20200228,20200301,20200504,0,0,"",0,0
"Oudewater","H","01","Eenmanszaak","5221","Dienstverlening voor vervoer over land","","","","","N","N",0,0,20200228,20200101,0,0,0,"",0,0
"Berkel-Enschot","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20200228,20200228,0,0,0,"",0,0
"Beuningen Gld","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","5621","Eventcatering","43999","Overige gespec. werkz. in de bouw (rest)","N","N",0,0,20200228,20200301,0,0,0,"",0,0
"Hardinxveld-Giessendam","H","01","Eenmanszaak","74201","Fotografie","","","","","N","N",0,0,20200228,20200228,0,0,0,"",0,0
"Harderwijk","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20200227,20200227,20200228,20200227,0,0,0,"",0,0
"Nijmegen","H","01","Eenmanszaak","9002","Dienstverlening voor uitvoerende kunst","","","","","N","N",0,0,20200228,20200302,0,0,0,"",0,0
"2e Exloërmond","H","01","Eenmanszaak","6209","Ov. dienstv. act. ohgv informatietechn.","","","","","N","N",0,0,20200228,20200301,0,0,0,"",0,0
"Amersfoort","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20200228,20200228,20200228,20200228,0,0,0,"",2021,20220309
"Zoetermeer","H","01","Eenmanszaak","88101","Thuiszorg","","","","","N","N",0,0,20200228,20200301,0,0,0,"",0,0
