"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6810","Handel in eigen onroerend goed","","","","","N","N",20151118,20151118,20151119,20151118,20200826,0,0,"",2020,20210525
"Amsterdam","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20151118,20151118,0,0,0,0,0,"",0,0
"Leiderdorp","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20151118,20151118,20151119,20151118,20190529,0,0,"",2020,20210414
"Amsterdam","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20151118,20151118,0,0,0,0,0,"",0,0
"Zoetermeer","H","01","Eenmanszaak","9002","Dienstverlening voor uitvoerende kunst","4332","Bouwtimmeren","4321","Elektrotechnische bouwinstallatie","N","N",0,0,20151119,20151118,0,0,0,"",0,0
"Beverwijk","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20070622,20070622,0,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20151119,20151119,0,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20151119,20151119,0,0,0,0,0,"",0,0
"Warnsveld","","74","Stichting","6420","Financiële holdings","","","","","","",20151117,20151117,0,0,0,0,0,"",0,0
"Breda","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20151119,20151119,0,0,0,0,0,"",0,0
"Oss","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20151119,20151119,20151119,20151119,0,0,0,"",2018,20191029
