"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Sprang-Capelle","H","01","Eenmanszaak","88101","Thuiszorg","","","","","N","N",0,0,20180926,20181001,0,0,0,"",0,0
"Assendelft","H","41","Besloten vennootschap met gewone structuur","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",20180926,20180926,20180926,20180926,20220419,0,0,"",2020,20210421
"Amsterdam","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,20180926,20180903,0,0,0,"",0,0
"Veldhoven","H","41","Besloten vennootschap met gewone structuur","66193","Hypotheek-/kredietbem./bankagentschappen","","","","","N","N",20180926,20180926,20180926,20180926,0,0,0,"",2021,20220613
"Bantega","H","01","Eenmanszaak","43999","Overige gespec. werkz. in de bouw (rest)","5221","Dienstverlening voor vervoer over land","9002","Dienstverlening voor uitvoerende kunst","N","N",0,0,20180926,20181001,20190603,0,0,"",0,0
"Heerlen","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20180926,20181001,20201125,0,0,"",0,0
"Vlijmen","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20180926,20181001,20200907,0,0,"",0,0
"Vlaardingen","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19830518,19830518,0,0,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","7021","Adviesbureaus publ. relations en comm.","70221","Organisatie-adviesbureaus","7311","Reclamebureaus","N","N",0,0,20180926,20180909,0,0,0,"",0,0
"Sluis","H","11","Vennootschap onder firma","1071","Verv. brood en vers banketbakkerswerk","","","","","N","N",20181001,0,20180926,20181001,0,0,0,"",0,0
"Utrecht","H","41","Besloten vennootschap met gewone structuur","2620","Verv. computers en randapparatuur","6201","Ontwikkelen/produceren/uitgeven software","","","N","N",20180925,20180925,20180926,20090811,0,0,20180925,"",2021,20220609
