"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Nijmegen","H","11","Vennootschap onder firma","47711","Winkels in herenkleding","47712","Winkels in dameskleding","47789","Winkels gespec. in overige art. (rest)","N","N",20170701,0,20170626,20170701,0,0,0,"",0,0
"Nijmegen","H","01","Eenmanszaak","85522","Kunstzinnige vorming voor amateurs","9002","Dienstverlening voor uitvoerende kunst","9003","Schrijven en overige scheppende kunst","N","N",0,0,20200731,20170701,20200715,0,0,"",0,0
"Leiden","H","01","Eenmanszaak","74101","Communicatie- en grafisch ontwerp","77399","Verh./lease ov.mach./werkt./ov. goederen","","","N","N",0,0,20170626,20170615,20211229,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","6831","Bemidd. bij handel/huur/verhuur onr.goed","","","N","N",0,0,20190814,20170701,20201130,0,0,"",0,0
"Prinsenbeek","H","01","Eenmanszaak","96021","Haarverzorging","","","","","N","N",0,0,20170626,19901012,0,0,20160501,"",0,0
"Geldrop","H","01","Eenmanszaak","74101","Communicatie- en grafisch ontwerp","","","","","N","N",0,0,20170626,20170701,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","93299","Ov. recreatie (rest)(geen jachthavens)","","","N","N",0,0,20170626,20170701,0,0,0,"",0,0
"Winsum","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","7320","Markt- en opinieonderzoekbureaus","9609","Overige dienstverlening (rest)","N","N",0,0,20170626,20170701,20190923,0,0,"",0,0
"Horst","H","01","Eenmanszaak","1413","Vervaardiging van overige bovenkleding","","","","","N","N",0,0,20170626,20170701,0,0,0,"",0,0
"Bergen op Zoom","H","01","Eenmanszaak","33121","Rep./onderh. mach. voor algemeen gebruik","2562","Algemene metaalbewerking","","","J","J",0,0,20170626,20170701,0,0,0,"",0,0
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20170619,20170619,0,0,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","7490","Overige special. zakelijke dienstverl.","","","N","N",0,0,20170626,20170701,0,0,0,"",0,0
"Haarlem","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20170626,20170701,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","74201","Fotografie","","","","","N","N",0,0,20200403,20170701,20191118,0,0,"",0,0
"Arcen","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","90011","Beoefening van podiumkunst","","","N","N",0,0,20200421,20170701,20200418,0,0,"",0,0
"Wilhelminadorp","H","01","Eenmanszaak","47792","Winkels in tweedehands kleding","47793","Winkels tweedeh. goederen (geen kleding)","","","N","N",0,0,20170626,20170701,20180831,0,0,"",0,0
"Dongjum","H","01","Eenmanszaak","1392","Verv. geconfectioneerde art. van textiel","4334","Schilderen en glaszetten","85519","Overig sport- en recreatieonderwijs","N","N",0,0,20170626,20170701,0,0,0,"",0,0
"Woudenberg","H","01","Eenmanszaak","88103","Ondersteuning/begeleiding gehandicapten","88991","Ambulante jeugdzorg","87901","Jeugdzorg (met overnacht. en dagverbl.)","N","N",0,0,20170626,20170618,20210214,0,0,"",0,0
"Voorst","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","70221","Organisatie-adviesbureaus","7311","Reclamebureaus","N","N",0,0,20170626,20170701,0,0,0,"",0,0
"Wijhe","H","01","Eenmanszaak","96021","Haarverzorging","","","","","J","N",0,0,20170626,20170701,0,0,0,"",0,0
"Velsen-Noord","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","96021","Haarverzorging","","","N","N",0,0,20170626,20170701,20211007,0,0,"",0,0
"Zwaag","H","01","Eenmanszaak","96021","Haarverzorging","4652","GH elektronische/telecommunicatieapp.","46421","Groothandel in bovenkleding","J","J",0,0,20170626,20170701,0,0,0,"",0,0
"Oudewater","H","01","Eenmanszaak","50401","Binnenvaart (vrachtvaart)","","","","","N","N",0,0,20170626,20170701,0,0,0,"",0,0
"Bussum","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20170626,20170701,0,0,0,"",0,0
