"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Berkel en Rodenrijs","","74","Stichting","88993","Lokaal welzijnswerk","","","","","","",20211109,20211109,0,0,0,0,0,"",0,0
"Assendelft","H","01","Eenmanszaak","5621","Eventcatering","9609","Overige dienstverlening (rest)","","","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",0,0,20211109,20211101,20211101,0,0,"",0,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20211108,20211108,20211109,20211108,0,0,0,"",0,0
"Dordrecht","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","47912","Internethandel consumentenelektronica","6202","Advisering ohgv informatietechnologie","85592","Bedrijfsopleiding en -training","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Groningen","H","01","Eenmanszaak","86231","Praktijken van tandartsen","86919","Overige paramedische praktijken","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","4532","DH in auto-onderdelen en -accessoires","45311","GH/HB auto-ond./-access. (geen banden)","","","J","J",0,0,20211109,20211025,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20211109,20211028,0,0,0,"",0,0
"'s-Hertogenbosch","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20211109,20211110,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","85322","Volwassenen onderwijs","","","","","N","N",0,0,20211109,20211103,0,0,0,"",0,0
"Geldrop","H","01","Eenmanszaak","88101","Thuiszorg","86919","Overige paramedische praktijken","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Zuidzande","H","01","Eenmanszaak","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","","","","","N","N",0,0,20211109,20210915,0,0,0,"",0,0
"Zaandam","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Doorn","H","01","Eenmanszaak","6831","Bemidd. bij handel/huur/verhuur onr.goed","70222","Advisering ohgv management/bedrijfsv.","","","N","N",0,0,20211123,20211101,20211117,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","71203","Overige keuring en controle","","","N","N",0,0,20211109,20211020,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","53202","Koeriers","","","","","N","N",0,0,20211109,20211001,0,0,0,"",0,0
"Maastricht","H","11","Vennootschap onder firma","1101","Verv. sterk alcoholische dranken","4725","Winkels in dranken","","","J","J",20211101,0,20211109,20211101,0,0,0,"",0,0
"Vaals","H","01","Eenmanszaak","5621","Eventcatering","","","","","N","N",0,0,20211109,20211102,0,0,0,"",0,0
"Delfstrahuizen","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","70222","Advisering ohgv management/bedrijfsv.","","","N","N",0,0,20211109,20211115,0,0,0,"",0,0
"Lent","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20070509,20070509,0,0,0,0,0,"",0,0
"'s-Gravenhage","","74","Stichting","69209","Overige administratiekantoren","","","","","","",20211109,20211109,0,0,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","4932","Vervoer per taxi","","","","","N","N",0,0,20211109,20211115,0,0,0,"",0,0
"Ruinen","H","11","Vennootschap onder firma","7021","Adviesbureaus publ. relations en comm.","74101","Communicatie- en grafisch ontwerp","","","N","N",20211101,0,20211109,20211101,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","4941","Goederenvervoer over weg (geen verhuiz.)","","","","","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","53202","Koeriers","","","","","N","N",0,0,20211109,20211012,0,0,0,"",0,0
"Kloetinge","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","4619","Niet-gespecialiseerde handelsbemiddeling","46902","Niet-gespec. GH in niet-consumentenart.","N","N",20211108,20211108,20211109,20131209,0,0,20211108,"",0,0
"Lochem","H","01","Eenmanszaak","47915","Internethandel huis- en tuinartikelen","47914","Internethandel kleding, mode-artikelen","47916","Internethandel in vrijetijdsartikelen","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Culemborg","H","01","Eenmanszaak","74103","Interieur- en ruimtelijk ontwerp","47915","Internethandel huis- en tuinartikelen","9609","Overige dienstverlening (rest)","N","N",0,0,20211109,20211101,20211202,0,0,"",0,0
"Soerendonk","H","01","Eenmanszaak","74101","Communicatie- en grafisch ontwerp","74201","Fotografie","","","N","N",0,0,20211109,20211111,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","74102","Industrieel en productontwerp","7112","Ingenieurs/overig techn. ontwerp/advies","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Groningen","H","01","Eenmanszaak","47915","Internethandel huis- en tuinartikelen","47916","Internethandel in vrijetijdsartikelen","","","J","N",0,0,20211109,20211025,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Hekendorp","H","01","Eenmanszaak","86919","Overige paramedische praktijken","85599","Studiebegeleiding/vorming/onderwijs","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Spijkenisse","H","01","Eenmanszaak","77111","Verh. personen-/lichte bedrijfsauto's","45112","Handel/rep. personen-/lichte bedr.auto's","","","J","J",0,0,20211109,20211109,0,0,0,"",0,0
"Breda","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20220616,20211101,20220603,0,0,"",0,0
"Teteringen","H","01","Eenmanszaak","7810","Arbeidsbemiddeling","","","","","N","N",0,0,20211109,20211115,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","8219","Secretariële dienstverlening","","","","","N","N",0,0,20211109,20211001,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","7311","Reclamebureaus","","","N","N",0,0,20211109,20211025,0,0,0,"",0,0
"Oldebroek","H","01","Eenmanszaak","85519","Overig sport- en recreatieonderwijs","46231","Groothandel in levend vee","","","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","85519","Overig sport- en recreatieonderwijs","","","N","N",0,0,20211109,20211111,0,0,0,"",0,0
"Amersfoort","H","01","Eenmanszaak","88103","Ondersteuning/begeleiding gehandicapten","88991","Ambulante jeugdzorg","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Noordwijk","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Drachten","H","01","Eenmanszaak","53202","Koeriers","","","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","88102","Welzijnswerk voor ouderen","88101","Thuiszorg","8720","Huizen/dagverbl. verstandelijk gehand.","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Uithuizen","H","01","Eenmanszaak","43993","Metselen en voegen","","","","","N","N",0,0,20211109,20211110,0,0,0,"",0,0
"Eindhoven","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20211109,20211109,20211109,20211109,0,0,0,"",0,0
"Eindhoven","H","41","Besloten vennootschap met gewone structuur","88999","Overig maatsch.adv./gemeenschapshuizen","","","","","N","N",20211108,20211108,20211109,20211108,20211112,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","86923","Preventieve gezondh.zorg (geen arbobeg.)","86912","Praktijken van fysiotherapeuten","9604","Sauna's, solaria, baden e.d.","N","N",20211109,20211109,20211109,20211109,0,0,0,"",0,0
"Ermelo","H","01","Eenmanszaak","88999","Overig maatsch.adv./gemeenschapshuizen","47292","Winkels in natuurvoeding/reformartikelen","96022","Schoonheidsverzorging/pedi-/manicures","N","N",0,0,20211109,20211021,0,0,0,"",0,0
"Almere","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","46381","Groothandel in snacks","5621","Eventcatering","47819","Markthandel overige voedings- en genotm.","N","N",0,0,20211109,20211001,0,0,0,"",0,0
"Raamsdonksveer","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20211109,20211109,20211109,20211109,0,0,0,"",2021,20220329
"Schiedam","H","01","Eenmanszaak","4329","Overige bouwinstallatie","","","","","N","N",0,0,20211109,20211115,0,0,0,"",0,0
"Geldermalsen","H","41","Besloten vennootschap met gewone structuur","4532","DH in auto-onderdelen en -accessoires","45311","GH/HB auto-ond./-access. (geen banden)","","","J","J",20211104,20211104,20211109,20211104,0,0,0,"",0,0
"Zaandijk","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20211109,20211109,20211109,20211109,0,0,0,"",0,0
"Wijchen","H","41","Besloten vennootschap met gewone structuur","7500","Veterinaire dienstverlening","","","","","N","N",20211108,20211108,20211109,20211108,0,0,0,"",0,0
"Amsterdam","H","11","Vennootschap onder firma","47242","Winkels in chocolade en suikerwerk","","","","","N","N",20211108,0,20211109,20211108,20211209,0,0,"",0,0
"Koedijk","H","01","Eenmanszaak","8130","Landschapsverzorging","45112","Handel/rep. personen-/lichte bedr.auto's","","","N","N",0,0,20211109,20211011,0,0,0,"",0,0
"Nieuw-Weerdinge","H","01","Eenmanszaak","6202","Advisering ohgv informatietechnologie","6209","Ov. dienstv. act. ohgv informatietechn.","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20211109,20211109,20211109,20211109,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","88101","Thuiszorg","","","","","N","N",0,0,20211109,20211109,20220330,0,0,"",0,0
"Weesp","H","41","Besloten vennootschap met gewone structuur","74203","Ontwikkelcentrales","","","","","N","N",20211109,20211109,20211109,20211109,0,0,0,"",0,0
"Weert","H","01","Eenmanszaak","8010","Particuliere beveiliging","","","","","N","N",0,0,20220303,20211109,20220301,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","86912","Praktijken van fysiotherapeuten","","","","","N","N",0,0,20211109,20211011,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Arnhem","H","01","Eenmanszaak","7021","Adviesbureaus publ. relations en comm.","78202","Uitleenbureaus","","","N","N",0,0,20211109,20211115,0,0,0,"",0,0
"Scherpenzeel","H","01","Eenmanszaak","7490","Overige special. zakelijke dienstverl.","","","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Maastricht","","74","Stichting","9002","Dienstverlening voor uitvoerende kunst","","","","","","",20211108,20211108,0,0,0,0,0,"",0,0
"Rijswijk","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","N","N",0,0,20211109,20211109,20220104,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","90011","Beoefening van podiumkunst","85519","Overig sport- en recreatieonderwijs","88101","Thuiszorg","N","N",0,0,20211109,20210901,0,0,0,"",0,0
"Geleen","H","01","Eenmanszaak","53202","Koeriers","","","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Kesteren","H","01","Eenmanszaak","4332","Bouwtimmeren","","","","","N","N",0,0,20211109,20000901,0,0,20210726,"",0,0
"Alkmaar","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","69202","Accountants-administratieconsulenten","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Almelo","","74","Stichting","6630","Vermogensbeheer","","","","","","",20211108,20211108,0,0,0,0,0,"",0,0
"Winsum","H","01","Eenmanszaak","01131","Teelt van groenten in de volle grond","","","","","N","N",0,0,20211109,20211105,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","4222","Leggen van elektr.-/telecom.kabels","","","","","N","N",0,0,20220519,20211101,20220510,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","4321","Elektrotechnische bouwinstallatie","9522","Reparatie van elekt. huishoudelijke app.","","","N","N",0,0,20211109,19780101,0,0,20210607,"",0,0
"Almere","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20211109,20211109,20211109,20211109,0,0,0,"",0,0
"Wageningen","H","01","Eenmanszaak","47789","Winkels gespec. in overige art. (rest)","9003","Schrijven en overige scheppende kunst","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","88991","Ambulante jeugdzorg","","","","","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20211109,20211102,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","8891","Kinderopvang","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Enschede","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Zeist","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Heide","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",20211108,20211108,0,0,0,0,0,"",0,0
"Roosendaal","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Dordrecht","H","01","Eenmanszaak","88101","Thuiszorg","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Venray","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Heerlen","H","01","Eenmanszaak","47915","Internethandel huis- en tuinartikelen","47899","Markthandel in overige goederen","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Deurne","H","01","Eenmanszaak","86924","Medische laboratoria/trombosediensten ed","","","","","N","N",0,0,20211109,20211007,20220406,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","8292","Pakken, sorteren e.d. in loon","7490","Overige special. zakelijke dienstverl.","5621","Eventcatering","N","N",0,0,20211109,20211101,0,0,0,"",0,0
"Wassenaar","H","41","Besloten vennootschap met gewone structuur","86231","Praktijken van tandartsen","","","","","N","N",20211109,20211109,20220324,20211109,20220324,0,0,"",2021,0
"Leek","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20211108,20211108,20211109,20211108,0,0,0,"",0,0
"3650 Dilsen Stokkem","H","01","Eenmanszaak","8010","Particuliere beveiliging","47811","Markthandel aardappelen/groenten/fruit","47891","Markthandel bloemen/planten/zaden/tuinb.","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Zoetermeer","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","6202","Advisering ohgv informatietechnologie","","","N","N",20220101,20211231,20211109,20211109,20220101,0,20220101,"",0,0
"Stiens","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Eindhoven","H","01","Eenmanszaak","85519","Overig sport- en recreatieonderwijs","","","","","N","N",0,0,20211109,20211001,0,0,0,"",0,0
"Purmerend","H","41","Besloten vennootschap met gewone structuur","86922","Arbobegeleiding en reïntegratie","6420","Financiële holdings","","","N","N",20211109,20211109,20211109,20211109,0,0,0,"",0,0
"Hoorn","H","01","Eenmanszaak","4332","Bouwtimmeren","","","","","N","N",0,0,20211109,20211108,0,0,0,"",0,0
"Amersfoort","H","01","Eenmanszaak","88103","Ondersteuning/begeleiding gehandicapten","86104","Geestelijke gez.-/versl.zorg met overn.","87901","Jeugdzorg (met overnacht. en dagverbl.)","N","N",0,0,20211109,20211109,20220415,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","88102","Welzijnswerk voor ouderen","88101","Thuiszorg","","","N","N",0,0,20211109,20211025,0,0,0,"",0,0
"Amsterdam","H","11","Vennootschap onder firma","4622","Groothandel in bloemen en planten","","","","","N","N",20211101,0,20211109,20211101,0,0,0,"",0,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20211108,20211108,20211109,20211108,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","4941","Goederenvervoer over weg (geen verhuiz.)","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
"Alphen aan den Rijn","H","01","Eenmanszaak","85522","Kunstzinnige vorming voor amateurs","","","","","N","N",0,0,20211109,20211109,0,0,0,"",0,0
