"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Hijum","H","01","Eenmanszaak","6209","Ov. dienstv. act. ohgv informatietechn.","","","","","N","N",0,0,20140325,20140401,0,0,0,"",0,0
"Terneuzen","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","N","N",0,0,20140325,20140401,0,0,0,"",0,0
"Arnhem","H","01","Eenmanszaak","86919","Overige paramedische praktijken","53202","Koeriers","","","N","N",0,0,20140325,20140401,0,0,0,"",0,0
"Sittard","","74","Stichting","94995","Overk. organen (niet ohgv welzijn/sport)","","","","","","",20140321,20140321,0,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20140325,20140325,0,0,0,0,0,"",0,0
"Nederweert","H","01","Eenmanszaak","7430","Vertalers en tolken","","","","","N","N",0,0,20140325,20130101,0,0,0,"",0,0
"Mierlo","H","01","Eenmanszaak","4339","Overige afwerking van gebouwen","47591","Winkels in meubels","47718","Textielsupermarkten","N","N",0,0,20140325,19690801,20130501,0,20130101,"",0,0
"Blijham","H","01","Eenmanszaak","0240","Dienstverlening voor de bosbouw","47999","DH via overige distributievormen","8720","Huizen/dagverbl. verstandelijk gehand.","N","N",0,0,20140325,20140401,0,0,0,"",0,0
"Maastricht","H","01","Eenmanszaak","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",0,0,20140325,20140401,20160401,0,0,"",0,0
"Gorredijk","H","01","Eenmanszaak","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","J","J",0,0,20140325,20140401,20140501,0,0,"",0,0
