"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Vlaardingen","H","41","Besloten vennootschap met gewone structuur","8121","Interieurreiniging van gebouwen","","","","","N","N",20200918,20200918,20200922,20200918,20201029,0,0,"",0,0
"Ridderkerk","","74","Stichting","94993","Steunfondsen (niet ohgv welzijnszorg)","","","","","","",20200918,20200918,0,0,0,0,0,"",0,0
"Nijmegen","H","01","Eenmanszaak","8621","Praktijken van huisartsen","","","","","N","N",0,0,20200922,20200928,0,0,0,"",0,0
"Lelystad","H","01","Eenmanszaak","43222","Inst. verwarmings-/luchtbehandelingsapp.","","","","","N","N",0,0,20200922,20200817,0,0,0,"",0,0
"'s-Hertogenbosch","H","01","Eenmanszaak","47918","Internethandel overige non-food","","","","","J","N",0,0,20200922,20200921,0,0,0,"",0,0
"Groningen","H","01","Eenmanszaak","7810","Arbeidsbemiddeling","78202","Uitleenbureaus","7830","Payrolling (personeelsbeheer)","N","N",0,0,20200922,20200903,0,0,0,"",0,0
"Vaassen","H","11","Vennootschap onder firma","47919","Internethandel alg.assortiment non-food","","","","","J","J",20200917,0,20200922,20200917,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","7021","Adviesbureaus publ. relations en comm.","7312","Handel in advertentieruimte en -tijd","","","N","N",0,0,20200922,20200921,20210601,0,0,"",0,0
"Cuijk","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20200921,20200921,0,0,0,0,0,"",0,0
"Aalsmeer","H","11","Vennootschap onder firma","5621","Eventcatering","","","","","N","N",20200922,0,20200922,20200922,20210630,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","8560","Dienstverlening voor het onderwijs","9003","Schrijven en overige scheppende kunst","7490","Overige special. zakelijke dienstverl.","N","N",0,0,20200922,20200901,0,0,0,"",0,0
"Enschede","H","01","Eenmanszaak","8560","Dienstverlening voor het onderwijs","","","","","N","N",0,0,20210222,20200915,20210120,0,0,"",0,0
"Nijmegen","H","01","Eenmanszaak","4613","HB hout/vlakglas/sanitair/bouwmaterialen","4614","HB mach./techn.ben./schepen/vliegtuigen","7810","Arbeidsbemiddeling","N","N",0,0,20200922,20200922,0,0,0,"",0,0
"Zwolle","","74","Stichting","70102","Holdings (geen financiële)","","","","","","",20200922,20200922,0,0,0,0,0,"",0,0
"Harkema","H","01","Eenmanszaak","96021","Haarverzorging","","","","","N","N",0,0,20200922,20200929,0,0,0,"",0,0
"Westerbroek","H","11","Vennootschap onder firma","47915","Internethandel huis- en tuinartikelen","","","","","J","N",20200901,0,20200922,20200901,0,0,0,"",0,0
"Landsmeer","H","01","Eenmanszaak","4333","Afwerking van vloeren en wanden","4120","Algemene burgerlijke en utiliteitsbouw","","","N","N",0,0,20200922,20200922,0,0,0,"",0,0
"Voorschoten","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20200922,20200922,20200922,20200922,0,0,0,"",2020,20210616
"Bennekom","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20200922,20200922,20200922,20200922,0,0,0,"",0,0
"Zwolle","H","01","Eenmanszaak","4329","Overige bouwinstallatie","","","","","N","N",0,0,20200922,20200921,20210514,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","8121","Interieurreiniging van gebouwen","88101","Thuiszorg","53202","Koeriers","N","N",0,0,20200922,20200901,20210709,0,0,"",0,0
"Leiden","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20200922,20200922,20200922,20200922,0,0,0,"",2020,20211217
"Schiedam","H","01","Eenmanszaak","69209","Overige administratiekantoren","8211","Brede administratieve dienstverlening","","","N","N",0,0,20200922,20200923,0,0,0,"",0,0
"Voorburg","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20200922,20200922,20200922,20200922,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","85522","Kunstzinnige vorming voor amateurs","90011","Beoefening van podiumkunst","8541","Niet-universitair hoger onderwijs","N","N",0,0,20201221,20200922,20211101,0,0,"",0,0
"Loon op Zand","H","01","Eenmanszaak","43993","Metselen en voegen","43999","Overige gespec. werkz. in de bouw (rest)","","","N","N",0,0,20200922,20200922,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","47914","Internethandel kleding, mode-artikelen","","","","","J","J",0,0,20200922,20200409,0,0,0,"",0,0
"Velserbroek","H","01","Eenmanszaak","82999","Overige zakelijke dienstverlening (rest)","","","","","N","N",0,0,20200922,20200907,20210201,0,0,"",0,0
