"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20160901,20160901,0,0,0,0,0,"",0,0
"Lelystad","H","11","Vennootschap onder firma","01134","Teelt aardapp en ov. wortel/knolgewassen","01241","Teelt van appels en peren","01252","Teelt van aardbeien onder glas","N","N",20160101,0,20160908,19930101,0,0,20160101,"",0,0
"Tynaarlo","H","01","Eenmanszaak","53202","Koeriers","","","","","N","N",0,0,20161024,20160905,20200725,0,0,"",0,0
"Rotterdam","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",20160908,20160908,0,0,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","53202","Koeriers","","","","","N","N",0,0,20160908,20160908,0,0,0,"",0,0
"Delfzijl","H","41","Besloten vennootschap met gewone structuur","4614","HB mach./techn.ben./schepen/vliegtuigen","50201","Zee-/kustvaart(vracht/tank; geen sleep)","","","N","N",20160908,20160908,20160908,20160908,0,0,0,"",2020,20220317
"Made","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20160908,20160908,20160908,20160908,20191201,0,0,"",2017,20180822
"Amsterdam","H","11","Vennootschap onder firma","4331","Stukadoren","4120","Algemene burgerlijke en utiliteitsbouw","","","N","N",20160901,0,20160908,20110101,20190115,0,20160901,"",0,0
"Tilburg","H","41","Besloten vennootschap met gewone structuur","93111","Zwembaden","","","","","N","N",20160907,20160907,20160908,20160907,20191212,0,0,"",2019,20210322
"Berltsum","H","01","Eenmanszaak","86919","Overige paramedische praktijken","86912","Praktijken van fysiotherapeuten","","","N","N",0,0,20160912,20160401,0,0,0,"",0,0
"Eersel","N","41","Besloten vennootschap met gewone structuur","46732","Groothandel in verf en verfwaren","","","","","J","J",19791016,19791016,20160909,20080101,0,0,0,"",2021,0
"De Bilt","N","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","N","N",19811028,19811028,20160912,19770101,0,0,20160825,"",2021,0
"Meppel","N","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","N","N",19811028,19811028,20160912,19990501,20160825,0,20160825,"",2021,0
"Huis ter Heide","N","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","N","N",19811028,19811028,20160912,20150101,0,0,20160825,"",2021,0
"Hoogeveen","N","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","N","N",19811028,19811028,20160912,20160825,0,0,0,"",2021,0
"Doorn","N","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","N","N",19811028,19811028,20160912,20070322,0,0,20160825,"",2021,0
"Almelo","N","11","Vennootschap onder firma","46499","GH ov. consumentenart. (non-food) (rest)","","","","","J","J",20030407,0,20160909,20160701,0,0,0,"",0,0
"Culemborg","H","01","Eenmanszaak","5920","Maken en uitgeven van geluidsopnamen","90012","Producenten van podiumkunst","9002","Dienstverlening voor uitvoerende kunst","N","N",0,0,20191230,20160901,20191229,0,0,"",0,0
"Stramproy","H","41","Besloten vennootschap met gewone structuur","6630","Vermogensbeheer","","","","","N","N",19990923,19990923,20160912,20160701,0,0,0,"",2020,20210713
"Heerlen","N","74","Stichting","85201","Basisonderwijs voor leerplichtigen","","","","","N","N",20050202,20050202,20160912,20050101,20180329,0,20160801,"",0,0
"Handel","N","41","Besloten vennootschap met gewone structuur","8891","Kinderopvang","","","","","N","N",19971222,19971222,20160909,20140101,0,0,0,"",2019,20201021
"Gemert","N","41","Besloten vennootschap met gewone structuur","8891","Kinderopvang","","","","","N","N",19971222,19971222,20160909,20130101,0,0,0,"",2019,20201021
"Elsendorp","N","41","Besloten vennootschap met gewone structuur","8891","Kinderopvang","","","","","N","N",19971222,19971222,20160909,20140401,0,0,0,"",2019,20201021
"Roermond","N","41","Besloten vennootschap met gewone structuur","47525","Winkels in keukens","","","","","J","J",19980624,19980624,20160912,20160601,0,0,0,"",2020,0
"Goirle","N","11","Vennootschap onder firma","47914","Internethandel kleding, mode-artikelen","","","","","N","N",19960101,0,20160912,20160912,0,0,0,"",0,0
"Amsterdam","N","41","Besloten vennootschap met gewone structuur","96021","Haarverzorging","","","","","N","N",20060404,20060404,20160909,20160701,0,0,0,"",2017,0
"Breda","N","41","Besloten vennootschap met gewone structuur","8891","Kinderopvang","","","","","N","N",20070725,20070725,20160912,20131201,0,0,0,"",2020,20211203
"Geldrop","N","41","Besloten vennootschap met gewone structuur","4730","Benzinestations","","","","","N","N",20051201,20051201,20160912,20160901,0,0,0,"",2020,20220223
"Capelle aan den IJssel","N","41","Besloten vennootschap met gewone structuur","8891","Kinderopvang","","","","","N","N",20000313,20000313,20160912,20160822,0,0,0,"",2020,20211222
"Amsterdam","N","41","Besloten vennootschap met gewone structuur","85519","Overig sport- en recreatieonderwijs","47292","Winkels in natuurvoeding/reformartikelen","47713","Winkels in bovenkleding/mode-artikelen","N","N",20051101,20051101,20160909,20160901,0,0,0,"",2020,20211222
"Helmond","N","41","Besloten vennootschap met gewone structuur","77112","Operat. lease pers.-/lichte bedr.auto's","7712","Verh./lease vrachtw./autob./car./aanh.","","","N","N",19730717,19730717,20160909,20160101,0,0,0,"",2021,0
"Goes","N","41","Besloten vennootschap met gewone structuur","77112","Operat. lease pers.-/lichte bedr.auto's","7712","Verh./lease vrachtw./autob./car./aanh.","","","N","N",19730717,19730717,20160909,20160101,20190924,0,0,"",2021,0
"Tilburg","N","41","Besloten vennootschap met gewone structuur","77112","Operat. lease pers.-/lichte bedr.auto's","7712","Verh./lease vrachtw./autob./car./aanh.","","","N","N",19730717,19730717,20160909,20160101,0,0,0,"",2021,0
"Zoetermeer","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20030624,20030624,20160912,20151026,20190523,0,0,"",2020,20211219
"Duiven","H","11","Vennootschap onder firma","47241","Winkels in brood en banket","","","","","N","N",20080301,0,20200224,20010917,0,0,20160910,"",0,0
"Hilversum","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","46902","Niet-gespec. GH in niet-consumentenart.","6202","Advisering ohgv informatietechnologie","N","N",19971209,19971209,20160912,20070801,20201101,0,0,"",2020,20210915
"Hilversum","N","01","Eenmanszaak","5630","Cafés","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","56101","Restaurants","N","N",0,0,20160912,20070801,0,0,20160911,"",0,0
"Folkstone, Kent, CT19 6HQ","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19951103,19951103,0,0,0,0,0,"",2015,20170728
"Amsterdam","","41","Besloten vennootschap met gewone structuur","","","","","","","","",20020705,20020705,20160909,0,0,0,0,"",2012,20131111
"Groningen","N","74","Stichting","85323","Middelb. ber.onderw. en educatie (comb.)","","","","","N","N",19900427,19900427,20160909,20160901,0,0,0,"",0,0
"Best","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20100531,20100531,20160909,19990101,20210531,0,0,"",2020,20210715
"Garsthuizen","H","41","Besloten vennootschap met gewone structuur","69204","Belastingconsulenten","","","","","N","N",20100614,20100614,20160909,20160119,0,0,0,"",2019,20201217
"Rotterdam","N","07","Maatschap","86919","Overige paramedische praktijken","","","","","N","N",20110101,0,20160909,20160801,0,0,0,"",0,0
"Rotterdam","N","07","Maatschap","86919","Overige paramedische praktijken","","","","","N","N",20110101,0,20160909,20160801,0,0,0,"",0,0
"IJsselstein","N","01","Eenmanszaak","78202","Uitleenbureaus","","","","","N","N",0,0,20160909,20160701,0,0,0,"",0,0
"Hilversum","N","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","","","","","N","N",0,0,20160912,20160909,0,0,0,"",0,0
"Delft","N","01","Eenmanszaak","4762","Winkels kranten/tijdschr./kantoorbeh.","","","","","N","N",0,0,20160909,20160903,0,0,0,"",0,0
"Haarlem","N","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20160912,20160601,20180901,0,0,"",0,0
"Reuver","H","01","Eenmanszaak","01304","Teelt van potplanten onder glas","4622","Groothandel in bloemen en planten","46212","GH zaden, pootgoed en peulvruchten","J","N",0,0,20160909,20130606,0,0,0,"",0,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","86221","Praktijken medisch spec./med. dagbehand.","","","","","N","N",20141231,20141231,20160912,20160901,0,0,0,"",2020,20220103
"Katwijk","N","01","Eenmanszaak","47914","Internethandel kleding, mode-artikelen","","","","","N","N",0,0,20160912,20160912,0,0,0,"",0,0
"Melick","N","11","Vennootschap onder firma","86919","Overige paramedische praktijken","","","","","N","N",20150301,0,20160909,20160906,0,0,0,"",0,0
"Schoonhoven","N","41","Besloten vennootschap met gewone structuur","8891","Kinderopvang","","","","","N","N",20151029,20151029,20160912,20160822,0,0,0,"",2021,20220520
"Leiden","N","96","Buitenl. op EG-venn. lijkende venn. met onderneming in Nederland","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",20160303,20160303,20160912,20160901,0,0,0,"",0,0
"Zoetermeer","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20160907,20160907,0,0,0,0,0,"",0,0
"'s-Hertogenbosch","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20160906,20160906,20160909,20160906,20190801,0,0,"",2021,20220510
"Almere","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20160908,20160908,0,0,0,0,0,"",0,0
"Laren","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20160908,20160908,20160909,20160908,0,0,0,"",2020,20211019
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","64301","Beleggingsinstell. in financiële activa","6420","Financiële holdings","","","N","N",20160908,20160908,20160909,20160908,20210418,0,0,"",2020,20220208
"Roelofarendsveen","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20160901,20160901,0,0,0,0,0,"",0,0
"Harlingen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20160908,20160908,20160909,20160908,20201123,0,0,"",2020,20220429
"Zuid-Scharwoude","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20160908,20160908,20160909,20160908,0,0,0,"",2020,20211231
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","93299","Ov. recreatie (rest)(geen jachthavens)","55102","Hotels (geen hotel-rest.)/pens./conf.o.","9002","Dienstverlening voor uitvoerende kunst","J","J",20160908,20160908,20171019,20160908,20171001,0,0,"",2020,20210503
"Muiderberg","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","85599","Studiebegeleiding/vorming/onderwijs","85592","Bedrijfsopleiding en -training","N","N",0,0,20160909,20160905,0,0,0,"",0,0
"Balkbrug","H","01","Eenmanszaak","56101","Restaurants","","","","","N","N",0,0,20160909,19860615,0,0,20160909,"",0,0
"Dinxperlo","H","01","Eenmanszaak","4331","Stukadoren","","","","","N","N",0,0,20161006,20160909,20161005,0,0,"",0,0
"Arnhem","H","41","Besloten vennootschap met gewone structuur","6202","Advisering ohgv informatietechnologie","","","","","N","N",20160908,20160908,20160909,20160908,20190308,0,0,"",2021,20220614
