"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Wijchen","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","N","N",0,0,20151215,20151214,0,0,0,"",0,0
"Wormer","H","96","Buitenl. op EG-venn. lijkende venn. met onderneming in Nederland","4618","HB gespecialiseerd in overige goederen","","","","","J","J",20150814,20150814,20170706,20150814,20170601,0,0,"",0,0
"De Meern","","74","Stichting","69209","Overige administratiekantoren","","","","","","",20151202,20151202,0,0,0,0,0,"",0,0
"Roelofarendsveen","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20140714,20140714,0,0,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","59111","Prod. films (geen televisiefilms)","74201","Fotografie","","","N","N",0,0,20200205,20151201,20220502,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","47299","Gesp. winkels in ov. voedings-/genotm.","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","","","N","N",0,0,20151215,20151221,0,0,0,"",0,0
"Veenendaal","H","41","Besloten vennootschap met gewone structuur","46699","GH ov.mach./app./toeb. ind./handel","4645","Groothandel in parfums en cosmetica","4775","Winkels in parfums en cosmetica","J","J",20151214,20151214,20211006,20151214,20211001,0,0,"",2021,20220302
"Dronten","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20151215,20151215,0,0,0,"",0,0
"Heino","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20151214,20151214,20151215,20151214,0,0,0,"",2020,20220110
"Zandvoort","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20040929,20040929,0,0,0,0,0,"",0,0
"Ermelo","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",20151210,20151210,0,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","6420","Financiële holdings","","","","","","",20151214,20151214,0,0,0,0,0,"",0,0
"Leiden","H","01","Eenmanszaak","88993","Lokaal welzijnswerk","9003","Schrijven en overige scheppende kunst","","","N","N",0,0,20151215,20151201,20170101,0,0,"",0,0
