"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Rotterdam","H","01","Eenmanszaak","4321","Elektrotechnische bouwinstallatie","","","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Spijkenisse","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20191224,20191224,20191227,20191224,0,0,0,"",2021,20220517
"Putten","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","8130","Landschapsverzorging","","","N","N",0,0,20200121,20200101,20200118,0,0,"",0,0
"Heusden","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","9609","Overige dienstverlening (rest)","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","7810","Arbeidsbemiddeling","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Arnhem","H","01","Eenmanszaak","86221","Praktijken medisch spec./med. dagbehand.","","","","","N","N",0,0,20200819,20200101,20200808,0,0,"",0,0
"Berkel en Rodenrijs","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20191224,20191224,20191227,20191224,20210419,0,0,"",2020,20210806
"Erp","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20191223,20191223,20191227,20191223,0,0,0,"",0,0
"Paterswolde","H","01","Eenmanszaak","47991","Colportage","85592","Bedrijfsopleiding en -training","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Barendrecht","H","41","Besloten vennootschap met gewone structuur","56101","Restaurants","","","","","N","N",20191224,20191224,20220527,20191224,20220501,0,0,"",2020,20211213
"Kerkdriel","H","01","Eenmanszaak","4941","Goederenvervoer over weg (geen verhuiz.)","","","","","N","J",0,0,20191227,20200101,0,0,0,"",0,0
"Utrecht","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20191220,20191220,0,0,0,0,0,"",0,0
"Hoofddorp","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","64923","Participatiemaatschappijen","","","N","N",20191224,20191224,20191227,20191224,0,0,0,"",2020,20211203
"Papendrecht","H","01","Eenmanszaak","47919","Internethandel alg.assortiment non-food","47899","Markthandel in overige goederen","4662","Groothandel in gereedschapswerktuigen","J","N",0,0,20191227,20200101,0,0,0,"",0,0
"Tricht","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Den Bommel","H","11","Vennootschap onder firma","8121","Interieurreiniging van gebouwen","","","","","N","N",20200101,0,20191227,20200101,0,0,0,"",0,0
"Deventer","H","01","Eenmanszaak","7810","Arbeidsbemiddeling","85599","Studiebegeleiding/vorming/onderwijs","70221","Organisatie-adviesbureaus","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Haren Gn","H","01","Eenmanszaak","0910","Dienstverl. winning aardolie en aardgas","4941","Goederenvervoer over weg (geen verhuiz.)","4942","Verhuisvervoer","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"'s-Hertogenbosch","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","70221","Organisatie-adviesbureaus","","","N","N",0,0,20191227,20200101,20201221,0,0,"",0,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","56101","Restaurants","","","","","N","N",20191224,20191224,20191227,20191224,0,0,0,"",0,0
"Bemmel","H","01","Eenmanszaak","85592","Bedrijfsopleiding en -training","86929","Samenwerkingsorganen ohgv gez.zorg","","","N","N",0,0,20191227,20200101,20210401,0,0,"",0,0
"De Lier","H","01","Eenmanszaak","96011","Wasserijen en linnenverhuur","","","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Rotterdam","","74","Stichting","94911","Religieuze organisaties","9002","Dienstverlening voor uitvoerende kunst","94993","Steunfondsen (niet ohgv welzijnszorg)","","",20191223,20191223,0,0,0,0,0,"",0,0
"Hoogeveen","H","41","Besloten vennootschap met gewone structuur","46499","GH ov. consumentenart. (non-food) (rest)","47918","Internethandel overige non-food","","","J","J",20191224,20191224,20191227,20191224,0,0,0,"",2020,20211005
"Rotterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20191220,20191220,0,0,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Bolsward","H","01","Eenmanszaak","85592","Bedrijfsopleiding en -training","","","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Papendrecht","H","01","Eenmanszaak","96021","Haarverzorging","","","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Zevenaar","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Cuijk","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","70221","Organisatie-adviesbureaus","","","N","N",0,0,20191227,20200101,20201223,0,0,"",0,0
"Amstelveen","H","01","Eenmanszaak","3212","Bewerken edelstenen en verv. sieraden","9525","Reparatie van uurwerken en juweliersart.","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
"Roermond","H","41","Besloten vennootschap met gewone structuur","56101","Restaurants","","","","","N","N",20191224,20191224,20191227,20191224,0,0,0,"",2021,20220614
"Etten","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","43222","Inst. verwarmings-/luchtbehandelingsapp.","31011","Interieurbouw","N","N",0,0,20191227,20200101,20200919,0,0,"",0,0
"Hasselt","H","01","Eenmanszaak","7500","Veterinaire dienstverlening","","","","","N","N",0,0,20191227,20200101,0,0,0,"",0,0
