"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Breda","H","01","Eenmanszaak","4662","Groothandel in gereedschapswerktuigen","47999","DH via overige distributievormen","46712","GH vloeibare en gasvormige brandstoffen","J","J",0,0,19350327,19290101,20100217,0,20100217,"",0,0
"Breda","H","41","Besloten vennootschap met gewone structuur","10822","Verv. chocolade en suikerwerk","4636","GH suiker, chocolade en suikerwerk","47242","Winkels in chocolade en suikerwerk","N","N",20040930,20040930,19350404,19350316,20201202,0,20040930,"",2020,20210430
"Oosterhout","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",19471129,19471129,19350603,19340209,20180709,0,19721113,"",2020,20210930
"Oud Gastel","H","41","Besloten vennootschap met gewone structuur","4941","Goederenvervoer over weg (geen verhuiz.)","","","","","","",19741223,19741223,19350706,19300501,20170609,0,19741223,"",2020,20220519
"Schiedam","H","41","Besloten vennootschap met gewone structuur","4941","Goederenvervoer over weg (geen verhuiz.)","45205","Overige gespec. reparatie/slepen auto's","78202","Uitleenbureaus","","",19610727,19610727,20020102,19270328,20020101,0,19721103,"",2022,0
"Hoogerheide","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19571223,19571223,19350810,19350801,20100101,0,19721025,"",2020,20210617
"Putte","H","41","Besloten vennootschap met gewone structuur","2229","Verv. overige producten van kunststof","","","","","N","J",19350722,19350722,19350823,19240101,0,0,19720704,"",2019,20200709
"Breda","H","41","Besloten vennootschap met gewone structuur","46442","GH was-, poets- en reinigingsmiddelen","2041","Verv. zeep/wasmid./poets-/reinigingsmid.","","","","",19710716,19710716,19351021,19351015,19950821,0,19760831,"",2020,20210616
"Bergen op Zoom","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19740319,19740319,19351129,19350406,20080101,0,19740319,"",2020,20211101
"Breda","H","01","Eenmanszaak","4762","Winkels kranten/tijdschr./kantoorbeh.","47643","Winkels in sportart. (geen watersport)","","","","",0,0,19360129,19331209,0,0,19850101,"",0,0
"Terheijden","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20071222,19360201,20081201,0,19980801,"",0,0
"Breda","H","51","Naamloze vennootschap met gewone structuur","65121","Schadeverzekeringen (geen zorgverz.)","","","","","","",19360319,19360319,19360415,19360319,20010402,0,19781110,"",2021,20220408
"Breda","H","41","Besloten vennootschap met gewone structuur","4120","Algemene burgerlijke en utiliteitsbouw","","","","","","",19920327,19920327,19360428,19360201,19960531,0,19920327,"",2020,20211201
"Breda","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19910328,19910328,19361001,19361015,19980130,0,19910328,"",2020,20210609
"Oud Gastel","H","41","Besloten vennootschap met gewone structuur","2825","Verv. apparaten industriële koeltechniek","","","","","","",19561211,19561211,19370206,19370215,20190225,0,19720913,"",2021,0
"Roosendaal","H","41","Besloten vennootschap met gewone structuur","47641","Winkels in fietsen en bromfietsen","9529","Reparatie van overige consumentenart.","","","N","N",20080530,20080530,19370210,19370101,0,0,20080530,"",2021,20220309
"Standdaarbuiten","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",19990531,19990531,19370212,19130000,0,0,19990531,"",2020,20210519
"Etten-Leur","H","41","Besloten vennootschap met gewone structuur","46432","GH elektrische huishoudelijke apparaten","46431","Groothandel in witgoed","4652","GH elektronische/telecommunicatieapp.","J","J",19561221,19561221,19370217,19350101,20080101,0,19720913,"",2020,20211027
"Bergen op Zoom","N","41","Besloten vennootschap met gewone structuur","4652","GH elektronische/telecommunicatieapp.","","","","","","",19561221,19561221,19690616,19690601,0,0,0,"",2020,20211027
"Breda","H","41","Besloten vennootschap met gewone structuur","4773","Apotheken","","","","","","",19850121,19850121,19370602,19370615,20010117,0,19850121,"",2020,20211018
