"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Staphorst","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20200803,20080124,20200801,0,0,"",0,0
"Deventer","N","41","Besloten vennootschap met gewone structuur","6831","Bemidd. bij handel/huur/verhuur onr.goed","","","","","N","N",19940211,19940211,20080124,20080201,20191125,0,0,"",2020,20220307
"Lunteren","H","41","Besloten vennootschap met gewone structuur","43221","Loodg.- en fitterswerk; inst. sanitair","","","","","N","N",20080118,20080118,20080124,20080118,0,0,0,"",2021,20220510
"'s-Heerenberg","H","01","Eenmanszaak","52291","Expediteurs/cargadoors/bevrachters e.d.","","","","","J","J",0,0,20080124,19810106,0,0,20080101,"",0,0
"Ede","H","01","Eenmanszaak","7311","Reclamebureaus","","","","","N","N",0,0,20080124,20080201,0,0,0,"",0,0
"Huissen","H","01","Eenmanszaak","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","","","","","N","N",0,0,20080124,20080201,0,0,0,"",0,0
"Wageningen","H","41","Besloten vennootschap met gewone structuur","6810","Handel in eigen onroerend goed","","","","","","",20080123,20080123,20080124,20080123,20130211,0,0,"",2020,20211025
"Haalderen","H","01","Eenmanszaak","8130","Landschapsverzorging","","","","","N","N",0,0,20080124,20080201,20090511,0,0,"",0,0
"Tiel","H","41","Besloten vennootschap met gewone structuur","4665","Groothandel in bedrijfsmeubels","","","","","J","N",20080122,20080122,20080124,20080122,20170106,0,0,"",2020,20210602
"Arnhem","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","","",20080213,20080213,20080124,20080121,0,0,20080213,"",2020,20210914
"Doetinchem","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20080123,20080123,20080124,20080123,0,0,0,"",2020,20210323
"Doetinchem","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20080123,20080123,20080124,20080123,20150729,0,0,"",2020,20210323
"Doetinchem","H","41","Besloten vennootschap met gewone structuur","6810","Handel in eigen onroerend goed","","","","","","",20080123,20080123,20080124,20080123,20150729,0,0,"",2020,20210323
"Keijenborg","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20080123,20080123,20080124,20080123,20170222,0,0,"",2020,20211104
"Wageningen","H","01","Eenmanszaak","85522","Kunstzinnige vorming voor amateurs","","","","","","",0,0,20080124,20080201,20120806,0,0,"",0,0
"Doetinchem","H","01","Eenmanszaak","86929","Samenwerkingsorganen ohgv gez.zorg","","","","","N","N",0,0,20080124,20080101,0,0,0,"",0,0
"Zelhem","H","41","Besloten vennootschap met gewone structuur","69204","Belastingconsulenten","69202","Accountants-administratieconsulenten","","","N","N",20080122,20080122,20080124,20080122,0,0,0,"",2021,20220405
"Aalten","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20080124,20080124,20140121,0,0,"",0,0
"Wehl","H","01","Eenmanszaak","4321","Elektrotechnische bouwinstallatie","78202","Uitleenbureaus","","","N","N",0,0,20080124,20080201,20180302,0,0,"",0,0
"Bredevoort","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","","",0,0,20080124,20080201,20170722,0,0,"",0,0
"Velp","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20080124,20080124,20170404,0,0,"",0,0
"Ede","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20080124,20080201,0,0,0,"",0,0
"Bennekom","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,20000124,20080101,0,0,0,"",0,0
"Zelhem","H","01","Eenmanszaak","4312","Grondverzet","8129","Overige reiniging","01193","Teelt van voedergewassen","N","N",0,0,20080124,20080201,20160520,0,0,"",0,0
"Arnhem","H","11","Vennootschap onder firma","4742","Winkels in telecommunicatieapparatuur","","","","","N","N",20080101,0,20080124,20060517,0,0,20080101,"",0,0
"Ospel","H","01","Eenmanszaak","4611","HB landbouwprod., levende dieren e.d.","9609","Overige dienstverlening (rest)","69209","Overige administratiekantoren","N","N",0,0,20080124,20080201,20191128,0,0,"",0,0
"Roermond","H","01","Eenmanszaak","6201","Ontwikkelen/produceren/uitgeven software","","","","","N","N",0,0,20080124,20080201,20190131,0,0,"",0,0
"Meijel","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","4941","Goederenvervoer over weg (geen verhuiz.)","","","N","N",0,0,20080124,20080201,0,0,0,"",0,0
"Urmond","H","41","Besloten vennootschap met gewone structuur","43221","Loodg.- en fitterswerk; inst. sanitair","2752","Verv. niet-elektrische huishoudapparaten","","","N","N",20080118,20080118,20080124,20080118,0,0,0,"",2020,20211221
"Well L","H","01","Eenmanszaak","7721","Verhuur van sport- en recreatieartikelen","","","","","N","N",0,0,20080124,20080124,20200302,0,0,"",0,0
"Lemiers","","72","Vereniging met beperkte rechtsbevoegdheid","94997","Overige belangenbehartiging (rest)","","","","","","",20071217,20071217,0,0,0,0,0,"",0,0
"Maastricht","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20080124,20080124,20080415,0,0,"",0,0
"Schiedam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","6810","Handel in eigen onroerend goed","78202","Uitleenbureaus","N","N",20080122,20080122,20200409,20080122,20200309,0,0,"",2020,20211102
"Sittard","H","41","Besloten vennootschap met gewone structuur","47741","Winkels in drogisterij-artikelen","5310","Nationale post met univer. dienstverpl.","53201","Post zonder univ. dienstverplichting","N","N",20080226,20080226,20080124,20080101,20220201,0,20080226,"",2020,20210302
"Heerlen","H","41","Besloten vennootschap met gewone structuur","46383","Gesp. GH in ov. voedings- en genotm.","","","","","J","J",20080121,20080121,20080124,20080121,20110325,0,0,"",2021,20220520
"Maastricht","H","41","Besloten vennootschap met gewone structuur","6831","Bemidd. bij handel/huur/verhuur onr.goed","","","","","N","N",20080213,20080213,20210220,20080121,20210219,0,20080213,"",2020,20220325
"Venlo","H","41","Besloten vennootschap met gewone structuur","7500","Veterinaire dienstverlening","","","","","N","N",20080123,20080123,20080124,20080123,20200401,0,0,"",2020,20210824
"Venlo","H","41","Besloten vennootschap met gewone structuur","7740","Lease niet-financiële immateriële activa","","","","","N","N",20080429,20080429,20080124,20071030,0,0,20080429,"",2015,20170131
"Nederweert","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","N","N",20080123,20080123,20080124,20080123,0,0,0,"",2016,20180301
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20080227,20080227,20210929,20080123,20210901,0,20080227,"",2020,20220506
"Maastricht","H","01","Eenmanszaak","33121","Rep./onderh. mach. voor algemeen gebruik","","","","","N","N",0,0,20080124,20080110,0,0,0,"",0,0
"Venlo","","74","Stichting","69209","Overige administratiekantoren","","","","","","",20080123,20080123,0,0,0,0,0,"",0,0
"Weert","H","01","Eenmanszaak","8621","Praktijken van huisartsen","","","","","N","N",0,0,20080124,20080124,20160101,0,0,"",0,0
"Kelpen-Oler","H","01","Eenmanszaak","2562","Algemene metaalbewerking","71202","Keuring/controle mach./app./materialen","","","N","N",0,0,20080124,20080124,20210701,0,0,"",0,0
"Roermond","H","74","Stichting","88999","Overig maatsch.adv./gemeenschapshuizen","","","","","N","N",20080121,20080121,20110104,20080121,20080121,0,0,"",0,0
"Veghel","H","41","Besloten vennootschap met gewone structuur","69202","Accountants-administratieconsulenten","","","","","N","N",20080229,20080229,20080123,20080115,20210830,0,20080229,"",2020,20220103
"Breukelen","H","41","Besloten vennootschap met gewone structuur","66191","Admin.kantoren voor aandelen/obligaties","","","","","N","N",20080121,20080121,20180906,20080121,20180905,0,0,"",2020,20220102
"'s-Hertogenbosch","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",20080117,20080117,0,0,0,0,0,"",0,0
"Arnhem","H","01","Eenmanszaak","3213","Vervaardiging van imitatiesieraden","85522","Kunstzinnige vorming voor amateurs","","","","",0,0,20081110,20080118,20170817,0,0,"",0,0
"Tilburg","","74","Stichting","94993","Steunfondsen (niet ohgv welzijnszorg)","","","","","","",20080118,20080118,0,0,0,0,0,"",0,0
"Tilburg","H","01","Eenmanszaak","56101","Restaurants","","","","","N","N",0,0,20080124,20080101,0,0,0,"",0,0
"Cuijk","H","01","Eenmanszaak","2562","Algemene metaalbewerking","","","","","","",0,0,20080124,20080124,0,0,0,"",0,0
"'s-Hertogenbosch","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","59111","Prod. films (geen televisiefilms)","7311","Reclamebureaus","","",0,0,20080124,20080131,20200109,0,0,"",0,0
"Goirle","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20080123,20080123,0,0,0,0,0,"",0,0
"Almere","H","01","Eenmanszaak","47919","Internethandel alg.assortiment non-food","","","","","J","J",0,0,20090507,20080131,20171017,0,0,"",0,0
"Tilburg","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20080124,20080124,20190905,0,0,"",0,0
"'s-Hertogenbosch","H","11","Vennootschap onder firma","93299","Ov. recreatie (rest)(geen jachthavens)","56101","Restaurants","5621","Eventcatering","","",20100401,0,20080124,20080101,20120101,0,20100401,"",0,0
"Helmond","H","01","Eenmanszaak","7311","Reclamebureaus","","","","","","",0,0,20080124,20080201,20200204,0,0,"",0,0
"Mierlo","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20090529,20090529,20080124,20080122,20171128,0,20090529,"",2020,20211108
"Helmond","H","41","Besloten vennootschap met gewone structuur","6202","Advisering ohgv informatietechnologie","78202","Uitleenbureaus","","","N","N",20080214,20080214,20080124,20080101,0,0,20080214,"",2020,20211017
"Dongen","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","","",0,0,20080124,20080101,0,0,0,"",0,0
"Veldhoven","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","","",0,0,20080124,20080124,20101025,0,0,"",0,0
"Sint-Oedenrode","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","N","N",0,0,20080124,20080124,0,0,0,"",0,0
"Waalwijk","H","01","Eenmanszaak","47819","Markthandel overige voedings- en genotm.","","","","","","",0,0,20080124,20080124,20100101,0,0,"",0,0
"Heeswijk-Dinther","H","01","Eenmanszaak","7112","Ingenieurs/overig techn. ontwerp/advies","","","","","","",0,0,20080124,20080201,20140131,0,0,"",0,0
"Drunen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20080229,20080229,20080124,20071001,0,0,20080229,"",2020,20211022
"Nistelrode","H","01","Eenmanszaak","4334","Schilderen en glaszetten","","","","","","",0,0,20080124,20080131,20181115,0,0,"",0,0
"Helmond","H","01","Eenmanszaak","1399","Verv. overige textielproducten (rest)","47918","Internethandel overige non-food","","","N","N",0,0,20150310,20080124,20210128,0,20080418,"",0,0
"Tilburg","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","N","N",20080214,20080214,20080124,20080101,20170614,0,20080214,"",2020,20210819
"Veldhoven","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20080124,20080110,20150708,0,0,"",0,0
"Eindhoven","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","85522","Kunstzinnige vorming voor amateurs","7311","Reclamebureaus","N","N",0,0,20080124,20080101,20160718,0,0,"",0,0
"Hoeven","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20080124,20080124,20210329,0,0,"",0,0
"Sint Jansteen","H","41","Besloten vennootschap met gewone structuur","6612","Commissionairs/makelaars in effecten ed","","","","","N","N",20080122,20080122,20080124,20080122,0,0,0,"",2020,20210902
"Bergen op Zoom","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","N","N",20080121,20080121,20080124,20080121,0,0,0,"",2020,20220113
"Breda","H","01","Eenmanszaak","47717","Winkels in mode-artikelen","","","","","N","N",0,0,20080124,20080124,20131101,0,0,"",0,0
"Teteringen","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20080124,20080201,20150320,0,0,"",0,0
"Sint Jansteen","H","41","Besloten vennootschap met gewone structuur","6810","Handel in eigen onroerend goed","6832","Beheer van onroerend goed","","","J","J",20080122,20080122,20080124,20080122,0,0,0,"",2020,20210902
"Hulst","","71","Vereniging met volledige rechtsbevoegdheid","94991","Gezelligheidsverenigingen","","","","","","",20080121,20080121,0,0,0,0,0,"",0,0
"Stampersgat","H","01","Eenmanszaak","2562","Algemene metaalbewerking","2511","Verv. metalen constr.werken/delen ervan","","","","",0,0,20080124,20080201,20120219,0,0,"",0,0
"Ritthem","H","41","Besloten vennootschap met gewone structuur","5030","Binnenvaart (passagiersvaart/veerd.)","","","","","N","N",20081230,20081230,20080124,20080102,0,0,20081230,"",2020,20211213
"Breda","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20080123,20080123,20080124,20080123,20200701,0,0,"",2020,20210927
"Etten-Leur","","71","Vereniging met volledige rechtsbevoegdheid","94997","Overige belangenbehartiging (rest)","","","","","","",20080122,20080122,0,0,0,0,0,"",0,0
"Bergen op Zoom","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","","",0,0,20080124,20080124,20160401,0,0,"",0,0
"Zevenbergschen Hoek","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20080123,20080123,20080124,20080123,20110901,0,0,"",2020,20210607
"Oudenbosch","H","41","Besloten vennootschap met gewone structuur","86919","Overige paramedische praktijken","6420","Financiële holdings","64303","Beleggingsinst. met beperkte toetreding","N","N",20080123,20080123,20080124,20080123,0,0,0,"",2020,20210729
"Kortgene","H","01","Eenmanszaak","69203","Boekhoudkantoren","","","","","","",0,0,20080124,20080101,20190701,0,0,"",0,0
"Etten-Leur","H","01","Eenmanszaak","4334","Schilderen en glaszetten","4120","Algemene burgerlijke en utiliteitsbouw","","","N","N",0,0,20080124,20080124,0,0,0,"",0,0
"Raamsdonksveer","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",20071117,20071117,0,0,0,0,0,"",0,0
"Hoogerheide","H","01","Eenmanszaak","4331","Stukadoren","","","","","","",0,0,20080124,20080131,20110801,0,0,"",0,0
"Sprundel","H","01","Eenmanszaak","74201","Fotografie","","","","","N","N",0,0,20080124,20080124,0,0,0,"",0,0
"Heijningen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20080228,20080228,20080124,20080101,20160614,0,20080228,"",2020,20210506
