"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20140819,20140819,20140820,20140819,0,0,0,"",2021,20220608
"Hoofddorp","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","90011","Beoefening van podiumkunst","","","N","N",0,0,20140820,20140825,0,0,0,"",0,0
"Rhoon","H","41","Besloten vennootschap met gewone structuur","52291","Expediteurs/cargadoors/bevrachters e.d.","52109","Opslag in distr.centra en overige opslag","","","J","N",20140820,20140820,20140820,20140820,20171124,0,0,"",2020,20210616
"Vlijmen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20140819,20140819,20140820,20140819,0,0,0,"",2020,20210122
"Rotterdam","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20140820,20140820,20170926,0,0,"",0,0
"Uithoorn","H","01","Eenmanszaak","1071","Verv. brood en vers banketbakkerswerk","93299","Ov. recreatie (rest)(geen jachthavens)","47911","Internethandel voeding en drogisterij","N","N",0,0,20140820,20140820,20170714,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","5630","Cafés","56101","Restaurants","","","N","N",20140820,20140820,20140820,20140820,20140820,0,0,"",2020,20211016
"'s-Gravenhage","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","7430","Vertalers en tolken","","","N","N",0,0,20140820,20140820,20180112,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","3316","Reparatie en onderhoud van vliegtuigen","","","","","N","N",20140625,20140625,20140820,20140625,0,0,0,"",2020,20211213
"Rotterdam","H","01","Eenmanszaak","9002","Dienstverlening voor uitvoerende kunst","","","","","N","N",0,0,20180202,20140827,20210820,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","74101","Communicatie- en grafisch ontwerp","","","","","N","N",0,0,20170606,20140820,20170401,0,0,"",0,0
"Enschede","H","41","Besloten vennootschap met gewone structuur","4612","HB in brandst./ertsen/metalen/chem.prod.","46751","GH chem.grondst./chemicaliën ind.toep.","","","J","J",20140820,20140820,20140820,20140820,0,0,0,"",2020,20211108
"Nijkerk","","74","Stichting","93299","Ov. recreatie (rest)(geen jachthavens)","","","","","","",20140818,20140818,0,0,0,0,0,"",0,0
"Zeijerveld","H","01","Eenmanszaak","0111","Teelt granen/peulvruchten/olieh. zaden","01422","Overige vleesveehouderij/zoogkoeienbedr.","01193","Teelt van voedergewassen","N","N",0,0,20140820,19860501,0,0,20140626,"",0,0
"Rotterdam","H","01","Eenmanszaak","88101","Thuiszorg","","","","","N","N",0,0,20140820,20140815,0,0,0,"",0,0
"De Lier","H","01","Eenmanszaak","88993","Lokaal welzijnswerk","","","","","N","N",0,0,20140820,20140813,0,0,0,"",0,0
"Buren","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20140820,20140820,20141001,0,0,"",0,0
"Deventer","H","01","Eenmanszaak","6311","Gegevensverw./webhosting/aanverw. activ.","","","","","N","N",0,0,20140820,20140819,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","59111","Prod. films (geen televisiefilms)","59112","Productie van televisieprogramma's","","","N","N",0,0,20140820,20140601,20210616,0,0,"",0,0
