"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6630","Vermogensbeheer","","","","","N","N",20191231,20191231,20200110,20191231,0,0,0,"",2020,20220502
"Bergambacht","H","41","Besloten vennootschap met gewone structuur","64301","Beleggingsinstell. in financiële activa","","","","","N","N",20191221,20191220,20200110,20191221,0,0,0,"",2021,20220517
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20200110,20200110,20200110,20200110,0,0,0,"",0,0
"Putten","H","01","Eenmanszaak","5530","Kampeerterreinen","","","","","N","N",0,0,20200110,19760101,0,0,20190101,"",0,0
"Woudenberg","H","41","Besloten vennootschap met gewone structuur","4222","Leggen van elektr.-/telecom.kabels","46738","Groothandel gespec. in overige bouwmat.","","","J","N",20200101,20191231,20200110,20200101,0,0,0,"",2020,20211116
"Woudenberg","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","8211","Brede administratieve dienstverlening","6202","Advisering ohgv informatietechnologie","N","N",20200101,20191231,20200110,20200101,0,0,0,"",2020,20211116
"Woudenberg","H","41","Besloten vennootschap met gewone structuur","4321","Elektrotechnische bouwinstallatie","7112","Ingenieurs/overig techn. ontwerp/advies","","","N","N",20200101,20191231,20200110,20200101,0,0,0,"",2020,20210729
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20200109,20200109,20200110,20200109,0,0,0,"",0,0
"Eersel","H","41","Besloten vennootschap met gewone structuur","86929","Samenwerkingsorganen ohgv gez.zorg","86923","Preventieve gezondh.zorg (geen arbobeg.)","72193","Speur-/ontw.werk ohgv gezondh./voeding","N","N",20200110,20200110,20200110,20200110,0,0,0,"",2020,20211117
"Huissen","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20200110,20200110,0,0,0,"",0,0
"Ridderkerk","H","01","Eenmanszaak","93299","Ov. recreatie (rest)(geen jachthavens)","90011","Beoefening van podiumkunst","7021","Adviesbureaus publ. relations en comm.","N","N",0,0,20210608,20200115,20210530,0,0,"",0,0
"Eefde","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","N","N",0,0,20200110,20200103,20200806,0,0,"",0,0
"Beegden","H","41","Besloten vennootschap met gewone structuur","86922","Arbobegeleiding en reïntegratie","","","","","N","N",20191227,20191227,20200110,20120101,0,0,20191227,"",0,0
"Babberich","","71","Vereniging met volledige rechtsbevoegdheid","94997","Overige belangenbehartiging (rest)","","","","","","",20200110,20200110,0,0,0,0,0,"",0,0
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","4941","Goederenvervoer over weg (geen verhuiz.)","","","N","N",20200109,20200109,20200110,20200109,20211004,0,0,"",0,0
"Veendam","H","01","Eenmanszaak","2562","Algemene metaalbewerking","","","","","N","N",0,0,20200110,20200110,20200518,0,0,"",0,0
"Haaksbergen","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20200110,20200101,0,0,0,"",0,0
"Oldenzaal","H","01","Eenmanszaak","6202","Advisering ohgv informatietechnologie","6201","Ontwikkelen/produceren/uitgeven software","","","N","N",0,0,20200110,20200106,20210219,0,0,"",0,0
"Duiven","H","01","Eenmanszaak","8211","Brede administratieve dienstverlening","","","","","N","N",0,0,20200110,20200113,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20200110,20200110,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","6311","Gegevensverw./webhosting/aanverw. activ.","","","","","N","N",0,0,20200110,20200101,20210416,0,0,"",0,0
"Eindhoven","H","01","Eenmanszaak","88101","Thuiszorg","5621","Eventcatering","","","N","N",0,0,20211026,20200101,20211021,0,0,"",0,0
"Ede","H","01","Eenmanszaak","4321","Elektrotechnische bouwinstallatie","4120","Algemene burgerlijke en utiliteitsbouw","7311","Reclamebureaus","N","N",0,0,20200110,20200101,20200408,0,0,"",0,0
"De Westereen","H","01","Eenmanszaak","43993","Metselen en voegen","4332","Bouwtimmeren","","","N","N",0,0,20200110,20200106,0,0,0,"",0,0
"Zwolle","H","01","Eenmanszaak","8130","Landschapsverzorging","86922","Arbobegeleiding en reïntegratie","01131","Teelt van groenten in de volle grond","N","N",0,0,20200110,20200102,0,0,0,"",0,0
"Ovezande","H","01","Eenmanszaak","6202","Advisering ohgv informatietechnologie","6209","Ov. dienstv. act. ohgv informatietechn.","","","N","N",0,0,20200110,20200109,0,0,0,"",0,0
"Purmerend","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","4332","Bouwtimmeren","","","N","N",0,0,20210622,20200102,20210621,0,0,"",0,0
"Nieuwegein","H","01","Eenmanszaak","47914","Internethandel kleding, mode-artikelen","","","","","N","N",0,0,20200110,20200110,20220510,0,0,"",0,0
"Herveld","H","01","Eenmanszaak","47591","Winkels in meubels","47915","Internethandel huis- en tuinartikelen","46471","Groothandel in huismeubilair","J","J",0,0,20200110,20200110,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20200110,20200101,0,0,0,"",0,0
"Spijkenisse","H","01","Eenmanszaak","8121","Interieurreiniging van gebouwen","","","","","N","N",0,0,20211108,20200107,20210831,0,0,"",0,0
"Monnickendam","H","01","Eenmanszaak","8211","Brede administratieve dienstverlening","","","","","N","N",0,0,20200110,20200101,0,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",0,0,20200110,20060101,0,0,20200101,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","43992","Vlechten van betonstaal","","","","","N","N",0,0,20200110,20200110,0,0,0,"",0,0
"Amsterdam","H","96","Buitenl. op EG-venn. lijkende venn. met onderneming in Nederland","70221","Organisatie-adviesbureaus","6420","Financiële holdings","","","N","N",20040102,20040102,20200110,20200101,0,0,0,"",0,0
"De Meern","H","01","Eenmanszaak","69202","Accountants-administratieconsulenten","70222","Advisering ohgv management/bedrijfsv.","","","N","N",0,0,20200110,20200101,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","78201","Uitzendbureaus","","","","","N","N",0,0,20200110,20200110,20220502,0,0,"",0,0
"'s-Hertogenbosch","H","01","Eenmanszaak","3240","Vervaardiging van speelgoed en spellen","7490","Overige special. zakelijke dienstverl.","","","N","N",0,0,20200110,20200101,0,0,0,"",0,0
"Boxmeer","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20200109,20200109,20200110,20200109,0,0,0,"",2020,20211228
"Utrecht","H","01","Eenmanszaak","59111","Prod. films (geen televisiefilms)","6202","Advisering ohgv informatietechnologie","74102","Industrieel en productontwerp","N","N",0,0,20200505,20200110,20211001,0,0,"",0,0
"Stadskanaal","H","41","Besloten vennootschap met gewone structuur","6831","Bemidd. bij handel/huur/verhuur onr.goed","","","","","N","N",20200110,20200110,20200110,20200110,0,0,0,"",2020,20210730
"Eindhoven","H","01","Eenmanszaak","6201","Ontwikkelen/produceren/uitgeven software","6209","Ov. dienstv. act. ohgv informatietechn.","","","N","N",0,0,20201021,20200101,20201001,0,0,"",0,0
"Zoeterwoude","H","01","Eenmanszaak","90011","Beoefening van podiumkunst","","","","","N","N",0,0,20200110,20200110,20200504,0,0,"",0,0
"Schiedam","H","01","Eenmanszaak","3323","Inst. elektronische en optische app.","4222","Leggen van elektr.-/telecom.kabels","","","N","N",0,0,20200110,20200110,20200526,0,0,"",0,0
