"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","70222","Advisering ohgv management/bedrijfsv.","70221","Organisatie-adviesbureaus","","","N","N",20130225,20130225,20130305,20130225,0,0,0,"",2021,20220228
"Middelharnis","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","N","N",20130225,20130225,20220415,20130225,20220401,0,0,"",2020,20220602
"Enschede","H","01","Eenmanszaak","4391","Dakdekken en bouwen van dakconstructies","","","","","N","N",0,0,20130305,20130221,0,0,0,"",0,0
"Amsterdam","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20130228,20130228,0,0,0,0,0,"",0,0
"Leende","H","01","Eenmanszaak","6201","Ontwikkelen/produceren/uitgeven software","","","","","N","N",0,0,20130305,20130301,20140328,0,0,"",0,0
"Enschede","H","01","Eenmanszaak","8560","Dienstverlening voor het onderwijs","","","","","N","N",0,0,20130305,20130301,0,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20130304,20130304,20130305,20130304,20211001,0,0,"",2020,20210714
"Hardinxveld-Giessendam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","6810","Handel in eigen onroerend goed","","","N","N",20130227,20130227,20130305,20130227,0,0,0,"",2016,20180131
"Gemert","H","01","Eenmanszaak","8553","Auto- en motorrijscholen","","","","","N","N",0,0,20130305,20130311,20160902,0,0,"",0,0
"Eelde","H","01","Eenmanszaak","0161","Dienstverl. akker- en/of tuinbouw","","","","","N","N",0,0,20130305,20120801,20170102,0,0,"",0,0
"Groningen","H","01","Eenmanszaak","88992","Maatschappelijk werk","","","","","N","N",0,0,20130305,20130105,20140321,0,0,"",0,0
"Twello","H","01","Eenmanszaak","8211","Brede administratieve dienstverlening","","","","","N","N",0,0,20130305,20090101,0,0,20130305,"",0,0
"Rotterdam","H","01","Eenmanszaak","74101","Communicatie- en grafisch ontwerp","","","","","N","N",0,0,20130305,20130304,20220101,0,0,"",0,0
"Strijbeek","H","01","Eenmanszaak","43222","Inst. verwarmings-/luchtbehandelingsapp.","43221","Loodg.- en fitterswerk; inst. sanitair","","","N","N",0,0,20130305,20130304,20190902,0,0,"",0,0
"Egmond aan den Hoef","H","01","Eenmanszaak","4332","Bouwtimmeren","4618","HB gespecialiseerd in overige goederen","","","N","N",0,0,20130305,20130305,20191021,0,0,"",0,0
"Erica","H","11","Vennootschap onder firma","45112","Handel/rep. personen-/lichte bedr.auto's","","","","","N","N",20120101,0,20130305,19460101,0,0,20120101,"",0,0
"Tilburg","H","01","Eenmanszaak","1399","Verv. overige textielproducten (rest)","","","","","N","J",0,0,20130305,20130304,20210310,0,0,"",0,0
"Dordrecht","H","01","Eenmanszaak","47918","Internethandel overige non-food","4613","HB hout/vlakglas/sanitair/bouwmaterialen","","","J","N",0,0,20130305,20130301,20130722,0,0,"",0,0
"Rotterdam","H","11","Vennootschap onder firma","4110","Projectontwikkeling","","","","","N","N",20111006,0,20130305,20111006,20200729,0,0,"",0,0
"Apeldoorn","H","01","Eenmanszaak","86919","Overige paramedische praktijken","","","","","N","N",0,0,20130305,20130301,20140725,0,0,"",0,0
"Kloetinge","H","01","Eenmanszaak","4334","Schilderen en glaszetten","4339","Overige afwerking van gebouwen","9003","Schrijven en overige scheppende kunst","N","N",0,0,20130305,20130311,0,0,0,"",0,0
"Oosthuizen","H","01","Eenmanszaak","96021","Haarverzorging","","","","","N","N",0,0,20130305,20130305,0,0,0,"",0,0
"Hillegom","H","01","Eenmanszaak","8621","Praktijken van huisartsen","","","","","N","N",0,0,20130305,20130301,0,0,0,"",0,0
"Doorwerth","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20130305,20130301,20140616,0,0,"",0,0
"Sliedrecht","H","01","Eenmanszaak","69203","Boekhoudkantoren","","","","","N","N",0,0,20130305,20130304,0,0,0,"",0,0
"'s-Gravenhage","","72","Vereniging met beperkte rechtsbevoegdheid","94997","Overige belangenbehartiging (rest)","","","","","","",19691107,0,0,0,0,0,0,"",0,0
"Lent","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,20130305,20130305,0,0,0,"",0,0
"Delft","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20020204,20020204,0,0,0,0,0,"",0,0
"Breda","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20130305,20130305,0,0,0,"",0,0
"Stadskanaal","H","41","Besloten vennootschap met gewone structuur","45205","Overige gespec. reparatie/slepen auto's","","","","","N","N",20130301,20130301,20130305,20130301,0,0,0,"",2021,20220415
