"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Leeuwarden","H","01","Eenmanszaak","74101","Communicatie- en grafisch ontwerp","59111","Prod. films (geen televisiefilms)","","","N","N",0,0,20190624,20190701,20220320,0,0,"",0,0
"Meppel","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","47919","Internethandel alg.assortiment non-food","","","N","N",20190624,20190624,20190624,20190624,0,0,0,"",2020,20210307
"Amersfoort","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","7021","Adviesbureaus publ. relations en comm.","","","N","N",0,0,20190624,20190624,20210725,0,0,"",0,0
"Bolsward","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20190624,20190701,0,0,0,"",0,0
"Helmond","H","41","Besloten vennootschap met gewone structuur","0311","Zee- en kustvisserij","78202","Uitleenbureaus","","","N","N",20190624,20190624,20190624,20190624,0,0,0,"",2020,20211103
"Den Ham","H","01","Eenmanszaak","86221","Praktijken medisch spec./med. dagbehand.","","","","","N","N",0,0,20190624,20190701,0,0,0,"",0,0
"Menaam","H","01","Eenmanszaak","74102","Industrieel en productontwerp","9003","Schrijven en overige scheppende kunst","","","N","N",0,0,20190624,20190701,20210527,0,0,"",0,0
"Ommen","H","01","Eenmanszaak","4333","Afwerking van vloeren en wanden","43221","Loodg.- en fitterswerk; inst. sanitair","","","N","N",0,0,20190624,20190701,0,0,0,"",0,0
"Wierden","H","41","Besloten vennootschap met gewone structuur","6832","Beheer van onroerend goed","","","","","N","N",20190624,20190624,20190624,20190624,0,0,0,"",2020,20220208
"Drachten","H","01","Eenmanszaak","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","","","","","N","N",0,0,20190624,20190701,0,0,0,"",0,0
"Vijfhuizen","H","01","Eenmanszaak","7911","Reisbemiddeling","47919","Internethandel alg.assortiment non-food","","","J","N",0,0,20190624,20190701,0,0,0,"",0,0
"Erica","H","01","Eenmanszaak","43221","Loodg.- en fitterswerk; inst. sanitair","4120","Algemene burgerlijke en utiliteitsbouw","","","N","N",0,0,20190624,20190701,0,0,0,"",0,0
"Amsterdam","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20190624,20190624,0,0,0,0,0,"",0,0
"Oirsbeek","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20190624,20190701,20201215,0,0,"",0,0
"Rotterdam","H","01","Eenmanszaak","47914","Internethandel kleding, mode-artikelen","47916","Internethandel in vrijetijdsartikelen","47918","Internethandel overige non-food","N","N",0,0,20190624,20190701,20211115,0,0,"",0,0
"'s-Hertogenbosch","H","01","Eenmanszaak","8621","Praktijken van huisartsen","","","","","N","N",0,0,20190821,20190624,20190821,0,0,"",0,0
"Purmerend","H","01","Eenmanszaak","5621","Eventcatering","85322","Volwassenen onderwijs","47919","Internethandel alg.assortiment non-food","N","N",0,0,20190624,20190701,0,0,0,"",0,0
"Elburg","H","01","Eenmanszaak","68204","Verh. onroerend goed (niet v woonruimte)","","","","","N","N",0,0,20190624,20190701,0,0,0,"",0,0
"Roden","H","01","Eenmanszaak","47915","Internethandel huis- en tuinartikelen","","","","","N","N",0,0,20190624,20190701,20210512,0,0,"",0,0
"Baarn","H","01","Eenmanszaak","74103","Interieur- en ruimtelijk ontwerp","46499","GH ov. consumentenart. (non-food) (rest)","","","N","N",0,0,20210414,20190701,20210401,0,0,"",0,0
"Zwolle","H","01","Eenmanszaak","4391","Dakdekken en bouwen van dakconstructies","4332","Bouwtimmeren","43999","Overige gespec. werkz. in de bouw (rest)","N","N",0,0,20190624,20190701,0,0,0,"",0,0
