"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Nieuwegein","H","41","Besloten vennootschap met gewone structuur","6831","Bemidd. bij handel/huur/verhuur onr.goed","","","","","","",19990917,19990917,19990428,19990428,0,0,19990917,"",2020,20210930
"Maastricht","","74","Stichting","94993","Steunfondsen (niet ohgv welzijnszorg)","","","","","","",19990426,19990426,0,0,0,0,0,"",0,0
"Leusden","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19630124,19630124,0,0,0,0,0,"",2020,20220107
"Soesterberg","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19780531,19780531,0,0,0,0,0,"",2012,20130409
"Amersfoort","","71","Vereniging met volledige rechtsbevoegdheid","5629","Kantines en contractcatering","93124","Tennis","","","","",19200228,19200228,0,0,0,0,0,"",0,0
"Groningen","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19740110,19740110,20040108,0,0,0,0,"F",2003,0
"Achterveld","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19780929,19780929,0,0,0,0,0,"",2017,20181031
"Zwolle","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19841227,19841227,20051227,0,0,0,0,"",2003,20060523
"Utrecht","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19871117,19871117,0,0,0,0,0,"F",0,0
"Baarn","","71","Vereniging met volledige rechtsbevoegdheid","93121","Veldvoetbal","","","","","","",19340310,19340310,0,0,0,0,0,"",0,0
"Leusden","","74","Stichting","94995","Overk. organen (niet ohgv welzijn/sport)","","","","","","",19160213,19160213,0,0,0,0,0,"",0,0
"Utrecht","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19481108,19481108,0,0,0,0,0,"",0,0
"Ressen","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19780529,19780529,0,0,0,0,0,"",2021,20220506
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19841214,19841214,0,0,0,0,0,"F",1990,19920818
"Nijmegen","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19701119,19701119,0,0,0,0,0,"F",0,0
"1227 Carouge Geneve","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19940906,19940906,0,0,0,0,0,"",2016,20170712
"Bunde","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","","",20050630,20050630,20190321,19990501,20190311,0,20050630,"",2020,20211207
"Muiden","H","01","Eenmanszaak","7311","Reclamebureaus","","","","","","",0,0,19990428,19990501,0,0,0,"",0,0
"Soest","H","01","Eenmanszaak","5912","Facilitaire activ. voor film-/tv-prod.","","","","","","",0,0,19990428,19990101,20150601,0,0,"",0,0
"Amersfoort","H","41","Besloten vennootschap met gewone structuur","85592","Bedrijfsopleiding en -training","","","","","","",20021118,20021118,19990428,19990401,20220201,0,20021118,"",2020,20220513
"Hilversum","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",19990427,19990427,19990428,19990427,20060911,0,0,"",2020,20211202
"Soest","H","01","Eenmanszaak","46471","Groothandel in huismeubilair","","","","","J","J",0,0,19990428,19990428,0,0,0,"",0,0
"Amsterdam","","51","Naamloze vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19211201,19211201,0,0,0,0,0,"",2021,20220527
"Amsterdam","N","41","Besloten vennootschap met gewone structuur","45112","Handel/rep. personen-/lichte bedr.auto's","5221","Dienstverlening voor vervoer over land","","","N","N",19990409,0,19990427,19880401,20130801,0,19990409,"",2020,20220123
"Zaandam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19760409,19760409,19411014,0,0,19960809,0,"F",1994,19960123
"Boxtel","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19740626,19740626,19740722,0,0,19920701,0,"F",1989,19910124
"Moraira Teulada","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19701021,19701021,19830602,0,0,19880101,0,"",1986,19880913
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19061116,19061116,0,0,0,0,0,"",0,0
"Mill","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19741230,19741230,0,0,0,0,0,"",2016,20171031
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19730823,19730823,0,0,0,0,0,"",0,0
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19760224,19760224,0,0,0,0,0,"",2016,20180315
"Willemstad","","41","Besloten vennootschap met gewone structuur","6810","Handel in eigen onroerend goed","6832","Beheer van onroerend goed","4120","Algemene burgerlijke en utiliteitsbouw","","",19740807,19740807,19740816,0,0,0,0,"",2007,20080714
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19750624,19750624,0,0,0,0,0,"",0,0
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19750818,19750818,19751022,0,0,19940301,0,"",1992,19921102
"London sei 9 ng","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19760412,19760412,0,0,0,0,0,"F",0,0
"Lelystad","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19761227,19761227,0,0,0,0,0,"F",0,0
"Haarlem","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19770314,19770314,0,0,0,0,0,"",2005,20070315
"Alphen aan den Rijn","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19770621,19770621,0,0,0,0,0,"",2019,20210125
"Amsterdam","","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","70222","Advisering ohgv management/bedrijfsv.","7112","Ingenieurs/overig techn. ontwerp/advies","","",19770322,19770322,0,0,0,0,0,"",2013,20140812
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19770922,19770922,0,0,0,0,0,"F",0,0
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19780926,19780926,19791017,0,0,19970701,0,"F",1995,19961101
"Heemstede","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19810828,19810828,19820811,0,0,19880808,0,"",1986,19880811
"Horst","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19820618,19820618,19840425,0,0,19901009,0,"F",0,0
"Spijkenisse","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19830302,19830302,19830316,0,0,19850101,0,"",1994,19950912
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19870527,19870527,0,0,0,0,0,"",2020,20211230
"Spijkenisse","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19840924,19840924,0,0,0,0,0,"",1994,19950912
"75020 Paris","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19850222,19850222,0,0,0,0,0,"",0,0
"Eindhoven","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19850607,19850607,19850703,0,0,19900814,0,"F",1987,19890202
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19781006,19781006,0,0,0,0,0,"",0,0
"Bergen (NH)","","74","Stichting","4634","Groothandel in dranken (geen zuivel)","","","","","","",19880229,19880229,19880418,0,0,19980218,0,"",0,0
"Waalwijk","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19840419,19840419,19881109,0,0,19951010,0,"F",1988,19901203
"'s-Hertogenbosch","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19891128,19891128,19891130,0,0,19960611,0,"",1991,19930311
"Amsterdam","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19900525,19900525,19900607,0,0,0,0,"F",1992,19940218
"Arnhem","","41","Besloten vennootschap met gewone structuur","0001","(Code nog niet vastgesteld)","","","","","","",19920327,19920327,19920406,0,0,0,0,"F",0,0
"L-9905 Troisvierges","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19921230,19921230,19930111,0,0,0,0,"",1993,19940131
"Nederhorst den Berg","","61","Coöperatie","","","","","","","","",19931021,19931021,0,0,0,0,0,"",1995,19970220
"Amsterdam","","74","Stichting","74102","Industrieel en productontwerp","46498","GH boeken/tijdschriften/overig drukwerk","46421","Groothandel in bovenkleding","","",19950711,19950711,19990216,0,0,0,0,"",0,0
"Heemstede","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19961022,19961022,19961128,0,0,19981106,0,"",1998,20010501
"Amsterdam","","74","Stichting","90011","Beoefening van podiumkunst","","","","","","",19931116,19931116,19990317,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","88992","Maatschappelijk werk","","","","","","",19930928,19930928,19990211,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","5814","Uitgeverijen van tijdschriften","","","","","","",19980330,19980330,19980407,0,0,0,0,"",0,0
"Lijnden","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19740726,19740726,0,0,0,0,0,"",2019,20201010
"Santpoort-Noord","","74","Stichting","94995","Overk. organen (niet ohgv welzijn/sport)","","","","","","",19660627,19660627,0,0,0,0,0,"",0,0
"Soest","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19770826,19770826,0,0,0,0,0,"",2020,20210705
"Alphen aan den Rijn","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19781121,19781121,19990413,0,0,0,0,"",1997,19980825
"Lisse","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19791108,19791108,0,0,0,0,0,"F",1995,19961009
"Haarlem","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19940316,19940316,0,0,0,0,0,"F",1994,19950309
"Aalsmeer","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19951010,19951010,0,0,0,0,0,"",2013,20180619
"Hoofddorp","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19951211,19951211,0,0,0,0,0,"F",0,0
"Amsterdam","","74","Stichting","64302","Beleggingsinstellingen in vaste activa","","","","","","",19990421,19990421,0,0,0,0,0,"",0,0
"Lijnden","H","41","Besloten vennootschap met gewone structuur","69203","Boekhoudkantoren","69204","Belastingconsulenten","","","N","N",20050912,20050912,19990427,19990501,20200824,0,20050912,"",2020,20211025
"Haarlem","","71","Vereniging met volledige rechtsbevoegdheid","94991","Gezelligheidsverenigingen","","","","","","",19890430,19990408,0,0,0,0,0,"",0,0
"Hoofddorp","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19990330,19990330,20101104,19990330,20160226,0,0,"",2020,20220222
"Hoofddorp","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,19990427,19990501,0,0,0,"",0,0
"Ouderkerk aan de Amstel","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","69203","Boekhoudkantoren","46421","Groothandel in bovenkleding","N","N",19990611,19990611,19990427,19990411,0,0,19990611,"",2020,20210226
"Nunspeet","","74","Stichting","66191","Admin.kantoren voor aandelen/obligaties","","","","","","",19990330,19990330,0,0,0,0,0,"",0,0
"Almere","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","47293","Winkels in buitenlandse voedingsmiddelen","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","N","N",19990407,19990407,20211001,19990407,20210928,0,0,"",2019,20210121
"Amsterdam","","71","Vereniging met volledige rechtsbevoegdheid","94997","Overige belangenbehartiging (rest)","","","","","","",19990416,20001204,0,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",19990331,19990331,20131213,0,0,0,0,"",2014,20150528
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","69101","Advocatenkantoren, bewindv. en curatoren","","","","","N","N",19991001,19991001,19990427,19990101,20021001,0,19991001,"",2021,20220603
"Amsterdam","","74","Stichting","9002","Dienstverlening voor uitvoerende kunst","","","","","","",19990420,19990420,0,0,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","81221","Glazenwassen","","","","","N","N",0,0,19990428,19990504,20150101,0,0,"",0,0
"IJmuiden","H","41","Besloten vennootschap met gewone structuur","46382","GH vis, schaal- en weekdieren","46383","Gesp. GH in ov. voedings- en genotm.","","","N","N",19990812,19990812,19990428,19990419,19990812,0,19990812,"",2020,20210903
"Amsterdam","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","7320","Markt- en opinieonderzoekbureaus","","","N","N",0,0,19990428,19970415,0,0,0,"",0,0
"Uithoorn","H","41","Besloten vennootschap met gewone structuur","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",19990611,19990611,19990428,19990101,0,0,19990611,"",2020,20220209
"Amsterdam","","74","Stichting","9412","Beroepsorganisaties","","","","","","",19990422,19990422,0,0,0,0,0,"",0,0
"Rotterdam","H","41","Besloten vennootschap met gewone structuur","4618","HB gespecialiseerd in overige goederen","6420","Financiële holdings","59111","Prod. films (geen televisiefilms)","N","N",19990930,19990930,20090604,19990101,20090604,0,19990930,"",2019,20201126
"Haarlem","","74","Stichting","94996","Overige ideële organisaties (rest)","","","","","","",19990420,19990420,0,0,0,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","74103","Interieur- en ruimtelijk ontwerp","31012","Vervaardiging van bedrijfsmeubels","3102","Vervaardiging van keukenmeubels","N","N",0,0,19990428,19990101,20110329,0,0,"",0,0
"Kudelstaart","H","41","Besloten vennootschap met gewone structuur","6622","Assurantietussenpersonen","66193","Hypotheek-/kredietbem./bankagentschappen","","","N","N",19990331,19990331,19990428,19990331,0,0,0,"",2021,20220426
"Purmerend","","71","Vereniging met volledige rechtsbevoegdheid","93144","Bowlen, kegelen, biljarten e.d.","","","","","","",19990426,0,0,0,0,0,0,"",0,0
"Aalsmeer","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19990414,19990414,19990428,19980101,20060619,0,19990414,"",2020,20211230
"Amsterdam","H","01","Eenmanszaak","77399","Verh./lease ov.mach./werkt./ov. goederen","","","","","N","N",0,0,19990428,19990301,20020530,0,0,"",0,0
"Bergen aan Zee","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19850204,19850204,20110125,0,0,0,0,"",2021,20211220
"Beverwijk","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19760512,19760512,0,0,0,0,0,"F",1995,19960523
"Eindhoven","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19720323,19720323,0,0,0,0,0,"F",1995,19961218
"Purmerend","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19780621,19780621,0,0,0,0,0,"",2013,20140822
"Eindhoven","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19690326,19690326,0,0,0,0,0,"",1996,19970411
"Alkmaar","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19911126,19911126,0,0,0,0,0,"F",1991,19921118
"Castricum","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19880920,19880920,0,0,0,0,0,"",2015,20161129
"Burgerbrug","","71","Vereniging met volledige rechtsbevoegdheid","6832","Beheer van onroerend goed","","","","","","",19921228,19921228,0,0,0,0,0,"",1998,19981026
"Alkmaar","","41","Besloten vennootschap met gewone structuur","","","","","","","","",19960229,19960229,0,0,0,0,0,"F",1997,19980703
"Alkmaar","","72","Vereniging met beperkte rechtsbevoegdheid","90011","Beoefening van podiumkunst","","","","","","",19971119,0,0,0,0,0,0,"",0,0
"Hulshorst","H","41","Besloten vennootschap met gewone structuur","6399","Ov. dienstv. activ. opgv informatie","9511","Reparatie van computers/randapparatuur","","","N","N",19990423,19990423,20210511,19990423,20210511,0,0,"",2020,20220404
"Andijk","H","41","Besloten vennootschap met gewone structuur","7490","Overige special. zakelijke dienstverl.","","","","","N","N",19990423,19990423,19990427,19990423,20150612,0,0,"",2020,20211208
"Hobrede","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","","","","","","",19990415,19990415,19990427,19990415,20181031,0,0,"",2020,20220111
"Amersfoort","H","41","Besloten vennootschap met gewone structuur","4645","Groothandel in parfums en cosmetica","2042","Vervaardiging van parfums en cosmetica","","","","",19990408,19990408,20101108,19880720,20101101,0,19990408,"",2020,20211110
"Amersfoort","H","41","Besloten vennootschap met gewone structuur","7740","Lease niet-financiële immateriële activa","","","","","","",19990408,19990408,20101108,19990408,20101101,0,0,"",2020,20211110
"Hoorn","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",19990415,19990415,19990427,19990415,20080623,0,0,"",2020,20211029
"Hoorn","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",19990415,19990415,19990427,19990415,20110401,0,0,"",2020,20211029
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","35112","Prod. elektriciteit door windenergie","","","","","N","N",19990429,19990429,20100727,19990423,20131201,0,19990429,"",2020,20211222
"Hoorn","H","41","Besloten vennootschap met gewone structuur","6810","Handel in eigen onroerend goed","","","","","","",19990415,19990415,19990427,19990415,20110401,0,0,"",2020,20211029
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","35112","Prod. elektriciteit door windenergie","","","","","N","N",19990429,19990429,20100727,19990423,20131201,0,19990429,"",2020,20211222
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","35112","Prod. elektriciteit door windenergie","","","","","N","N",19990429,19990429,20100727,19990423,20131201,0,19990429,"",2020,20211222
"Volendam","H","01","Eenmanszaak","4333","Afwerking van vloeren en wanden","4334","Schilderen en glaszetten","","","N","N",0,0,19990428,19990503,0,0,20070101,"",0,0
"Holten","","41","Besloten vennootschap met gewone structuur","0002","Geen bedrijfsactiviteit(en)","","","","","","",19690225,19690225,0,0,0,0,0,"",2020,20220519
