"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Utrecht","N","74","Stichting","88993","Lokaal welzijnswerk","","","","","N","N",20140221,20140221,20171116,20150501,20150501,0,0,"",2021,20220526
"Nieuwegein","N","74","Stichting","88993","Lokaal welzijnswerk","","","","","N","N",20140221,20140221,20171116,20150401,0,0,0,"",2021,20220526
"Utrecht","N","74","Stichting","88993","Lokaal welzijnswerk","","","","","N","N",20140221,20140221,20171116,20150101,0,0,0,"",2021,20220526
"Utrecht","H","74","Stichting","88993","Lokaal welzijnswerk","85599","Studiebegeleiding/vorming/onderwijs","","","N","N",20140221,20140221,20171116,20150501,0,0,0,"",2021,20220526
"Amsterdam","N","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20151216,20151216,20171116,20171001,0,0,0,"",2020,20210714
"Zevenaar","N","41","Besloten vennootschap met gewone structuur","56101","Restaurants","","","","","N","N",20160128,20160128,20171116,19771123,0,0,20171116,"",2021,0
"Arnhem","","41","Besloten vennootschap met gewone structuur","","","","","","","","",20160705,20160705,20210726,0,0,0,0,"",0,0
"Venlo","N","41","Besloten vennootschap met gewone structuur","96021","Haarverzorging","","","","","N","N",20170720,20170720,20171116,20091101,20210101,0,20170801,"",2020,20211122
"Heerlen","N","41","Besloten vennootschap met gewone structuur","96021","Haarverzorging","","","","","N","N",20170720,20170720,20171116,20100801,0,0,20170801,"",2020,20211122
"Alphen aan den Rijn","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171115,20171115,20171115,20171115,20200701,0,0,"",2020,20211103
"Naaldwijk","H","41","Besloten vennootschap met gewone structuur","46389","Gesp. GH ov.grondst.voedings- en genotm.","","","","","N","N",20171115,20171115,20171115,20171115,0,0,0,"",2018,20190820
"Bleiswijk","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","N","N",20171113,20171113,20171115,20171113,0,0,0,"",2021,20220206
"Xinglongjiayuan, No. 29","H","41","Besloten vennootschap met gewone structuur","46383","Gesp. GH in ov. voedings- en genotm.","","","","","J","J",20171115,20171115,20190416,20171115,20190416,0,0,"",2018,20200420
"Broek op Langedijk","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20171002,20171002,0,0,0,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6399","Ov. dienstv. activ. opgv informatie","6311","Gegevensverw./webhosting/aanverw. activ.","","","N","N",20171114,20171114,20171116,20171114,20201102,0,0,"",2021,20220209
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6399","Ov. dienstv. activ. opgv informatie","6311","Gegevensverw./webhosting/aanverw. activ.","","","N","N",20171114,20171114,20171116,20171114,20201102,0,0,"",2021,20220209
"Barneveld","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2020,20220202
"Lunteren","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2020,20211222
"Vlaardingen","H","41","Besloten vennootschap met gewone structuur","6201","Ontwikkelen/produceren/uitgeven software","6209","Ov. dienstv. act. ohgv informatietechn.","","","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2020,20220616
"Bergschenhoek","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20171115,20171115,0,0,0,0,0,"",0,0
"Amsterdam","","74","Stichting","6420","Financiële holdings","","","","","","",20171115,20171115,0,0,0,0,0,"",0,0
"Hillegom","H","41","Besloten vennootschap met gewone structuur","52291","Expediteurs/cargadoors/bevrachters e.d.","4941","Goederenvervoer over weg (geen verhuiz.)","7712","Verh./lease vrachtw./autob./car./aanh.","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2021,20220330
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2020,20220316
"Alkmaar","H","41","Besloten vennootschap met gewone structuur","35112","Prod. elektriciteit door windenergie","35113","Prod.elektr.zonnecellen/warmtep./waterkr","","","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2020,20210616
"Schiphol-Rijk","H","41","Besloten vennootschap met gewone structuur","52291","Expediteurs/cargadoors/bevrachters e.d.","","","","","N","N",20171115,20171115,20171116,20171115,20210525,0,0,"",2020,20220414
"Doetinchem","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171114,20171114,20171116,20171114,0,0,0,"",2020,20211104
"Hengelo","H","01","Eenmanszaak","69101","Advocatenkantoren, bewindv. en curatoren","78202","Uitleenbureaus","","","N","N",0,0,20171116,20171116,20210801,0,0,"",0,0
"Neede","H","01","Eenmanszaak","2562","Algemene metaalbewerking","33123","Rep./onderh. machines specif.bedrijfstak","4661","GH landbouwmachines/werktuigen/tractoren","N","N",0,0,20171116,20171117,0,0,0,"",0,0
"Vlaardingen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2020,20210529
"Zoetermeer","H","41","Besloten vennootschap met gewone structuur","4110","Projectontwikkeling","","","","","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2020,20210420
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6831","Bemidd. bij handel/huur/verhuur onr.goed","","","","","N","N",20171114,20171114,20171116,20171114,0,0,0,"",2021,20220405
"'s-Gravenhage","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19720509,19720509,0,0,0,0,0,"",0,0
"Enkhuizen","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20171116,20170901,0,0,0,"",0,0
"Bunschoten-Spakenburg","H","01","Eenmanszaak","56102","Fastfoodrest, cafet, ijssal, eetkr e.d.","47819","Markthandel overige voedings- en genotm.","","","N","N",0,0,20171116,20171101,20190802,0,0,"",0,0
"Grafhorst","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20171115,20171115,20171116,20171115,0,0,0,"",2020,20210303
