"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Naarden","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20161003,20161003,0,0,0,"",0,0
"Uden","H","11","Vennootschap onder firma","43999","Overige gespec. werkz. in de bouw (rest)","43222","Inst. verwarmings-/luchtbehandelingsapp.","","","N","N",20161001,0,20161003,20120409,0,0,20161001,"",0,0
"Poortvliet","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20161003,20161003,20170821,20161003,20210730,0,0,"",2020,20211206
"Helmond","H","96","Buitenl. op EG-venn. lijkende venn. met onderneming in Nederland","7311","Reclamebureaus","6209","Ov. dienstv. act. ohgv informatietechn.","","","N","N",20031107,20031107,20210901,20161001,20210401,0,0,"",0,0
"Kerk-Avezaath","H","01","Eenmanszaak","85519","Overig sport- en recreatieonderwijs","","","","","N","N",0,0,20161003,20161005,0,0,0,"",0,0
"Dongen","H","01","Eenmanszaak","9529","Reparatie van overige consumentenart.","47916","Internethandel in vrijetijdsartikelen","","","N","N",0,0,20161003,20161001,20180702,0,0,"",0,0
"Dedemsvaart","H","01","Eenmanszaak","4321","Elektrotechnische bouwinstallatie","7112","Ingenieurs/overig techn. ontwerp/advies","","","N","N",0,0,20161003,20161003,0,0,0,"",0,0
"Leeuwarden","H","41","Besloten vennootschap met gewone structuur","66193","Hypotheek-/kredietbem./bankagentschappen","","","","","N","N",20160930,20160930,20161003,20160930,0,0,0,"",2021,20220401
"Zoetermeer","H","94","Buitenl. EG-venn. met onderneming in Nederland","4651","GH computers, randapparatuur en software","6209","Ov. dienstv. act. ohgv informatietechn.","","","N","N",19880729,19880729,20161003,20160922,0,0,0,"",0,0
"Apeldoorn","H","01","Eenmanszaak","88991","Ambulante jeugdzorg","","","","","N","N",0,0,20161003,20131001,0,0,20161001,"",0,0
