"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Oss","","74","Stichting","85599","Studiebegeleiding/vorming/onderwijs","","","","","","",20211228,20211228,0,0,0,0,0,"",0,0
"Oldenzaal","H","01","Eenmanszaak","52291","Expediteurs/cargadoors/bevrachters e.d.","","","","","N","N",0,0,20211229,20211220,0,0,0,"",0,0
"Heinenoord","H","11","Vennootschap onder firma","85519","Overig sport- en recreatieonderwijs","","","","","N","N",20220101,0,20211229,20220101,0,0,0,"",0,0
"Laren","H","01","Eenmanszaak","85599","Studiebegeleiding/vorming/onderwijs","","","","","N","N",0,0,20211229,20220101,0,0,0,"",0,0
"Wieringerwerf","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20211229,20220101,0,0,0,"",0,0
"Tubbergen","H","01","Eenmanszaak","55201","Verh. vakantiehuisjes en appartementen","","","","","N","N",0,0,20211229,20220101,0,0,0,"",0,0
"Wijchen","H","01","Eenmanszaak","85519","Overig sport- en recreatieonderwijs","","","","","N","N",0,0,20211229,20220101,0,0,0,"",0,0
"Weert","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","70222","Advisering ohgv management/bedrijfsv.","","","N","N",0,0,20211229,20220101,0,0,0,"",0,0
"Haarlem","H","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","8891","Kinderopvang","","","N","N",0,0,20211229,20220101,0,0,0,"",0,0
"Hoofddorp","H","01","Eenmanszaak","47919","Internethandel alg.assortiment non-food","","","","","J","J",0,0,20211229,20220101,0,0,0,"",0,0
"Voorschoten","H","11","Vennootschap onder firma","4753","Winkels in vloerbedekking en gordijnen","47526","Winkels in parket-/laminaat-/kurkvloeren","47593","Winkels art. woninginrichting alg. ass.","N","N",20220101,0,20211229,20220101,0,0,0,"",0,0
"Schiedam","H","41","Besloten vennootschap met gewone structuur","6201","Ontwikkelen/produceren/uitgeven software","6209","Ov. dienstv. act. ohgv informatietechn.","70222","Advisering ohgv management/bedrijfsv.","N","N",20211228,20211228,20211229,20211228,0,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20211228,20211228,20211229,20211228,0,0,0,"",2021,20220531
"Lutjebroek","H","01","Eenmanszaak","0161","Dienstverl. akker- en/of tuinbouw","","","","","N","N",0,0,20211229,20220101,0,0,0,"",0,0
"Capelle aan den IJssel","H","01","Eenmanszaak","8211","Brede administratieve dienstverlening","88999","Overig maatsch.adv./gemeenschapshuizen","","","N","N",0,0,20211229,20220101,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","53202","Koeriers","","","","","N","N",0,0,20211229,20211201,0,0,0,"",0,0
"Wageningen","H","01","Eenmanszaak","87302","Verzorgingshuizen","","","","","N","N",0,0,20211229,20211222,0,0,0,"",0,0
