"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Vianen","H","01","Eenmanszaak","01422","Overige vleesveehouderij/zoogkoeienbedr.","","","","","N","N",0,0,20100511,19890501,0,0,20100101,"",0,0
"De Meern","H","41","Besloten vennootschap met gewone structuur","46432","GH elektrische huishoudelijke apparaten","2751","Verv. elektrische huishoudapparaten","","","","",20100504,20100504,20100511,20100504,20150501,0,0,"",2021,20220429
"Vianen","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20100510,20100510,20100511,20100510,20180308,0,0,"",2021,20220530
"Utrecht","H","41","Besloten vennootschap met gewone structuur","7490","Overige special. zakelijke dienstverl.","","","","","N","N",20100429,20100429,20100511,20100429,20220101,0,0,"",2020,20211213
"Nieuwegein","H","01","Eenmanszaak","33123","Rep./onderh. machines specif.bedrijfstak","","","","","","",0,0,20100511,20100511,0,0,0,"",0,0
"IJsselstein","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","78202","Uitleenbureaus","6311","Gegevensverw./webhosting/aanverw. activ.","","",20100428,20100428,20100511,20100428,20210420,0,0,"",2020,20211118
"Wilnis","H","01","Eenmanszaak","43221","Loodg.- en fitterswerk; inst. sanitair","45112","Handel/rep. personen-/lichte bedr.auto's","","","","",0,0,20100511,20100501,0,0,0,"",0,0
"IJsselstein","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20100428,20100428,20100511,20100428,20210421,0,0,"",2020,20211118
"Druten","H","41","Besloten vennootschap met gewone structuur","6832","Beheer van onroerend goed","","","","","N","N",20100506,20100506,20100511,20100506,20210201,0,0,"",2020,20211223
"'s-Gravenhage","H","41","Besloten vennootschap met gewone structuur","64303","Beleggingsinst. met beperkte toetreding","70221","Organisatie-adviesbureaus","","","N","N",20100506,20100506,20171016,20100506,20170922,0,0,"",2016,20170315
"Zeist","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19791214,19791214,0,0,0,0,0,"",0,0
"Vleuten","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20090414,20070917,0,0,0,0,0,"",0,0
"Nieuwegein","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20100429,20100429,0,0,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","2562","Algemene metaalbewerking","","","","","","",0,0,20100511,20100511,20100701,0,0,"",0,0
"Beesd","","74","Stichting","94997","Overige belangenbehartiging (rest)","","","","","","",20100504,20100504,0,0,0,0,0,"",0,0
"Nieuwegein","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","4321","Elektrotechnische bouwinstallatie","","","","",0,0,20100511,20100511,0,0,0,"",0,0
"Afferden","","71","Vereniging met volledige rechtsbevoegdheid","94991","Gezelligheidsverenigingen","","","","","","",20050901,0,0,0,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","85519","Overig sport- en recreatieonderwijs","93119","Overige sportaccommodaties","","","","",0,0,20100511,20100101,0,0,0,"",0,0
"Veenendaal","H","01","Eenmanszaak","7311","Reclamebureaus","","","","","N","N",0,0,20100511,20100510,20160506,0,0,"",0,0
"Hoef en Haag","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20100401,20100401,0,0,0,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","86912","Praktijken van fysiotherapeuten","","","","","N","N",0,0,20100511,20100501,20140826,0,0,"",0,0
"Utrecht","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19981207,19981207,0,0,0,0,0,"",0,0
"Zaltbommel","H","01","Eenmanszaak","88101","Thuiszorg","","","","","","",0,0,20100511,20100101,0,0,0,"",0,0
"Zaltbommel","H","41","Besloten vennootschap met gewone structuur","56101","Restaurants","","","","","","",20100628,20100628,20100511,20100510,0,0,20100628,"",2020,20211109
"Zaltbommel","H","01","Eenmanszaak","88101","Thuiszorg","","","","","","",0,0,20100511,20100101,0,0,0,"",0,0
"Druten","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","","",20100603,20100603,20190521,20100517,20190429,0,20100603,"",2019,20210617
"Leerdam","H","01","Eenmanszaak","4321","Elektrotechnische bouwinstallatie","7112","Ingenieurs/overig techn. ontwerp/advies","","","N","N",0,0,20211123,20100511,20211106,0,0,"",0,0
"Utrecht","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","86913","Praktijken van psychotherapeuten/-logen","","","","",0,0,20100511,20100511,20181128,0,0,"",0,0
