"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Horst","H","01","Eenmanszaak","43993","Metselen en voegen","","","","","N","N",0,0,20091023,20091026,20150415,0,0,"",0,0
"Best","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19880120,19880120,0,0,0,0,0,"",0,0
"Heerlen","H","41","Besloten vennootschap met gewone structuur","69202","Accountants-administratieconsulenten","72193","Speur-/ontw.werk ohgv gezondh./voeding","","","N","N",20091021,20091021,20091023,20091021,20170901,0,0,"",2020,20211230
"Heerlen","H","07","Maatschap","86912","Praktijken van fysiotherapeuten","","","","","N","N",20000601,0,20091023,19960210,0,0,20000601,"",0,0
"Weert","H","07","Maatschap","69201","Registeraccountants","","","","","N","N",20010701,0,20091023,20010701,20180101,0,20070101,"",0,0
"Horn","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,20091023,20091023,0,0,0,"",0,0
"Maastricht","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20091023,20090101,20181102,0,0,"",0,0
"Sittard","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20091022,20091022,20091023,20091022,20200803,0,0,"",2019,20210310
"Amstenrade","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20060907,20060907,0,0,0,0,0,"",0,0
"Heerlen","H","01","Eenmanszaak","86913","Praktijken van psychotherapeuten/-logen","","","","","N","N",0,0,20091023,20000201,20150701,0,0,"",0,0
"Valkenburg","H","01","Eenmanszaak","69204","Belastingconsulenten","","","","","N","N",0,0,20091023,19930517,0,0,0,"",0,0
"Elsloo","H","01","Eenmanszaak","86231","Praktijken van tandartsen","","","","","N","N",0,0,20091023,19931005,0,0,0,"",0,0
"Roermond","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20030220,20030220,0,0,0,0,0,"",0,0
"Herten","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19991210,19991210,0,0,0,0,0,"",0,0
"Heerlen","H","01","Eenmanszaak","9609","Overige dienstverlening (rest)","","","","","N","N",0,0,20091026,20091101,20140401,0,0,"",0,0
"Heerlen","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19960328,19960328,0,0,0,0,0,"",0,0
"Best","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",19901126,19901126,0,0,0,0,0,"",0,0
"Heerlen","","70","Vereniging van eigenaars","94997","Overige belangenbehartiging (rest)","","","","","","",20000510,20000510,0,0,0,0,0,"",0,0
"Landgraaf","H","74","Stichting","69203","Boekhoudkantoren","","","","","N","N",20091022,20091022,20210311,20091022,0,0,0,"",0,0
"Horst","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20091023,20091023,20091026,20091023,0,0,0,"",2021,20220325
"Weert","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","N","N",20100116,20100116,20091026,20091022,0,0,20100116,"",2020,20210407
"Weert","H","41","Besloten vennootschap met gewone structuur","4110","Projectontwikkeling","","","","","N","N",20100116,20100116,20091026,20091022,0,0,20100116,"",2020,20210407
"Panningen","H","41","Besloten vennootschap met gewone structuur","6831","Bemidd. bij handel/huur/verhuur onr.goed","6832","Beheer van onroerend goed","6420","Financiële holdings","J","N",20100218,20100218,20091026,20091101,20150622,0,20100218,"",2020,20211115
"Tegelen","H","01","Eenmanszaak","69203","Boekhoudkantoren","","","","","N","N",0,0,20091026,19900101,0,0,0,"",0,0
"Venlo","H","01","Eenmanszaak","6312","Webportals","","","","","N","N",0,0,20091026,20091026,20171114,0,0,"",0,0
"Castenray","H","01","Eenmanszaak","5530","Kampeerterreinen","","","","","N","N",0,0,20091026,20070703,0,0,0,"",0,0
"Kerkrade","","74","Stichting","94995","Overk. organen (niet ohgv welzijn/sport)","","","","","","",20091021,20091021,0,0,0,0,0,"",0,0
"Elsloo","H","01","Eenmanszaak","96021","Haarverzorging","","","","","N","N",0,0,20091026,20091101,0,0,0,"",0,0
"Montfort","H","01","Eenmanszaak","01131","Teelt van groenten in de volle grond","01422","Overige vleesveehouderij/zoogkoeienbedr.","01134","Teelt aardapp en ov. wortel/knolgewassen","N","N",0,0,20091026,19930702,0,0,20080101,"",0,0
"Vlodrop","H","01","Eenmanszaak","1820","Reproductie van opgenomen media","","","","","N","N",0,0,20091026,20091026,0,0,0,"",0,0
"Swalmen","H","01","Eenmanszaak","45203","Reparatie van specifieke auto-onderdelen","45112","Handel/rep. personen-/lichte bedr.auto's","","","N","N",0,0,20091026,20091101,20091202,0,0,"",0,0
"Venlo","H","01","Eenmanszaak","86221","Praktijken medisch spec./med. dagbehand.","","","","","N","N",0,0,20091026,19950301,0,0,0,"",0,0
"Egchel","H","01","Eenmanszaak","74101","Communicatie- en grafisch ontwerp","","","","","N","N",0,0,20091026,20091027,20140315,0,0,"",0,0
"Roermond","H","01","Eenmanszaak","86221","Praktijken medisch spec./med. dagbehand.","","","","","N","N",0,0,20091026,19640306,0,0,0,"",0,0
