"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Waddinxveen","H","01","Eenmanszaak","90011","Beoefening van podiumkunst","7490","Overige special. zakelijke dienstverl.","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Nagele","H","01","Eenmanszaak","10822","Verv. chocolade en suikerwerk","1071","Verv. brood en vers banketbakkerswerk","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Hoogeveen","H","11","Vennootschap onder firma","56101","Restaurants","5630","Cafés","","","N","N",20220101,0,20211227,20220101,20220216,0,0,"",0,0
"Urk","H","01","Eenmanszaak","47915","Internethandel huis- en tuinartikelen","","","","","J","J",0,0,20211227,20220101,0,0,0,"",0,0
"'s-Gravenhage","H","01","Eenmanszaak","4932","Vervoer per taxi","","","","","N","N",0,0,20211227,20220101,20220215,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20211227,20220103,0,0,0,"",0,0
"Ede","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20211224,20211224,20211227,20211224,0,0,0,"",0,0
"Bocholtz","H","01","Eenmanszaak","4120","Algemene burgerlijke en utiliteitsbouw","","","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Borculo","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","85599","Studiebegeleiding/vorming/onderwijs","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Boxmeer","H","01","Eenmanszaak","8130","Landschapsverzorging","","","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Heerlen","H","01","Eenmanszaak","47914","Internethandel kleding, mode-artikelen","","","","","N","N",0,0,20211227,20220101,20220409,0,0,"",0,0
"Kampen","H","01","Eenmanszaak","70222","Advisering ohgv management/bedrijfsv.","","","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Wateringen","H","01","Eenmanszaak","6120","Draadloze telecommunicatie","6201","Ontwikkelen/produceren/uitgeven software","6202","Advisering ohgv informatietechnologie","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Sittard","H","01","Eenmanszaak","69203","Boekhoudkantoren","","","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Veldhoven","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20211227,20220101,20220424,0,0,"",0,0
"Zoetermeer","H","01","Eenmanszaak","69203","Boekhoudkantoren","69204","Belastingconsulenten","7490","Overige special. zakelijke dienstverl.","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Heerlen","H","01","Eenmanszaak","88991","Ambulante jeugdzorg","8891","Kinderopvang","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"'s-Hertogenbosch","H","01","Eenmanszaak","7500","Veterinaire dienstverlening","","","","","N","N",0,0,20211227,20220103,0,0,0,"",0,0
"Etten-Leur","H","01","Eenmanszaak","7021","Adviesbureaus publ. relations en comm.","","","","","N","N",0,0,20211227,20220103,0,0,0,"",0,0
"Rouveen","H","01","Eenmanszaak","0162","Dienstverl. voor fokken en houden dieren","","","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Kampen","H","01","Eenmanszaak","6311","Gegevensverw./webhosting/aanverw. activ.","47914","Internethandel kleding, mode-artikelen","74101","Communicatie- en grafisch ontwerp","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Harbrinkhoek","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Luttelgeest","H","01","Eenmanszaak","47919","Internethandel alg.assortiment non-food","","","","","J","N",0,0,20211227,20220101,0,0,0,"",0,0
"Landgraaf","H","01","Eenmanszaak","8129","Overige reiniging","47761","Winkels bloemen/planten/zaden/tuinbenod.","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Heukelum","H","01","Eenmanszaak","8219","Secretariële dienstverlening","86919","Overige paramedische praktijken","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
"Geldrop","H","01","Eenmanszaak","4333","Afwerking van vloeren en wanden","","","","","N","N",0,0,20211227,20220101,0,0,0,"",0,0
