"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Bussum","N","01","Eenmanszaak","69204","Belastingconsulenten","","","","","","",0,0,19990122,19990119,20190315,0,0,"",0,0
"Zaandam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","4639","GH voedings-/genotmiddelen algemeen ass.","47911","Internethandel voeding en drogisterij","","",19990120,19990120,20220107,19990120,20211213,0,0,"",2020,20211203
"Blaricum","H","11","Vennootschap onder firma","7810","Arbeidsbemiddeling","","","","","N","N",20030101,0,19990125,19990114,20120509,0,20030101,"",0,0
"Soest","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","86913","Praktijken van psychotherapeuten/-logen","86922","Arbobegeleiding en reïntegratie","","",0,0,19990125,19990101,20210326,0,0,"",0,0
"Nijkerk","","74","Stichting","66292","Pensioenadv.bureaus/beheer pensioenverm.","","","","","","",19990122,19990122,0,0,0,0,0,"",0,0
"Soest","H","11","Vennootschap onder firma","45112","Handel/rep. personen-/lichte bedr.auto's","45203","Reparatie van specifieke auto-onderdelen","","","","",19990701,0,19990125,19990101,20020601,0,19990701,"",0,0
"Amsterdam","H","01","Eenmanszaak","47789","Winkels gespec. in overige art. (rest)","4726","Winkels in tabaksproducten","4762","Winkels kranten/tijdschr./kantoorbeh.","N","N",0,0,19990121,19710515,0,0,19730901,"",0,0
"Amsterdam","H","01","Eenmanszaak","5630","Cafés","","","","","N","N",0,0,19990121,19780301,0,0,19990121,"",0,0
"Amsterdam","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,19990120,19990120,20120901,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","","","","","N","N",0,0,19990122,19990122,20160101,0,20010101,"",0,0
"Amsterdam","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","9002","Dienstverlening voor uitvoerende kunst","","","N","N",0,0,19990122,19990101,19990101,0,0,"",0,0
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19990707,19990707,19990122,19990101,20220101,0,19990707,"",2021,20220524
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",19990707,19990707,19990122,19990101,20030201,0,19990707,"",2021,20220523
"Amsterdam","H","41","Besloten vennootschap met gewone structuur","7311","Reclamebureaus","70221","Organisatie-adviesbureaus","","","N","N",19990707,19990707,19990122,19990101,0,0,19990707,"",2020,20211206
"Castricum","H","01","Eenmanszaak","4762","Winkels kranten/tijdschr./kantoorbeh.","4761","Winkels in boeken","5310","Nationale post met univer. dienstverpl.","N","N",0,0,19990317,19390000,0,0,19990101,"",0,0
"Heemskerk","H","11","Vennootschap onder firma","96021","Haarverzorging","","","","","N","N",20060301,0,19990121,19980901,0,0,20060301,"",0,0
